"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr4-0307","chr4",56300001,56400000,"chr4-0307",-0.21,0.064,0.115,0.016,0.024,0.052,-0.252,-0.033,0.06
"chr4-0308","chr4",56400001,56500000,"chr4-0308",0.066,0.107,0.241,0.184,0.073,0.091,-0.031,0.112,0.109
"chr4-0309","chr4",56500001,56600000,"chr4-0309",-0.118,-0.019,0.076,-0.159,-0.01,0.054,0.021,-0.021,-0.009
"chr4-0310","chr4",56600001,56700000,"chr4-0310",-0.441,-0.18,-0.292,-0.272,-0.053,-0.104,-0.262,-0.309,-0.119
"chr4-0311","chr4",56700001,56800000,"chr4-0311",-0.156,-0.083,-0.099,0.06,-0.035,-0.099,-0.071,0.095,0.012
"chr4-0312","chr4",56800001,56900000,"chr4-0312",0.098,-0.011,0.002,0.088,0.026,0.038,0.044,-0.001,0.104
"chr4-0313","chr4",56900001,57100000,"chr4-0313",-0.062,0.19,0.152,0.192,0.023,0.033,0.01,0.123,0.158
"chr4-0314","chr4",57100001,57200000,"chr4-0314",-0.181,0.101,0.168,0.003,0.014,0.001,-0.133,0.032,0.066
"chr4-0315","chr4",57200001,57300000,"chr4-0315",0.223,0.055,0,0.178,0.1,0.127,0.114,0.206,0.117
"chr4-0316","chr4",57300001,57400000,"chr4-0316",0.103,-0.019,-0.104,0.008,0.017,0.033,-0.025,0.056,0
"chr4-0317","chr4",57400001,57500000,"chr4-0317",-0.306,0.06,0.174,0.023,-0.039,-0.089,-0.072,-0.168,-0.018
"chr4-0318","chr4",57500001,57600000,"chr4-0318",-0.362,0.035,-0.082,-0.031,-0.02,0.012,-0.107,-0.155,-0.005
"chr4-0319","chr4",57600001,57700000,"chr4-0319",-0.223,0.152,0.066,0.081,0.131,0.015,-0.035,0.018,-0.057
"chr4-0320","chr4",57700001,57800000,"chr4-0320",0.073,0.143,0.21,0.172,0.131,0.085,-0.179,0.192,0.014
"chr4-0321","chr4",57800001,57900000,"chr4-0321",0.207,0.063,0.156,0.065,0.035,0.042,0.03,0.198,0.045
"chr4-0322","chr4",57900001,58000000,"chr4-0322",-0.205,0.043,-0.159,0.028,0.006,-0.067,0.05,0.018,0.044
"chr4-0323","chr4",58000001,58100000,"chr4-0323",-0.412,-0.037,-0.254,-0.26,-0.041,-0.073,-0.337,-0.075,-0.055
"chr4-0324","chr4",58100001,58300000,"chr4-0324",-0.765,-0.199,-0.508,-0.373,-0.136,-0.132,-0.498,-0.352,-0.147
"chr4-0325","chr4",58300001,59100000,"chr4-0325",-0.591,-0.09,-0.162,-0.169,-0.062,-0.11,-0.365,-0.196,-0.038
"chr4-0326","chr4",59100001,59739333,"chr4-0326",-0.302,-0.121,0.077,-0.054,-0.015,-0.049,-0.278,-0.157,-0.006
"chr4-0327","chr4",59789334,60600000,"chr4-0327",-0.301,-0.116,-0.228,-0.433,-0.027,0.043,-0.439,-0.184,-0.011
"chr4-0328","chr4",60600001,62000000,"chr4-0328",-0.753,-0.268,-0.348,-0.465,-0.108,-0.154,-0.396,-0.384,-0.192
"chr4-0329","chr4",62000001,62100000,"chr4-0329",0.16,-0.026,-0.037,-0.107,-0.039,0.018,0.021,-0.069,0.003
"chr4-0330","chr4",62100001,62400000,"chr4-0330",-0.329,-0.185,-0.051,-0.085,-0.072,-0.072,-0.446,-0.163,-0.015
"chr4-0331","chr4",62400001,62800000,"chr4-0331",-0.316,-0.079,-0.012,-0.096,-0.013,-0.044,-0.339,-0.059,0.112
"chr4-0332","chr4",62800001,63400000,"chr4-0332",-0.275,-0.017,0.009,-0.031,-0.025,-0.012,-0.321,0.08,0.125
"chr4-0333","chr4",63400001,64300000,"chr4-0333",-0.526,-0.246,-0.26,-0.254,-0.191,-0.173,-0.388,-0.172,-0.109
"chr4-0334","chr4",64300001,65700000,"chr4-0334",-0.161,-0.027,-0.012,-0.087,-0.03,0.02,-0.21,-0.047,0.038
"chr4-0335","chr4",65700001,66500000,"chr4-0335",-0.427,-0.302,-0.194,-0.12,-0.134,-0.117,-0.446,-0.173,-0.132
"chr4-0336","chr4",66500001,66600000,"chr4-0336",0.241,-0.03,0.075,0.092,-0.02,0.052,0.077,0.148,-0.012
"chr4-0337","chr4",66600001,67400000,"chr4-0337",-0.402,-0.031,-0.233,-0.195,-0.025,-0.083,-0.371,-0.235,0.066
"chr4-0338","chr4",67400001,68200000,"chr4-0338",-0.505,-0.091,-0.195,-0.061,-0.042,-0.099,-0.377,-0.155,0.03
"chr4-0339","chr4",68200001,68400000,"chr4-0339",-0.38,0.016,-0.325,-0.163,0.043,-0.078,-0.418,-0.161,-0.006
"chr4-0340","chr4",68400001,68500000,"chr4-0340",-0.059,0.01,-0.054,-0.008,0.01,-0.009,-0.246,0.085,0.065
"chr4-0341","chr4",68500001,68600000,"chr4-0341",-0.028,-0.023,-0.183,0.007,0.017,-0.024,-0.026,0.091,0.011
"chr4-0342","chr4",68600001,68700000,"chr4-0342",-0.469,-0.14,-0.159,-0.236,-0.061,-0.01,-0.295,-0.146,-0.03
"chr4-0343","chr4",68700001,68900000,"chr4-0343",-0.18,-0.124,0.102,-0.011,0.031,0.04,-0.196,-0.053,0.079
"chr4-0344","chr4",68900001,69000000,"chr4-0344",-0.301,-0.173,0.08,-0.114,-0.11,-0.139,-0.412,0.043,-0.115
"chr4-0345","chr4",69000001,69100000,"chr4-0345",-0.539,-0.173,-0.176,-0.257,-0.148,-0.106,-0.407,-0.341,-0.046
"chr4-0346","chr4",69100001,69200000,"chr4-0346",-0.455,-0.146,0.051,0,0.026,0.029,-0.254,-0.089,0.125
"chr4-0347","chr4",69200001,69300000,"chr4-0347",0.007,-0.039,0.129,0.111,-0.06,0.029,-0.014,0.036,0.067
"chr4-0348","chr4",69300001,69500000,"chr4-0348",-0.765,-0.264,-0.143,-0.552,0.069,0.134,0.082,0.1,0.03
"chr4-0349","chr4",69500001,69800000,"chr4-0349",-0.527,-0.176,-0.146,-0.315,-0.119,-0.208,-0.484,-0.337,-0.139
"chr4-0350","chr4",69800001,70000000,"chr4-0350",-0.182,-0.102,-0.179,-0.201,-0.069,-0.07,-0.333,-0.19,-0.168
"chr4-0351","chr4",70000001,70500000,"chr4-0351",-0.407,-0.25,-0.193,-0.107,-0.004,-0.134,-0.523,-0.302,-0.048
"chr4-0352","chr4",70500001,70600000,"chr4-0352",-0.425,-0.149,-0.322,-0.077,0.01,0.032,-0.384,-0.098,0.044
"chr4-0353","chr4",70600001,70800000,"chr4-0353",-0.18,-0.111,-0.018,0.019,0.065,-0.017,-0.254,0.037,0.018
"chr4-0354","chr4",70800001,70900000,"chr4-0354",-0.263,-0.161,-0.289,-0.067,0.019,-0.118,-0.281,-0.223,-0.053
"chr4-0355","chr4",70900001,71000000,"chr4-0355",-0.25,-0.029,-0.077,-0.121,0.009,0.026,-0.238,-0.047,0.04
"chr4-0356","chr4",71000001,71200000,"chr4-0356",-0.29,-0.105,-0.136,0.081,0.054,0.019,-0.3,0.007,0.134
"chr4-0357","chr4",71200001,71300000,"chr4-0357",-0.375,-0.084,-0.135,-0.148,-0.077,-0.092,-0.425,-0.118,0.047
"chr4-0358","chr4",71300001,71400000,"chr4-0358",-0.544,-0.222,-0.141,-0.25,-0.026,-0.077,-0.335,-0.224,-0.103
"chr4-0359","chr4",71400001,71500000,"chr4-0359",-0.521,-0.017,-0.103,-0.074,-0.06,-0.144,-0.375,-0.056,0.062
"chr4-0360","chr4",71500001,71600000,"chr4-0360",-0.035,0.099,0.074,0.028,0.022,-0.027,-0.077,0.121,0.048
"chr4-0361","chr4",71600001,71700000,"chr4-0361",0.056,0.266,0.354,0.274,0.168,0.136,-0.065,0.236,0.176
"chr4-0362","chr4",71700001,71800000,"chr4-0362",0.269,0.149,0.243,0.274,0.173,0.157,0.177,0.287,0.177
"chr4-0363","chr4",71800001,71900000,"chr4-0363",-0.035,0.002,0.171,0.124,0.057,0.062,-0.124,0.082,0.054
"chr4-0364","chr4",71900001,72100000,"chr4-0364",-0.362,-0.072,-0.21,-0.29,-0.117,-0.046,-0.196,-0.28,-0.077
"chr4-0365","chr4",72100001,72600000,"chr4-0365",-0.522,-0.221,-0.381,-0.358,-0.136,-0.165,-0.405,-0.376,-0.196
"chr4-0366","chr4",72600001,72700000,"chr4-0366",-0.625,-0.12,-0.434,-0.341,-0.175,-0.124,-0.337,-0.362,-0.183
"chr4-0367","chr4",72700001,73000000,"chr4-0367",-0.461,-0.034,-0.138,-0.411,-0.13,-0.107,-0.351,-0.295,-0.202
"chr4-0368","chr4",73000001,73200000,"chr4-0368",-0.528,-0.254,-0.341,-0.323,-0.104,-0.118,-0.496,-0.258,-0.047
"chr4-0369","chr4",73200001,73500000,"chr4-0369",-0.254,-0.054,-0.241,-0.154,-0.054,-0.009,-0.114,-0.054,-0.032
"chr4-0370","chr4",73500001,73900000,"chr4-0370",-0.294,-0.026,-0.208,-0.101,-0.016,-0.01,-0.583,-0.065,-0.068
"chr4-0371","chr4",73900001,74000000,"chr4-0371",0.03,-0.083,0.046,0.02,0.076,-0.031,-0.021,-0.01,0.053
"chr4-0372","chr4",74000001,74100000,"chr4-0372",-0.137,0.026,0.159,0.279,0.107,0.09,-0.201,0.254,0.264
"chr4-0373","chr4",74100001,74200000,"chr4-0373",-0.241,-0.008,0.029,-0.051,-0.035,-0.005,-0.205,-0.033,0.067
"chr4-0374","chr4",74200001,74300000,"chr4-0374",-0.378,-0.038,-0.138,-0.014,0.048,0.027,-0.229,-0.014,0.076
"chr4-0375","chr4",74300001,74400000,"chr4-0375",-0.649,-0.149,-0.267,-0.312,-0.014,-0.159,-0.415,-0.26,-0.032
"chr4-0376","chr4",74400001,74500000,"chr4-0376",-0.386,-0.084,-0.179,-0.174,-0.078,-0.059,-0.314,-0.119,-0.082
"chr4-0377","chr4",74500001,74600000,"chr4-0377",-0.44,-0.222,-0.254,-0.247,-0.068,-0.079,-0.161,-0.134,-0.057
"chr4-0378","chr4",74600001,74700000,"chr4-0378",-0.401,-0.171,-0.632,-0.471,-0.006,-0.065,-0.211,-0.308,-0.082
"chr4-0379","chr4",74700001,74800000,"chr4-0379",0.016,-0.039,-0.087,-0.096,-0.072,-0.059,0.026,-0.033,-0.024
"chr4-0380","chr4",74800001,74900000,"chr4-0380",-0.388,-0.051,-0.155,-0.136,-0.05,-0.077,-0.092,-0.183,-0.053
"chr4-0381","chr4",74900001,75000000,"chr4-0381",-0.109,-0.071,-0.132,-0.13,-0.032,-0.015,-0.081,-0.137,0.014
"chr4-0382","chr4",75000001,75100000,"chr4-0382",-0.295,-0.189,-0.079,-0.182,-0.051,-0.022,-0.273,-0.148,-0.001
"chr4-0383","chr4",75100001,75200000,"chr4-0383",-0.477,-0.21,-0.234,-0.343,-0.163,-0.148,-0.498,-0.216,-0.083
"chr4-0384","chr4",75200001,75300000,"chr4-0384",0.054,0.024,0.187,0.064,-0.101,0.015,0.124,0.162,0.058
"chr4-0385","chr4",75300001,75427379,"chr4-0385",-0.63,-0.322,-0.695,-0.503,-0.217,-0.184,-0.51,-0.482,-0.484
"chr4-0386","chr4",75452280,75600000,"chr4-0386",-0.106,0.064,-0.154,0.047,0.047,0.014,-0.325,-0.031,0.039
"chr4-0387","chr4",75600001,75800000,"chr4-0387",-0.297,-0.045,-0.159,-0.25,-0.203,-0.101,-0.346,-0.182,-0.117
"chr4-0388","chr4",75800001,75900000,"chr4-0388",-0.221,-0.152,-0.269,-0.192,-0.101,-0.036,-0.201,-0.064,-0.147
"chr4-0389","chr4",75900001,76200000,"chr4-0389",-0.28,-0.015,-0.13,-0.176,-0.068,-0.04,-0.226,-0.119,-0.142
"chr4-0390","chr4",76200001,76400000,"chr4-0390",-0.524,0.058,-0.158,-0.245,-0.059,-0.06,-0.262,-0.22,-0.039
"chr4-0391","chr4",76400001,76500000,"chr4-0391",0.051,-0.065,0.055,-0.023,0.031,0.093,0.136,0.167,0.054
"chr4-0392","chr4",76500001,76600000,"chr4-0392",0.098,-0.037,0.176,0.127,0.008,0.023,0.116,0.134,0.023
"chr4-0393","chr4",76600001,76700000,"chr4-0393",0.009,-0.052,0.099,0.077,0.004,-0.013,0.017,0.113,-0.059
"chr4-0394","chr4",76700001,76800000,"chr4-0394",-0.318,-0.034,-0.01,-0.112,-0.126,-0.133,-0.375,-0.142,-0.026
"chr4-0395","chr4",76800001,76900000,"chr4-0395",-0.068,0.062,0.233,0.09,-0.023,-0.06,-0.04,0.063,-0.014
"chr4-0396","chr4",76900001,77000000,"chr4-0396",-0.359,-0.074,-0.23,-0.179,-0.086,-0.058,-0.243,-0.14,-0.042
"chr4-0397","chr4",77000001,77100000,"chr4-0397",-0.149,-0.076,0.03,-0.028,0,-0.023,-0.07,-0.033,-0.025
"chr4-0398","chr4",77100001,77200000,"chr4-0398",-0.078,0.055,-0.13,-0.074,0,-0.014,-0.134,-0.07,-0.05
"chr4-0399","chr4",77200001,77300000,"chr4-0399",-0.099,-0.066,-0.037,-0.068,-0.01,-0.071,-0.033,0.004,-0.024
"chr4-0400","chr4",77300001,77400000,"chr4-0400",0.036,0.091,0.177,0.211,0.099,0.102,-0.071,0.229,0.195
"chr4-0401","chr4",77400001,77500000,"chr4-0401",-0.442,0.03,-0.194,-0.126,-0.032,-0.084,-0.342,-0.223,-0.026
"chr4-0402","chr4",77500001,77600000,"chr4-0402",-0.354,-0.021,-0.078,0.006,0.015,0.029,-0.136,-0.024,0.012
"chr4-0403","chr4",77600001,77700000,"chr4-0403",-0.162,0.09,0.006,0.015,0.055,0.066,0.025,0.019,0.069
"chr4-0404","chr4",77700001,77800000,"chr4-0404",-0.13,0.029,-0.039,0.021,0.044,-0.036,-0.024,-0.024,0.041
"chr4-0405","chr4",77800001,77900000,"chr4-0405",0.08,0.032,0.131,0.156,0.084,0.041,0.056,0.115,0.11
"chr4-0406","chr4",77900001,78000000,"chr4-0406",-0.134,0.089,0.151,0.083,0.037,-0.027,-0.046,-0.013,0.1
"chr4-0407","chr4",78000001,78100000,"chr4-0407",0.108,0.046,-0.023,0.001,0.032,0.012,0.013,0.08,0.01
"chr4-0408","chr4",78100001,78400000,"chr4-0408",-0.505,-0.186,-0.498,-0.426,-0.137,-0.167,-0.309,-0.426,-0.218
"chr4-0409","chr4",78400001,78600000,"chr4-0409",-0.633,-0.08,-0.436,-0.338,-0.076,-0.089,-0.471,-0.23,-0.096
"chr4-0410","chr4",78600001,78700000,"chr4-0410",-0.473,-0.047,-0.094,-0.09,-0.021,0.005,-0.403,-0.163,-0.009
"chr4-0411","chr4",78700001,78900000,"chr4-0411",-0.145,0.021,-0.079,-0.027,-0.055,-0.083,-0.331,-0.079,-0.019
"chr4-0412","chr4",78900001,79000000,"chr4-0412",0.129,-0.096,-0.153,-0.035,-0.027,-0.033,-0.027,-0.001,-0.113
"chr4-0413","chr4",79000001,79100000,"chr4-0413",-0.472,-0.105,-0.24,-0.266,-0.123,-0.133,-0.475,-0.284,-0.16
"chr4-0414","chr4",79100001,79200000,"chr4-0414",-0.3,0.035,0.01,-0.027,-0.069,-0.074,-0.227,-0.06,-0.036
"chr4-0415","chr4",79200001,79400000,"chr4-0415",-0.508,-0.119,-0.334,-0.183,-0.06,-0.114,-0.202,-0.218,-0.185
"chr4-0416","chr4",79400001,79500000,"chr4-0416",-0.361,-0.073,-0.283,-0.207,-0.084,-0.031,-0.402,-0.16,-0.112
"chr4-0417","chr4",79500001,79600000,"chr4-0417",-0.459,-0.042,-0.192,-0.217,-0.096,-0.05,-0.496,-0.215,-0.12
"chr4-0418","chr4",79600001,79700000,"chr4-0418",-0.234,-0.011,-0.088,-0.116,-0.016,0.053,-0.267,-0.102,0.038
"chr4-0419","chr4",79700001,79800000,"chr4-0419",-0.113,0.007,0.062,0.038,0.09,0.085,-0.271,0.03,0.122
"chr4-0420","chr4",79800001,79900000,"chr4-0420",-0.085,-0.095,0.117,-0.052,-0.042,-0.059,-0.194,0.045,0.046
"chr4-0421","chr4",79900001,80200000,"chr4-0421",-0.242,-0.088,-0.043,-0.144,-0.058,0.002,-0.295,-0.074,-0.066
"chr4-0422","chr4",80200001,80300000,"chr4-0422",-0.089,-0.023,0.202,-0.089,-0.013,-0.09,-0.429,-0.026,0.095
"chr4-0423","chr4",80300001,80500000,"chr4-0423",0.032,0.067,0.472,0.219,0.015,0.039,-0.083,0.112,0.156
"chr4-0424","chr4",80500001,80800000,"chr4-0424",-0.377,-0.147,-0.32,-0.268,-0.079,-0.086,-0.749,-0.284,-0.145
"chr4-0425","chr4",80800001,80900000,"chr4-0425",-0.107,-0.098,0.092,0.187,0.024,0.045,-0.375,0.163,0.063
"chr4-0426","chr4",80900001,81000000,"chr4-0426",0.361,-0.089,0.08,0.076,0.024,0.066,-0.091,0.175,-0.013
"chr4-0427","chr4",81000001,81100000,"chr4-0427",-0.542,-0.054,-0.388,-0.34,-0.049,-0.03,-0.979,-0.214,-0.122
"chr4-0428","chr4",81100001,81200000,"chr4-0428",0.118,-0.008,0.191,0.07,-0.024,-0.03,-0.102,0.089,0.024
"chr4-0429","chr4",81200001,81300000,"chr4-0429",0.096,-0.097,-0.315,-0.139,-0.029,-0.081,-0.561,-0.066,-0.114
"chr4-0430","chr4",81300001,81400000,"chr4-0430",0.151,-0.08,0.23,0.112,-0.041,-0.056,-0.388,0.016,0.047
"chr4-0431","chr4",81400001,81900000,"chr4-0431",-0.62,-0.284,-0.529,-0.41,-0.18,-0.169,-0.879,-0.215,-0.241
"chr4-0432","chr4",81900001,82100000,"chr4-0432",-0.298,-0.035,-0.137,-0.139,-0.114,0.008,-0.596,-0.136,-0.034
"chr4-0433","chr4",82100001,82300000,"chr4-0433",-0.255,-0.126,-0.24,-0.138,-0.096,-0.045,-0.215,-0.166,-0.035
"chr4-0434","chr4",82300001,82400000,"chr4-0434",0.045,0.001,0,-0.102,0.033,0.051,-0.162,0.01,0.072
"chr4-0435","chr4",82400001,82600000,"chr4-0435",-0.347,-0.114,-0.193,-0.092,-0.016,0.008,-0.21,-0.192,0.062
"chr4-0436","chr4",82600001,82900000,"chr4-0436",-0.463,-0.063,-0.353,-0.29,-0.002,-0.047,-0.35,-0.259,-0.106
"chr4-0437","chr4",82900001,83200000,"chr4-0437",-0.3,0.044,-0.105,-0.167,0.029,0.008,-0.184,-0.225,0.036
"chr4-0438","chr4",83200001,83300000,"chr4-0438",0.116,0.059,0.083,0.255,0.04,0.037,-0.021,0.172,0.163
"chr4-0439","chr4",83300001,83400000,"chr4-0439",0.265,0.097,0.045,0.19,0.117,0.128,0.094,0.174,0.146
"chr4-0440","chr4",83400001,83500000,"chr4-0440",0.018,0.124,0.329,0.035,0.011,0.054,-0.193,0.191,0.155
"chr4-0441","chr4",83500001,83600000,"chr4-0441",-0.237,0.019,0.019,-0.219,-0.084,-0.034,-0.241,-0.113,-0.035
"chr4-0442","chr4",83600001,83700000,"chr4-0442",-0.416,-0.092,-0.065,-0.192,-0.068,-0.082,-0.302,-0.227,-0.117
"chr4-0443","chr4",83700001,83800000,"chr4-0443",0.121,0.061,0.194,0.095,0.065,0.063,0.043,0.129,0.032
"chr4-0444","chr4",83800001,83900000,"chr4-0444",0.167,0.034,0.14,0.162,0.074,0.077,0.049,0.169,0.124
"chr4-0445","chr4",83900001,84000000,"chr4-0445",0.156,0.101,0.08,0.148,0.093,0.1,-0.041,0.152,0.138
"chr4-0446","chr4",84000001,84100000,"chr4-0446",-0.273,-0.04,-0.087,-0.088,0.012,-0.036,-0.151,-0.077,0.017
"chr4-0447","chr4",84100001,84200000,"chr4-0447",-0.138,-0.004,-0.103,-0.22,-0.024,-0.028,-0.352,-0.168,-0.04
"chr4-0448","chr4",84200001,84300000,"chr4-0448",-0.04,0.053,-0.056,-0.102,0.004,0.1,-0.084,0.077,0.015
"chr4-0449","chr4",84300001,84400000,"chr4-0449",-0.07,-0.03,-0.108,-0.018,0.036,-0.119,-0.06,-0.095,-0.053
"chr4-0450","chr4",84400001,84500000,"chr4-0450",0.023,-0.019,-0.116,-0.047,0.026,0.052,-0.009,0.04,0.002
"chr4-0451","chr4",84500001,84600000,"chr4-0451",-0.284,-0.035,-0.439,-0.07,-0.088,0.09,-0.447,-0.203,-0.039
"chr4-0452","chr4",84600001,84900000,"chr4-0452",-0.55,-0.127,-0.289,-0.212,-0.018,-0.035,-0.366,-0.264,-0.063
"chr4-0453","chr4",84900001,85200000,"chr4-0453",-0.331,-0.09,-0.045,-0.182,-0.065,-0.083,-0.242,-0.133,0.059
"chr4-0454","chr4",85200001,85400000,"chr4-0454",-0.313,-0.061,-0.111,-0.358,-0.07,-0.075,-0.391,-0.274,-0.011
"chr4-0455","chr4",85400001,85500000,"chr4-0455",0.256,0.006,0.254,0.128,-0.009,0.035,0.039,0.14,0.075
"chr4-0456","chr4",85500001,85600000,"chr4-0456",-0.102,-0.124,-0.044,-0.045,-0.026,-0.062,-0.077,0.039,0.007
"chr4-0457","chr4",85600001,85800000,"chr4-0457",-0.332,-0.058,-0.148,-0.129,0.044,0.026,-0.212,-0.151,-0.015
"chr4-0458","chr4",85800001,85900000,"chr4-0458",0.251,0.069,0.035,0.134,0.054,0.058,0.075,0.197,0.122
"chr4-0459","chr4",85900001,86300000,"chr4-0459",-0.205,0.047,0.02,-0.052,-0.041,-0.001,-0.161,-0.02,0.019
"chr4-0460","chr4",86300001,86400000,"chr4-0460",0.021,-0.113,-0.317,-0.179,-0.126,-0.039,-0.153,-0.181,-0.152
"chr4-0461","chr4",86400001,86600000,"chr4-0461",-0.502,-0.215,-0.127,-0.243,-0.027,-0.063,-0.505,-0.319,-0.1
"chr4-0462","chr4",86600001,86700000,"chr4-0462",-0.312,-0.169,-0.189,-0.198,-0.17,-0.15,-0.375,-0.098,-0.059
"chr4-0463","chr4",86700001,86800000,"chr4-0463",-0.206,-0.026,-0.083,-0.135,-0.094,-0.054,-0.108,-0.192,-0.029
"chr4-0464","chr4",86800001,86900000,"chr4-0464",-0.031,0.031,0.113,-0.03,-0.019,-0.04,-0.042,0.037,0.064
"chr4-0465","chr4",86900001,87000000,"chr4-0465",-0.061,-0.061,0.016,-0.032,-0.046,-0.037,-0.245,-0.048,0.019
"chr4-0466","chr4",87000001,87200000,"chr4-0466",-0.568,-0.171,-0.409,-0.177,-0.187,-0.103,-0.452,-0.232,-0.3
"chr4-0467","chr4",87200001,87300000,"chr4-0467",-0.351,-0.128,-0.177,-0.303,-0.055,-0.135,-0.327,-0.44,-0.14
"chr4-0468","chr4",87300001,87500000,"chr4-0468",-0.2,-0.102,-0.256,-0.167,-0.079,-0.099,-0.363,-0.213,-0.043
"chr4-0469","chr4",87500001,87600000,"chr4-0469",0.125,-0.055,-0.159,0.047,-0.037,0.072,0.091,0.093,0.032
"chr4-0470","chr4",87600001,87800000,"chr4-0470",-0.298,0.064,-0.106,-0.031,-0.013,0.021,-0.304,-0.031,-0.047
"chr4-0471","chr4",87800001,87900000,"chr4-0471",0.158,0.077,0.164,0.142,0.104,0.064,0.178,0.156,0.086
"chr4-0472","chr4",87900001,88000000,"chr4-0472",0.181,0.037,0.046,0.061,0.031,-0.048,0.071,0.007,0.041
"chr4-0473","chr4",88000001,88100000,"chr4-0473",-0.032,0.055,-0.143,0.054,0.025,0.035,-0.001,-0.032,0.064
"chr4-0474","chr4",88100001,88200000,"chr4-0474",-0.072,0.046,-0.054,0.109,0.028,0.069,-0.065,0.201,0.143
"chr4-0475","chr4",88200001,88300000,"chr4-0475",-0.064,0.129,-0.124,-0.072,-0.012,-0.027,-0.176,-0.072,-0.033
"chr4-0476","chr4",88300001,88400000,"chr4-0476",0.301,0.209,0.38,0.285,0.162,0.079,0.083,0.161,0.148
"chr4-0477","chr4",88400001,88500000,"chr4-0477",0.092,0.041,-0.096,0.086,0.094,0.059,0.275,-0.011,0.107
"chr4-0478","chr4",88500001,88600000,"chr4-0478",-0.447,-0.1,-0.203,-0.17,-0.019,-0.086,-0.281,-0.154,0.041
"chr4-0479","chr4",88600001,88700000,"chr4-0479",-0.144,0.134,-0.017,0.093,0.052,0.072,-0.088,0.032,-0.067
"chr4-0480","chr4",88700001,88800000,"chr4-0480",-0.301,-0.053,-0.169,-0.144,-0.005,-0.083,-0.292,-0.111,-0.027
"chr4-0481","chr4",88800001,88900000,"chr4-0481",-0.306,0.022,-0.26,-0.107,0.021,-0.018,-0.24,-0.081,-0.045
"chr4-0482","chr4",88900001,89000000,"chr4-0482",-0.182,-0.031,-0.222,0.035,-0.002,0.018,-0.11,-0.055,0.061
"chr4-0483","chr4",89000001,89100000,"chr4-0483",0.039,0.071,0.095,0.048,0.024,-0.062,0.095,0.084,0.005
"chr4-0484","chr4",89100001,89200000,"chr4-0484",-0.029,0.122,0.223,0.102,0.132,0.08,0.035,0.138,0.168
"chr4-0485","chr4",89200001,89300000,"chr4-0485",-0.05,-0.07,-0.209,-0.06,-0.008,-0.021,0.041,0.041,-0.022
"chr4-0486","chr4",89300001,89400000,"chr4-0486",0.242,0.045,0.237,0.179,0.067,0.072,0.132,0.194,0.082
"chr4-0487","chr4",89400001,89500000,"chr4-0487",0.116,0.037,0.046,0.136,0.078,0.064,0.191,0.125,0.129
"chr4-0488","chr4",89500001,89600000,"chr4-0488",-0.197,-0.02,-0.16,-0.03,0.029,0.058,-0.086,-0.028,-0.063
"chr4-0489","chr4",89600001,89700000,"chr4-0489",-0.103,-0.083,0.079,-0.027,-0.055,-0.009,-0.185,0.007,0.067
"chr4-0490","chr4",89700001,89800000,"chr4-0490",-0.109,0.078,0.026,0.132,0.021,0.034,-0.053,0.083,0.103
"chr4-0491","chr4",89800001,90000000,"chr4-0491",-0.172,0.023,-0.101,-0.028,0.045,-0.056,-0.216,-0.031,-0.013
"chr4-0492","chr4",90000001,90200000,"chr4-0492",-0.177,-0.117,-0.168,-0.089,-0.003,-0.031,-0.253,-0.062,-0.065
"chr4-0493","chr4",90200001,90300000,"chr4-0493",-0.136,-0.049,-0.097,-0.163,-0.06,-0.067,-0.275,-0.1,-0.107
"chr4-0494","chr4",90300001,90500000,"chr4-0494",-0.403,-0.01,-0.109,-0.101,0.022,-0.105,-0.054,-0.053,0.012
"chr4-0495","chr4",90500001,90700000,"chr4-0495",-0.284,-0.029,0.066,0.01,0.061,0.09,-0.126,0.085,0.139
"chr4-0496","chr4",90700001,90800000,"chr4-0496",0.052,-0.091,-0.098,-0.056,-0.028,-0.027,0.012,-0.023,0.051
"chr4-0497","chr4",90800001,91000000,"chr4-0497",-0.606,-0.147,-0.276,-0.355,-0.096,-0.138,-0.31,-0.219,-0.11
"chr4-0498","chr4",91000001,91100000,"chr4-0498",-0.021,-0.078,-0.358,-0.267,-0.136,-0.05,-0.242,-0.06,-0.089
"chr4-0499","chr4",91100001,91300000,"chr4-0499",-0.13,0.078,0.263,0.055,0.045,0.022,-0.311,0.043,0.097
"chr4-0500","chr4",91300001,91800000,"chr4-0500",-0.692,-0.274,-0.439,-0.4,-0.179,-0.162,-0.693,-0.341,-0.212
"chr4-0501","chr4",91800001,92700000,"chr4-0501",-0.395,-0.207,-0.205,-0.103,-0.048,-0.121,-0.34,-0.099,0
"chr4-0502","chr4",92700001,93100000,"chr4-0502",-0.352,-0.061,-0.259,-0.139,-0.045,-0.086,-0.564,-0.206,-0.036
"chr4-0503","chr4",93100001,93200000,"chr4-0503",-0.042,0.037,0.226,-0.008,0.022,-0.019,-0.079,0.018,0.036
"chr4-0504","chr4",93200001,93300000,"chr4-0504",0.213,-0.005,-0.012,-0.009,-0.09,-0.002,0.056,0.025,0.059
