"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr2-0208","chr2",28200001,28300000,"chr2-0208",0.199,0.179,-0.006,0.096,0.196
"chr2-0209","chr2",28300001,28400000,"chr2-0209",0.025,0.104,0.025,0.047,0.125
"chr2-0210","chr2",28400001,28500000,"chr2-0210",0.131,0.169,0.082,0.202,0.272
"chr2-0211","chr2",28500001,28600000,"chr2-0211",0.041,-0.078,0.063,-0.022,-0.082
"chr2-0212","chr2",28600001,28700000,"chr2-0212",0.013,-0.032,0.021,-0.015,-0.035
"chr2-0213","chr2",28700001,28800000,"chr2-0213",-0.028,-0.104,-0.072,-0.035,-0.111
"chr2-0214","chr2",28800001,28900000,"chr2-0214",0.078,0.044,0.06,0.088,0.092
"chr2-0215","chr2",28900001,29000000,"chr2-0215",0.077,-0.064,0.173,0.101,0.09
"chr2-0216","chr2",29000001,29100000,"chr2-0216",0.06,0.062,0.077,0.007,0.069
"chr2-0217","chr2",29100001,29200000,"chr2-0217",0.106,0.091,0.177,0.216,0.336
"chr2-0218","chr2",29200001,29300000,"chr2-0218",0.032,-0.116,-0.056,-0.077,-0.151
"chr2-0219","chr2",29300001,29400000,"chr2-0219",-0.059,-0.035,-0.005,-0.017,-0.009
"chr2-0220","chr2",29400001,29500000,"chr2-0220",-0.059,-0.066,-0.088,-0.065,-0.054
"chr2-0221","chr2",29500001,29600000,"chr2-0221",-0.058,-0.056,-0.072,-0.023,-0.105
"chr2-0222","chr2",29600001,29800000,"chr2-0222",-0.196,-0.155,-0.266,-0.141,-0.174
"chr2-0223","chr2",29800001,30100000,"chr2-0223",-0.177,-0.018,-0.181,-0.076,-0.06
"chr2-0224","chr2",30100001,30300000,"chr2-0224",-0.137,-0.164,-0.108,-0.069,-0.145
"chr2-0225","chr2",30300001,30400000,"chr2-0225",-0.008,-0.005,0.034,0.018,0.08
"chr2-0226","chr2",30400001,30500000,"chr2-0226",0.06,0.071,0.055,0.056,0.064
"chr2-0227","chr2",30500001,30600000,"chr2-0227",-0.071,-0.032,-0.004,-0.061,-0.043
"chr2-0228","chr2",30600001,30700000,"chr2-0228",-0.025,-0.033,0.044,-0.055,0.047
"chr2-0229","chr2",30700001,30900000,"chr2-0229",-0.13,-0.047,-0.229,-0.183,-0.111
"chr2-0230","chr2",30900001,31000000,"chr2-0230",-0.056,-0.103,-0.146,-0.074,-0.088
"chr2-0231","chr2",31000001,31100000,"chr2-0231",-0.04,0.008,-0.113,-0.05,-0.006
"chr2-0232","chr2",31100001,31200000,"chr2-0232",-0.014,-0.03,-0.007,-0.047,-0.076
"chr2-0233","chr2",31200001,31300000,"chr2-0233",-0.078,-0.063,-0.177,-0.055,-0.073
"chr2-0234","chr2",31300001,31400000,"chr2-0234",-0.03,-0.001,0.035,-0.019,0.008
"chr2-0235","chr2",31400001,31500000,"chr2-0235",-0.045,-0.091,-0.041,-0.053,-0.194
"chr2-0236","chr2",31500001,31600000,"chr2-0236",-0.052,-0.038,-0.05,0.039,0.052
"chr2-0237","chr2",31600001,31800000,"chr2-0237",-0.116,-0.049,-0.129,-0.104,-0.192
"chr2-0238","chr2",31800001,31900000,"chr2-0238",0.08,-0.041,0.148,0.005,0.027
"chr2-0239","chr2",31900001,32100000,"chr2-0239",-0.085,-0.069,-0.117,-0.142,-0.119
"chr2-0240","chr2",32100001,32200000,"chr2-0240",0.156,0.218,0.088,0.26,0.504
"chr2-0241","chr2",32200001,32300000,"chr2-0241",0.043,0.044,0.086,0.096,0.069
"chr2-0242","chr2",32300001,32400000,"chr2-0242",0.183,0.029,0.163,0.17,0.296
"chr2-0243","chr2",32400001,32500000,"chr2-0243",0.111,0.127,0.127,0.225,0.372
"chr2-0244","chr2",32500001,32600000,"chr2-0244",0.043,0.089,0.122,0.109,0.148
"chr2-0245","chr2",32600001,32700000,"chr2-0245",0.216,0.296,0.154,0.218,0.437
"chr2-0246","chr2",32700001,32800000,"chr2-0246",-0.126,0.051,-0.154,-0.051,0.167
"chr2-0247","chr2",32800001,32900000,"chr2-0247",-0.064,-0.152,-0.067,-0.135,-0.01
"chr2-0248","chr2",32900001,33100000,"chr2-0248",0.024,0.039,0.028,0.042,0.107
"chr2-0249","chr2",33100001,33200000,"chr2-0249",-0.067,-0.009,0.012,-0.027,-0.027
"chr2-0250","chr2",33200001,33300000,"chr2-0250",-0.007,0.038,-0.048,-0.021,-0.053
"chr2-0251","chr2",33300001,33400000,"chr2-0251",-0.099,0.012,-0.117,-0.031,-0.005
"chr2-0252","chr2",33400001,33500000,"chr2-0252",0.013,0.124,-0.078,0.15,0.156
"chr2-0253","chr2",33500001,33600000,"chr2-0253",0.059,0.136,-0.021,0.12,0.113
"chr2-0254","chr2",33600001,33700000,"chr2-0254",0.086,0.149,0.181,0.275,0.388
"chr2-0255","chr2",33700001,33800000,"chr2-0255",-0.032,0.014,-0.083,-0.005,0.055
"chr2-0256","chr2",33800001,33900000,"chr2-0256",-0.057,-0.134,-0.077,-0.16,-0.222
"chr2-0257","chr2",33900001,34000000,"chr2-0257",0.008,0.008,0.001,0.009,0.015
"chr2-0258","chr2",34000001,34900000,"chr2-0258",-0.091,-0.003,-0.133,-0.112,-0.094
"chr2-0259","chr2",34900001,35300000,"chr2-0259",-0.198,-0.18,-0.253,-0.242,-0.133
"chr2-0260","chr2",35300001,35700000,"chr2-0260",-0.07,0.036,-0.071,0.027,0.062
"chr2-0261","chr2",35700001,36500000,"chr2-0261",-0.15,-0.045,-0.148,-0.17,-0.083
"chr2-0262","chr2",36500001,36600000,"chr2-0262",-0.052,0.017,-0.06,-0.021,0.008
"chr2-0263","chr2",36600001,36700000,"chr2-0263",-0.221,-0.13,-0.222,-0.197,-0.148
"chr2-0264","chr2",36700001,36800000,"chr2-0264",-0.1,-0.011,-0.219,-0.042,-0.113
"chr2-0265","chr2",36800001,36900000,"chr2-0265",-0.009,0.027,0.045,-0.026,0.103
"chr2-0266","chr2",36900001,37000000,"chr2-0266",-0.105,0.017,-0.099,-0.023,0.051
"chr2-0267","chr2",37000001,37100000,"chr2-0267",-0.055,0,-0.035,0.071,-0.032
"chr2-0268","chr2",37100001,37300000,"chr2-0268",0.006,0.042,0.034,0.112,0.329
"chr2-0269","chr2",37300001,37400000,"chr2-0269",-0.059,-0.003,-0.033,-0.072,-0.105
"chr2-0270","chr2",37400001,37500000,"chr2-0270",0.019,-0.147,-0.016,-0.088,-0.074
"chr2-0271","chr2",37500001,37600000,"chr2-0271",-0.014,0.058,-0.007,0.049,0.064
"chr2-0272","chr2",37600001,37700000,"chr2-0272",-0.066,0.025,-0.034,-0.007,0.039
"chr2-0273","chr2",37700001,37800000,"chr2-0273",-0.132,-0.072,-0.137,-0.113,-0.138
"chr2-0274","chr2",37800001,37900000,"chr2-0274",-0.016,0.046,0.039,-0.011,0.008
"chr2-0275","chr2",37900001,38000000,"chr2-0275",-0.113,0.027,-0.079,-0.004,-0.018
"chr2-0276","chr2",38000001,38100000,"chr2-0276",-0.063,-0.006,-0.092,0.031,-0.026
"chr2-0277","chr2",38100001,38200000,"chr2-0277",0.018,0.013,0.036,0.047,0.023
"chr2-0278","chr2",38200001,38300000,"chr2-0278",-0.03,0.007,-0.112,-0.063,-0.045
"chr2-0279","chr2",38300001,38400000,"chr2-0279",0.006,-0.025,0.026,0.022,-0.043
"chr2-0280","chr2",38400001,38500000,"chr2-0280",-0.109,0.041,-0.135,-0.012,0.069
"chr2-0281","chr2",38500001,38600000,"chr2-0281",0.127,0.151,-0.007,0.175,0.35
"chr2-0282","chr2",38600001,38700000,"chr2-0282",0.043,0.041,0.121,0.104,0.114
"chr2-0283","chr2",38700001,38800000,"chr2-0283",0.004,0.123,-0.001,0.071,0.207
"chr2-0284","chr2",38800001,38900000,"chr2-0284",0.049,0.066,0.093,0.09,0.163
"chr2-0285","chr2",38900001,39000000,"chr2-0285",-0.002,0.055,0.02,0.097,0.208
"chr2-0286","chr2",39000001,39100000,"chr2-0286",0.095,0.114,0.09,0.224,0.45
"chr2-0287","chr2",39100001,39200000,"chr2-0287",0.014,0.07,0.044,0.048,0.117
"chr2-0288","chr2",39200001,39300000,"chr2-0288",0.089,0.197,0.12,0.273,0.267
"chr2-0289","chr2",39300001,39400000,"chr2-0289",-0.007,-0.013,0.095,0.05,0.084
"chr2-0290","chr2",39400001,39600000,"chr2-0290",-0.008,0.054,-0.026,0.11,0.176
"chr2-0291","chr2",39600001,39700000,"chr2-0291",0.042,0.069,0.053,0.061,0.035
"chr2-0292","chr2",39700001,39800000,"chr2-0292",-0.033,-0.017,-0.032,0.03,0.146
"chr2-0293","chr2",39800001,39900000,"chr2-0293",0.018,0.053,0.01,0.057,0.08
"chr2-0294","chr2",39900001,40000000,"chr2-0294",-0.068,0.004,-0.11,-0.057,-0.098
"chr2-0295","chr2",40000001,40100000,"chr2-0295",-0.127,-0.16,-0.113,-0.157,-0.029
"chr2-0296","chr2",40100001,40400000,"chr2-0296",-0.117,0.04,-0.165,-0.05,-0.058
"chr2-0297","chr2",40400001,40500000,"chr2-0297",-0.116,0.028,-0.147,-0.093,-0.031
"chr2-0298","chr2",40500001,40600000,"chr2-0298",-0.054,0.096,-0.191,-0.035,0.028
"chr2-0299","chr2",40600001,40700000,"chr2-0299",-0.116,-0.121,-0.094,-0.059,-0.071
"chr2-0300","chr2",40700001,40800000,"chr2-0300",0.042,0.152,-0.028,0.044,0.015
"chr2-0301","chr2",40800001,41300000,"chr2-0301",-0.083,-0.015,-0.186,-0.09,-0.05
"chr2-0302","chr2",41300001,41900000,"chr2-0302",0.048,-0.022,0.038,-0.011,0.04
"chr2-0303","chr2",41900001,42000000,"chr2-0303",0.05,0.061,-0.043,0.057,0.107
"chr2-0304","chr2",42000001,42100000,"chr2-0304",-0.022,-0.077,-0.134,-0.109,-0.168
"chr2-0305","chr2",42100001,42200000,"chr2-0305",-0.013,0.043,-0.084,0.058,-0.019
"chr2-0306","chr2",42200001,42300000,"chr2-0306",0.046,-0.038,-0.004,0.012,-0.024
"chr2-0307","chr2",42300001,42400000,"chr2-0307",-0.028,-0.027,-0.062,0.01,-0.01
"chr2-0308","chr2",42400001,42500000,"chr2-0308",-0.012,0.029,-0.021,0.173,0.181
"chr2-0309","chr2",42500001,42600000,"chr2-0309",0.03,0.056,0.087,-0.053,-0.086
"chr2-0310","chr2",42600001,42700000,"chr2-0310",0.112,0.214,0.134,0.27,0.424
"chr2-0311","chr2",42700001,42800000,"chr2-0311",0.069,0.057,0.187,0.119,0.145
"chr2-0312","chr2",42800001,42900000,"chr2-0312",0.165,0.196,0.214,0.342,0.456
"chr2-0313","chr2",42900001,43000000,"chr2-0313",0.015,-0.011,-0.055,0.018,0.116
"chr2-0314","chr2",43000001,43100000,"chr2-0314",0.047,0.02,0.094,0.009,0.019
"chr2-0315","chr2",43100001,43200000,"chr2-0315",-0.002,-0.136,0.006,-0.078,-0.153
"chr2-0316","chr2",43200001,43300000,"chr2-0316",0.046,0.043,-0.028,0.006,-0.024
"chr2-0317","chr2",43300001,43400000,"chr2-0317",0.108,-0.011,0.048,0.078,0.048
"chr2-0318","chr2",43400001,43500000,"chr2-0318",0.091,0.028,0.185,0.036,0.041
"chr2-0319","chr2",43500001,43600000,"chr2-0319",-0.03,0.095,-0.1,0.128,0.124
"chr2-0320","chr2",43600001,43700000,"chr2-0320",0.05,0.039,-0.026,0.073,0.134
"chr2-0321","chr2",43700001,43800000,"chr2-0321",-0.013,0.051,-0.074,0.047,0.122
"chr2-0322","chr2",43800001,43900000,"chr2-0322",-0.019,-0.116,-0.068,-0.08,0.017
"chr2-0323","chr2",43900001,44000000,"chr2-0323",-0.029,-0.049,-0.074,-0.07,0.063
"chr2-0324","chr2",44000001,44100000,"chr2-0324",0.025,-0.061,0.052,-0.008,0.075
"chr2-0325","chr2",44100001,44200000,"chr2-0325",-0.112,-0.081,-0.152,-0.187,-0.072
"chr2-0326","chr2",44200001,44300000,"chr2-0326",-0.048,-0.066,0.021,-0.126,-0.089
"chr2-0327","chr2",44300001,44400000,"chr2-0327",0.041,0.105,0.079,0.103,0.019
"chr2-0328","chr2",44400001,44500000,"chr2-0328",-0.012,0.144,-0.033,0.073,0.132
"chr2-0329","chr2",44500001,44600000,"chr2-0329",-0.01,-0.174,-0.041,-0.096,-0.105
"chr2-0330","chr2",44600001,44900000,"chr2-0330",-0.077,0.024,-0.174,-0.074,0.091
"chr2-0331","chr2",44900001,45000000,"chr2-0331",-0.07,0.041,0.006,0.06,0.177
"chr2-0332","chr2",45000001,45100000,"chr2-0332",-0.051,-0.067,-0.051,0.068,0.077
"chr2-0333","chr2",45100001,45200000,"chr2-0333",0.035,-0.029,0.059,-0.025,-0.045
"chr2-0334","chr2",45200001,45300000,"chr2-0334",-0.002,-0.01,0.01,0.013,-0.064
"chr2-0335","chr2",45300001,45400000,"chr2-0335",0.028,0.063,-0.026,-0.003,0.085
"chr2-0336","chr2",45400001,45500000,"chr2-0336",-0.038,0.026,-0.037,0.058,0.048
"chr2-0337","chr2",45500001,45600000,"chr2-0337",-0.014,-0.045,-0.087,-0.037,-0.059
"chr2-0338","chr2",45600001,45800000,"chr2-0338",0.043,0.249,-0.013,0.192,0.281
"chr2-0339","chr2",45800001,45900000,"chr2-0339",-0.038,-0.035,0.022,-0.039,-0.088
"chr2-0340","chr2",45900001,46000000,"chr2-0340",0.05,0.026,0.029,0.105,0.234
"chr2-0341","chr2",46000001,46100000,"chr2-0341",-0.033,-0.026,-0.048,-0.046,-0.026
"chr2-0342","chr2",46100001,46200000,"chr2-0342",-0.138,-0.204,-0.242,-0.215,-0.2
"chr2-0343","chr2",46200001,46300000,"chr2-0343",-0.032,0.005,-0.192,0.005,0
"chr2-0344","chr2",46300001,46400000,"chr2-0344",-0.113,-0.102,-0.115,-0.073,-0.085
"chr2-0345","chr2",46400001,46500000,"chr2-0345",-0.048,-0.097,-0.15,-0.076,-0.012
"chr2-0346","chr2",46500001,46600000,"chr2-0346",-0.005,-0.033,-0.001,-0.009,-0.057
"chr2-0347","chr2",46600001,46700000,"chr2-0347",-0.045,-0.033,-0.109,-0.025,-0.04
"chr2-0348","chr2",46700001,46800000,"chr2-0348",0.013,-0.024,0.025,0.022,0.032
"chr2-0349","chr2",46800001,46900000,"chr2-0349",-0.049,-0.034,-0.138,0.015,-0.079
"chr2-0350","chr2",46900001,47000000,"chr2-0350",0.024,0.06,-0.019,0.027,0.122
"chr2-0351","chr2",47000001,47100000,"chr2-0351",-0.06,-0.067,-0.125,-0.034,-0.112
"chr2-0352","chr2",47100001,47200000,"chr2-0352",0.006,-0.02,0.123,0.02,-0.006
"chr2-0353","chr2",47200001,47300000,"chr2-0353",0.065,-0.049,-0.004,-0.016,-0.094
"chr2-0354","chr2",47300001,47400000,"chr2-0354",-0.009,0.002,-0.003,0.056,0.183
"chr2-0355","chr2",47400001,47500000,"chr2-0355",-0.034,-0.025,-0.005,-0.079,0.002
"chr2-0356","chr2",47500001,47600000,"chr2-0356",0.096,0.153,0.2,0.183,0.313
"chr2-0357","chr2",47600001,47700000,"chr2-0357",-0.015,0.019,0.145,0.049,0.063
"chr2-0358","chr2",47700001,47800000,"chr2-0358",-0.033,-0.025,0.002,0.023,0.011
"chr2-0359","chr2",47800001,47900000,"chr2-0359",-0.04,-0.033,-0.072,-0.077,-0.071
"chr2-0360","chr2",47900001,48000000,"chr2-0360",0.097,0.1,0.118,0.141,0.221
"chr2-0361","chr2",48000001,48100000,"chr2-0361",0.116,0.127,0.15,0.082,0.254
"chr2-0362","chr2",48100001,48200000,"chr2-0362",0.089,0.179,0.143,0.252,0.356
"chr2-0363","chr2",48200001,48500000,"chr2-0363",-0.043,-0.068,-0.112,-0.014,0.135
"chr2-0364","chr2",48500001,48600000,"chr2-0364",0.142,0.128,0.102,0.096,0.275
"chr2-0365","chr2",48600001,48700000,"chr2-0365",-0.012,-0.005,-0.065,-0.027,0.038
"chr2-0366","chr2",48700001,48800000,"chr2-0366",0.092,0.064,0.085,0.175,0.27
"chr2-0367","chr2",48800001,48900000,"chr2-0367",0.078,0.201,0.169,0.203,0.183
"chr2-0368","chr2",48900001,49000000,"chr2-0368",0.025,-0.013,-0.076,0.107,0.107
"chr2-0369","chr2",49000001,49200000,"chr2-0369",-0.064,-0.035,-0.218,-0.101,-0.141
"chr2-0370","chr2",49200001,49600000,"chr2-0370",-0.079,0.077,-0.171,-0.075,0.022
"chr2-0371","chr2",49600001,50200000,"chr2-0371",-0.182,-0.054,-0.12,-0.267,-0.063
"chr2-0372","chr2",50200001,50500000,"chr2-0372",-0.136,0.004,-0.167,-0.108,-0.088
"chr2-0373","chr2",50500001,50600000,"chr2-0373",0.094,-0.075,0.109,-0.001,-0.041
"chr2-0374","chr2",50600001,50800000,"chr2-0374",-0.14,-0.064,-0.286,-0.092,-0.222
"chr2-0375","chr2",50800001,51000000,"chr2-0375",-0.06,0.028,-0.123,0,-0.014
"chr2-0376","chr2",51000001,51200000,"chr2-0376",-0.093,0.045,-0.135,-0.038,0.045
"chr2-0377","chr2",51200001,51300000,"chr2-0377",-0.053,-0.055,-0.046,0.005,0.024
"chr2-0378","chr2",51300001,52000000,"chr2-0378",-0.092,-0.134,-0.084,-0.069,-0.022
"chr2-0379","chr2",52000001,52300000,"chr2-0379",0.018,0.098,-0.044,-0.046,-0.003
"chr2-0380","chr2",52300001,52800000,"chr2-0380",-0.072,0.031,0.025,0.112,0.046
"chr2-0381","chr2",52800001,53400000,"chr2-0381",-0.093,0.026,-0.156,-0.107,-0.1
"chr2-0382","chr2",53400001,53700000,"chr2-0382",-0.079,-0.062,-0.224,-0.104,-0.062
"chr2-0383","chr2",53700001,53900000,"chr2-0383",-0.039,0.017,-0.044,-0.018,0.015
"chr2-0384","chr2",53900001,54000000,"chr2-0384",-0.104,-0.068,-0.253,-0.159,-0.246
"chr2-0385","chr2",54000001,54100000,"chr2-0385",0.028,0.127,0.093,0.029,0.082
"chr2-0386","chr2",54100001,54300000,"chr2-0386",0.07,0.119,0.12,0.156,0.265
"chr2-0387","chr2",54300001,54400000,"chr2-0387",0.001,0.05,-0.008,0.052,0.215
"chr2-0388","chr2",54400001,54500000,"chr2-0388",-0.065,-0.086,-0.038,-0.039,0.041
"chr2-0389","chr2",54500001,54600000,"chr2-0389",-0.019,-0.026,-0.063,-0.059,-0.104
"chr2-0390","chr2",54600001,54700000,"chr2-0390",0.029,0.066,0.148,0.084,0.22
"chr2-0391","chr2",54700001,54800000,"chr2-0391",-0.072,-0.043,-0.026,-0.036,-0.037
"chr2-0392","chr2",54800001,54900000,"chr2-0392",-0.003,0.034,-0.035,0.004,-0.016
"chr2-0393","chr2",54900001,55000000,"chr2-0393",-0.081,-0.06,-0.002,-0.053,-0.078
"chr2-0394","chr2",55000001,55100000,"chr2-0394",-0.21,-0.033,-0.092,-0.056,0.016
"chr2-0395","chr2",55100001,55200000,"chr2-0395",-0.025,0.055,-0.042,0.125,0.087
"chr2-0396","chr2",55200001,55300000,"chr2-0396",0.06,0.124,0.067,0.091,0.143
"chr2-0397","chr2",55300001,55400000,"chr2-0397",-0.021,0.036,-0.018,-0.075,0.068
"chr2-0398","chr2",55400001,55500000,"chr2-0398",-0.071,-0.093,-0.049,-0.066,-0.014
"chr2-0399","chr2",55500001,55600000,"chr2-0399",0.022,0.098,0.038,0.047,0.268
"chr2-0400","chr2",55600001,55700000,"chr2-0400",0.061,0.185,0.158,0.123,0.118
"chr2-0401","chr2",55700001,55800000,"chr2-0401",-0.035,-0.175,-0.09,-0.086,-0.033
"chr2-0402","chr2",55800001,55900000,"chr2-0402",0.017,-0.129,-0.085,-0.092,-0.233
"chr2-0403","chr2",55900001,56100000,"chr2-0403",-0.058,0.021,-0.034,0.01,0.026
"chr2-0404","chr2",56100001,56200000,"chr2-0404",0.004,-0.001,-0.064,0.001,0.154
"chr2-0405","chr2",56200001,56400000,"chr2-0405",-0.172,-0.035,-0.278,-0.094,-0.023
"chr2-0406","chr2",56400001,56500000,"chr2-0406",-0.01,0.011,0.076,0.131,0.116
"chr2-0407","chr2",56500001,57700000,"chr2-0407",-0.152,-0.026,-0.331,-0.238,-0.274
"chr2-0408","chr2",57700001,58100000,"chr2-0408",-0.226,-0.137,-0.353,-0.2,-0.086
"chr2-0409","chr2",58100001,58200000,"chr2-0409",-0.021,-0.054,-0.136,0.014,-0.066
"chr2-0410","chr2",58200001,58400000,"chr2-0410",-0.139,-0.154,-0.18,-0.244,-0.283
"chr2-0411","chr2",58400001,58500000,"chr2-0411",-0.196,-0.131,-0.161,-0.162,-0.198
"chr2-0412","chr2",58500001,58700000,"chr2-0412",-0.173,-0.178,-0.163,-0.182,-0.13
"chr2-0413","chr2",58700001,58800000,"chr2-0413",-0.071,-0.039,-0.058,-0.012,-0.018
"chr2-0414","chr2",58800001,59000000,"chr2-0414",-0.076,0.009,-0.078,-0.028,-0.075
"chr2-0415","chr2",59000001,59200000,"chr2-0415",-0.112,-0.022,-0.168,-0.099,-0.187
"chr2-0416","chr2",59200001,59500000,"chr2-0416",-0.153,-0.035,-0.22,-0.219,-0.132
"chr2-0417","chr2",59500001,60200000,"chr2-0417",-0.076,0.069,-0.115,0.043,0.075
"chr2-0418","chr2",60200001,60500000,"chr2-0418",-0.056,-0.044,-0.103,-0.072,-0.082
"chr2-0419","chr2",60500001,60600000,"chr2-0419",-0.111,-0.07,-0.082,-0.065,-0.019
"chr2-0420","chr2",60600001,60700000,"chr2-0420",0.038,0.095,0.007,0.047,0.134
"chr2-0421","chr2",60700001,60800000,"chr2-0421",0.023,-0.001,0.052,0.064,0.098
"chr2-0422","chr2",60800001,60900000,"chr2-0422",-0.024,0.083,0.011,-0.02,0.048
"chr2-0423","chr2",60900001,61000000,"chr2-0423",-0.027,-0.048,0.039,0.039,-0.002
"chr2-0424","chr2",61000001,61100000,"chr2-0424",0.045,0.008,0.056,0.092,0.102
"chr2-0425","chr2",61100001,61200000,"chr2-0425",0.023,0.108,0.117,0.082,0.149
"chr2-0426","chr2",61200001,61300000,"chr2-0426",0,0.031,0.012,0.055,0.005
"chr2-0427","chr2",61300001,61400000,"chr2-0427",0.132,0.169,0.259,0.3,0.411
"chr2-0428","chr2",61400001,61500000,"chr2-0428",0.053,0.063,0.034,0.072,0.167
"chr2-0429","chr2",61500001,61600000,"chr2-0429",0.081,0.113,0.275,0.142,0.498
"chr2-0430","chr2",61600001,61700000,"chr2-0430",0.088,0.067,0.171,0.214,0.325
"chr2-0431","chr2",61700001,61800000,"chr2-0431",0.019,0.012,0.149,0.019,-0.021
"chr2-0432","chr2",61800001,61900000,"chr2-0432",0.068,0.101,0.106,0.119,0.275
"chr2-0433","chr2",61900001,62000000,"chr2-0433",0.15,0.009,0.166,0.115,0.216
"chr2-0434","chr2",62000001,62100000,"chr2-0434",0.058,-0.019,0.114,-0.035,0.102
"chr2-0435","chr2",62100001,62200000,"chr2-0435",0.032,0.036,0.047,0.139,0.126
"chr2-0436","chr2",62200001,62400000,"chr2-0436",0.013,0.083,0.053,0.116,0.221
"chr2-0437","chr2",62400001,62500000,"chr2-0437",0.034,0.015,0.109,0.081,0.042
"chr2-0438","chr2",62500001,62600000,"chr2-0438",-0.007,-0.012,0.057,0.079,0.159
"chr2-0439","chr2",62600001,62700000,"chr2-0439",0.029,0.025,0.033,0.015,-0.042
"chr2-0440","chr2",62700001,62800000,"chr2-0440",-0.104,0.049,0.01,0.024,0.078
"chr2-0441","chr2",62800001,62900000,"chr2-0441",-0.019,0.016,-0.069,-0.05,-0.062
"chr2-0442","chr2",62900001,63000000,"chr2-0442",0.017,0.078,0.069,-0.001,0.07
"chr2-0443","chr2",63000001,63200000,"chr2-0443",-0.112,0.004,-0.361,-0.292,-0.111
"chr2-0444","chr2",63200001,63300000,"chr2-0444",0.05,0.025,0.17,0.074,0.058
"chr2-0445","chr2",63300001,63600000,"chr2-0445",-0.12,-0.083,-0.018,-0.045,0.176
"chr2-0446","chr2",63600001,63800000,"chr2-0446",-0.102,-0.055,-0.319,-0.185,-0.108
"chr2-0447","chr2",63800001,64000000,"chr2-0447",-0.1,-0.191,-0.177,-0.177,-0.232
"chr2-0448","chr2",64000001,64100000,"chr2-0448",-0.011,-0.001,0.011,-0.031,-0.072
"chr2-0449","chr2",64100001,64300000,"chr2-0449",0.053,0.059,0.006,0.072,0.195
"chr2-0450","chr2",64300001,64400000,"chr2-0450",-0.067,0.029,0.032,0.016,0.121
"chr2-0451","chr2",64400001,64500000,"chr2-0451",-0.058,-0.057,-0.141,-0.061,-0.016
"chr2-0452","chr2",64500001,64600000,"chr2-0452",-0.097,-0.103,-0.101,-0.072,-0.218
"chr2-0453","chr2",64600001,64700000,"chr2-0453",-0.039,-0.03,0.028,0.032,0.001
"chr2-0454","chr2",64700001,64800000,"chr2-0454",-0.044,-0.029,-0.056,-0.078,-0.043
"chr2-0455","chr2",64800001,64900000,"chr2-0455",0.004,0.037,0.023,0.022,0.049
"chr2-0456","chr2",64900001,65000000,"chr2-0456",-0.003,0.053,-0.06,0.068,0.122
"chr2-0457","chr2",65000001,65100000,"chr2-0457",0,0.001,-0.02,0.009,0.034
"chr2-0458","chr2",65100001,65200000,"chr2-0458",-0.019,-0.1,0.019,-0.095,-0.084
"chr2-0459","chr2",65200001,65300000,"chr2-0459",0.01,0.019,0.082,0.067,0.058
"chr2-0460","chr2",65300001,65400000,"chr2-0460",0.013,0.061,0.081,0.084,0.235
"chr2-0461","chr2",65400001,65500000,"chr2-0461",0.039,0.096,0.109,0.087,0.129
"chr2-0462","chr2",65500001,65600000,"chr2-0462",0.012,0.051,-0.018,0.118,0.13
"chr2-0463","chr2",65600001,65700000,"chr2-0463",0.073,0.067,0.121,0.137,0.084
"chr2-0464","chr2",65700001,65800000,"chr2-0464",-0.071,-0.003,0.009,0.071,0.177
"chr2-0465","chr2",65800001,65900000,"chr2-0465",-0.069,0.019,0.022,0.039,0.101
"chr2-0466","chr2",65900001,66200000,"chr2-0466",-0.037,0.012,-0.072,-0.037,-0.041
"chr2-0467","chr2",66200001,66600000,"chr2-0467",-0.06,0.042,-0.061,0.138,-0.035
"chr2-0468","chr2",66600001,66700000,"chr2-0468",-0.059,-0.095,-0.032,-0.007,-0.017
"chr2-0469","chr2",66700001,66800000,"chr2-0469",-0.07,0.039,-0.126,-0.093,-0.055
"chr2-0470","chr2",66800001,66900000,"chr2-0470",-0.037,-0.094,-0.041,-0.069,-0.173
"chr2-0471","chr2",66900001,67000000,"chr2-0471",-0.118,0.021,-0.241,-0.004,0.022
"chr2-0472","chr2",67000001,67200000,"chr2-0472",-0.232,-0.171,-0.231,-0.168,-0.153
"chr2-0473","chr2",67200001,67400000,"chr2-0473",-0.069,0.057,-0.143,0.015,0.113
"chr2-0474","chr2",67400001,67500000,"chr2-0474",-0.081,-0.097,-0.21,-0.111,-0.197
"chr2-0475","chr2",67500001,67600000,"chr2-0475",-0.073,0.023,-0.175,-0.08,-0.268
"chr2-0476","chr2",67600001,67700000,"chr2-0476",-0.004,-0.063,0.074,-0.013,0.108
"chr2-0477","chr2",67700001,67800000,"chr2-0477",-0.178,-0.113,-0.298,-0.236,-0.282
"chr2-0478","chr2",67800001,68000000,"chr2-0478",-0.116,0.015,-0.159,-0.035,0.026
"chr2-0479","chr2",68000001,68200000,"chr2-0479",-0.06,-0.008,-0.049,-0.117,-0.061
"chr2-0480","chr2",68200001,68300000,"chr2-0480",-0.027,0.023,-0.086,0.018,0.12
"chr2-0481","chr2",68300001,68400000,"chr2-0481",-0.011,-0.074,-0.052,-0.021,-0.055
"chr2-0482","chr2",68400001,68500000,"chr2-0482",0.043,0.031,-0.004,0.103,0.26
