"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-1716","chr1",215325001,215700000,"chr1-1716",-0.193,-0.069,0.007,-0.033,0.04,0.037,-0.333,-0.077,0.059
"chr1-1717","chr1",215700001,215775000,"chr1-1717",0.099,0.173,0.376,0.206,0.092,0.095,0.024,0.256,0.186
"chr1-1718","chr1",215775001,215850000,"chr1-1718",-0.596,-0.272,-0.427,-0.443,-0.121,-0.181,-0.396,-0.243,-0.112
"chr1-1719","chr1",215850001,216225000,"chr1-1719",-0.4,-0.212,-0.164,-0.141,-0.083,-0.113,-0.31,-0.249,-0.124
"chr1-1720","chr1",216225001,216375000,"chr1-1720",-0.719,-0.268,-0.54,-0.468,-0.109,-0.192,-0.523,-0.495,-0.202
"chr1-1721","chr1",216375001,216675000,"chr1-1721",-0.62,-0.28,-0.458,-0.449,-0.177,-0.158,-0.623,-0.438,-0.223
"chr1-1722","chr1",216675001,216825000,"chr1-1722",-0.369,-0.053,-0.052,-0.115,-0.042,-0.032,-0.209,-0.066,0.039
"chr1-1723","chr1",216825001,216975000,"chr1-1723",-0.395,-0.063,-0.11,-0.281,-0.003,-0.172,-0.18,-0.184,-0.023
"chr1-1724","chr1",216975001,217200000,"chr1-1724",-0.57,-0.194,-0.513,-0.299,-0.054,-0.055,-0.465,-0.325,-0.097
"chr1-1725","chr1",217200001,217275000,"chr1-1725",-0.316,-0.005,-0.13,-0.049,-0.035,0.041,-0.177,0.019,0.094
"chr1-1726","chr1",217275001,217350000,"chr1-1726",0.147,0.008,0.155,0.048,-0.112,0.132,0.015,0.091,0.005
"chr1-1727","chr1",217350001,217650000,"chr1-1727",-0.282,-0.032,-0.094,-0.239,-0.047,-0.133,-0.18,-0.217,-0.204
"chr1-1728","chr1",217650001,217725000,"chr1-1728",0.064,0.018,0.41,0.288,0.172,0.086,-0.05,0.224,0.215
"chr1-1729","chr1",217725001,217875000,"chr1-1729",-0.232,-0.013,-0.014,0.116,-0.009,-0.021,-0.24,-0.079,0.062
"chr1-1730","chr1",217875001,218100000,"chr1-1730",-0.458,-0.084,-0.269,-0.229,-0.038,-0.085,-0.303,-0.18,-0.031
"chr1-1731","chr1",218100001,218400000,"chr1-1731",-0.307,-0.088,-0.062,-0.174,-0.047,0.012,-0.321,-0.018,-0.001
"chr1-1732","chr1",218400001,218475000,"chr1-1732",-0.077,-0.021,-0.048,0.051,-0.037,-0.035,-0.163,-0.013,-0.041
"chr1-1733","chr1",218475001,218550000,"chr1-1733",0.029,-0.063,-0.094,0.023,0.021,-0.023,0.102,0.032,0.023
"chr1-1734","chr1",218550001,218700000,"chr1-1734",-0.137,-0.054,0.052,-0.039,0.004,0.021,-0.269,-0.171,0.079
"chr1-1735","chr1",218700001,218850000,"chr1-1735",-0.473,-0.068,-0.19,-0.212,0.02,-0.001,-0.306,-0.196,-0.033
"chr1-1736","chr1",218850001,219000000,"chr1-1736",-0.386,-0.065,-0.444,-0.352,0.029,-0.063,-0.206,-0.323,-0.126
"chr1-1737","chr1",219000001,219300000,"chr1-1737",-0.422,-0.096,-0.323,-0.268,-0.069,-0.127,-0.357,-0.216,-0.074
"chr1-1738","chr1",219300001,219375000,"chr1-1738",0.109,-0.025,-0.181,0.112,-0.044,-0.048,0.017,-0.036,-0.07
"chr1-1739","chr1",219375001,219525000,"chr1-1739",-0.406,-0.054,-0.196,-0.154,0.004,-0.026,-0.293,-0.07,0.074
"chr1-1740","chr1",219525001,219675000,"chr1-1740",-0.403,-0.092,-0.234,-0.162,-0.109,-0.113,-0.394,-0.254,-0.179
"chr1-1741","chr1",219675001,219825000,"chr1-1741",-0.3,-0.023,-0.141,-0.134,-0.035,-0.112,-0.307,-0.194,-0.035
"chr1-1742","chr1",219825001,219900000,"chr1-1742",-0.244,0.045,-0.029,-0.105,0.028,-0.083,-0.315,-0.031,-0.104
"chr1-1743","chr1",219900001,220050000,"chr1-1743",-0.335,-0.085,-0.356,-0.234,-0.03,-0.023,-0.233,-0.198,-0.088
"chr1-1744","chr1",220050001,220125000,"chr1-1744",-0.075,-0.01,0.152,-0.019,-0.046,-0.064,-0.067,0.069,-0.085
"chr1-1745","chr1",220125001,220200000,"chr1-1745",-0.219,-0.007,0.157,-0.086,-0.025,-0.001,-0.293,-0.017,0.023
"chr1-1746","chr1",220200001,220275000,"chr1-1746",0.205,0.169,0.49,0.293,0.115,0.123,0.105,0.286,0.149
"chr1-1747","chr1",220275001,220425000,"chr1-1747",-0.169,0.028,0.033,0.078,0.117,0.046,-0.223,0.151,0.12
"chr1-1748","chr1",220425001,220500000,"chr1-1748",0.021,-0.045,-0.192,-0.058,-0.05,-0.065,-0.102,-0.052,-0.106
"chr1-1749","chr1",220500001,220650000,"chr1-1749",-0.331,-0.079,-0.079,-0.25,-0.053,-0.139,-0.337,-0.173,-0.073
"chr1-1750","chr1",220650001,220800000,"chr1-1750",-0.132,-0.022,-0.042,-0.047,-0.026,0.075,-0.098,-0.078,0.056
"chr1-1751","chr1",220800001,220875000,"chr1-1751",-0.175,-0.112,-0.026,-0.182,-0.049,-0.047,-0.241,-0.021,-0.083
"chr1-1752","chr1",220875001,220950000,"chr1-1752",-0.011,-0.005,-0.09,-0.001,-0.008,-0.031,-0.077,0.053,-0.055
"chr1-1753","chr1",220950001,221025000,"chr1-1753",-0.134,-0.044,0.001,-0.154,-0.047,-0.073,-0.115,-0.086,-0.131
"chr1-1754","chr1",221025001,221100000,"chr1-1754",0.106,-0.05,0.214,0.01,0.002,0.034,0.138,0.004,0.046
"chr1-1755","chr1",221100001,221325000,"chr1-1755",-0.39,-0.105,-0.322,-0.186,0.028,-0.045,-0.297,-0.274,-0.038
"chr1-1756","chr1",221325001,221475000,"chr1-1756",-0.276,-0.068,-0.052,-0.174,-0.065,-0.077,-0.133,-0.107,-0.028
"chr1-1757","chr1",221475001,221625000,"chr1-1757",-0.57,-0.139,-0.404,-0.136,-0.105,-0.135,-0.396,-0.267,-0.134
"chr1-1758","chr1",221625001,221850000,"chr1-1758",-0.438,-0.117,-0.268,-0.293,-0.161,-0.15,-0.43,-0.404,-0.171
"chr1-1759","chr1",221850001,221925000,"chr1-1759",0.039,0.003,-0.121,-0.005,-0.054,-0.072,-0.041,-0.006,-0.045
"chr1-1760","chr1",221925001,222000000,"chr1-1760",-0.424,-0.177,-0.378,-0.389,-0.118,-0.236,-0.441,-0.329,-0.17
"chr1-1761","chr1",222000001,222075000,"chr1-1761",-0.369,-0.035,-0.225,-0.271,-0.077,-0.146,-0.298,-0.085,-0.064
"chr1-1762","chr1",222075001,222150000,"chr1-1762",-0.153,0.148,0.308,0.087,0.125,0.109,-0.225,0.076,0.144
"chr1-1763","chr1",222150001,222225000,"chr1-1763",-0.406,0.002,-0.153,-0.136,-0.068,-0.078,-0.332,-0.22,-0.101
"chr1-1764","chr1",222225001,222450000,"chr1-1764",-0.415,-0.089,-0.288,-0.356,-0.046,-0.112,-0.424,-0.31,-0.105
"chr1-1765","chr1",222450001,222600000,"chr1-1765",-0.483,-0.035,-0.287,-0.224,-0.068,-0.084,-0.373,-0.372,-0.175
"chr1-1766","chr1",222600001,222675000,"chr1-1766",0.011,0.072,0.126,0.039,0.067,0.046,-0.047,-0.054,0.072
"chr1-1767","chr1",222675001,222750000,"chr1-1767",-0.104,0.014,0.055,-0.137,-0.057,-0.078,-0.071,-0.129,-0.068
"chr1-1768","chr1",222750001,222825000,"chr1-1768",0.049,0.066,-0.089,0.022,0.051,0.018,-0.021,-0.006,0.036
"chr1-1769","chr1",222825001,222900000,"chr1-1769",0.175,-0.022,-0.187,0.054,0.062,0.044,0.185,0.08,-0.03
"chr1-1770","chr1",222900001,222975000,"chr1-1770",-0.254,-0.052,-0.041,-0.066,0.021,0.041,-0.11,-0.099,0.066
"chr1-1771","chr1",222975001,223050000,"chr1-1771",0.075,-0.065,-0.046,0.081,0.021,-0.082,-0.148,-0.099,-0.031
"chr1-1772","chr1",223050001,223200000,"chr1-1772",-0.169,-0.082,-0.276,-0.214,-0.046,-0.076,-0.305,-0.206,-0.026
"chr1-1773","chr1",223200001,223275000,"chr1-1773",0.16,-0.055,-0.082,-0.085,-0.009,-0.016,0.084,-0.025,-0.04
"chr1-1774","chr1",223275001,223350000,"chr1-1774",-0.153,-0.12,-0.362,-0.301,-0.059,-0.081,-0.071,-0.261,-0.167
"chr1-1775","chr1",223350001,223500000,"chr1-1775",-0.369,-0.079,-0.288,-0.286,-0.058,-0.153,-0.268,-0.203,-0.115
"chr1-1776","chr1",223500001,223575000,"chr1-1776",0.217,0.096,0.304,0.005,0.04,0.002,-0.032,0.204,0.139
"chr1-1777","chr1",223575001,223747846,"chr1-1777",-0.309,-0.122,-0.247,-0.3,-0.075,-0.039,-0.26,-0.19,-0.219
"chr1-1778","chr1",223797847,223875000,"chr1-1778",-0.344,-0.021,-0.249,-0.214,-0.171,-0.14,-0.261,-0.162,-0.146
"chr1-1779","chr1",223875001,223950000,"chr1-1779",0.122,0.058,0.034,-0.005,0.01,-0.05,0.046,0.012,-0.006
"chr1-1780","chr1",223950001,224025000,"chr1-1780",-0.166,0.026,0.089,-0.081,0.042,0.051,-0.112,-0.021,0.09
"chr1-1781","chr1",224025001,224100000,"chr1-1781",0.286,0.042,-0.03,0.105,0.092,0.139,0.168,0.125,0.146
"chr1-1782","chr1",224100001,224250000,"chr1-1782",-0.247,-0.103,0.176,0.009,-0.05,-0.143,-0.337,-0.04,0.041
"chr1-1783","chr1",224250001,224325000,"chr1-1783",-0.029,-0.048,0.046,-0.034,0.032,0.068,-0.072,-0.018,-0.08
"chr1-1784","chr1",224325001,224400000,"chr1-1784",0.227,0.216,0.476,0.302,0.189,0.156,0.19,0.278,0.217
"chr1-1785","chr1",224400001,224475000,"chr1-1785",-0.006,0.263,0.368,0.044,0.153,0.075,0.042,0.07,0.001
"chr1-1786","chr1",224475001,224550000,"chr1-1786",0.165,0.032,-0.07,0.024,0.103,0.082,0.032,0.126,-0.016
"chr1-1787","chr1",224550001,224625000,"chr1-1787",0.138,0.036,0.151,0.255,0.063,0.053,0.143,0.151,0.145
"chr1-1788","chr1",224625001,224700000,"chr1-1788",-0.192,0.058,-0.079,-0.176,0.025,0.073,-0.134,-0.037,-0.03
"chr1-1789","chr1",224700001,224775000,"chr1-1789",-0.332,0.031,-0.204,-0.189,-0.032,-0.08,-0.223,-0.184,-0.099
"chr1-1790","chr1",224775001,224850000,"chr1-1790",-0.076,0.027,0.002,-0.106,-0.037,-0.044,-0.06,-0.091,-0.08
"chr1-1791","chr1",224850001,225000000,"chr1-1791",-0.427,-0.052,-0.359,-0.343,-0.098,-0.127,-0.271,-0.295,-0.113
"chr1-1792","chr1",225000001,225150000,"chr1-1792",0.041,0.017,0.144,0.127,0.049,-0.033,-0.071,0.176,0.039
"chr1-1793","chr1",225150001,225600000,"chr1-1793",-0.002,0.168,0.363,0.08,0.105,0.129,-0.123,0.037,0.202
"chr1-1794","chr1",225600001,225675000,"chr1-1794",0.227,0.06,0.094,0.174,0.052,0.096,0.169,0.18,0.106
"chr1-1795","chr1",225675001,225750000,"chr1-1795",-0.24,-0.061,-0.052,-0.059,0.043,0.018,-0.013,-0.023,0.074
"chr1-1796","chr1",225750001,225825000,"chr1-1796",-0.26,0.033,-0.049,-0.062,0.04,-0.018,-0.224,-0.096,0.003
"chr1-1797","chr1",225825001,225900000,"chr1-1797",0.11,0.106,0.227,0.279,0.102,0.021,0.084,0.155,0.131
"chr1-1798","chr1",225900001,225975000,"chr1-1798",0.094,0.035,0.148,0.027,0.035,-0.029,0.079,0.126,0.043
"chr1-1799","chr1",225975001,226050000,"chr1-1799",0.137,0.038,0.056,0.101,0.055,0.099,0.255,0.151,0.057
"chr1-1800","chr1",226050001,226125000,"chr1-1800",0.183,0.038,0.132,0.071,0.039,0.038,0.169,0.133,-0.023
"chr1-1801","chr1",226125001,226200000,"chr1-1801",0.025,0.079,0.15,0.099,0.05,0.114,0.115,0.146,0.059
"chr1-1802","chr1",226200001,226275000,"chr1-1802",0.298,0.203,0.285,0.254,0.163,0.09,0.245,0.358,0.232
"chr1-1803","chr1",226275001,226350000,"chr1-1803",0.052,0.035,0.09,0.081,0.038,0.025,0.028,0.072,0.031
"chr1-1804","chr1",226350001,226425000,"chr1-1804",0.149,0.188,0.257,0.192,0.125,0.095,0.128,0.25,0.23
"chr1-1805","chr1",226425001,226500000,"chr1-1805",0.123,0.157,0.133,0.062,0.09,0.135,0.062,0.154,0.141
"chr1-1806","chr1",226500001,226575000,"chr1-1806",-0.149,0.081,-0.051,-0.093,0.065,0.01,-0.097,-0.125,-0.014
"chr1-1807","chr1",226575001,226725000,"chr1-1807",0.028,0.083,0.147,0.105,0.013,0.016,0.004,0.104,0.066
"chr1-1808","chr1",226725001,226800000,"chr1-1808",0.164,0.018,0.109,0.065,0.048,0.017,0.159,0.112,0.031
"chr1-1809","chr1",226800001,226875000,"chr1-1809",0.112,-0.014,-0.124,-0.003,0.026,-0.036,0.18,0.004,-0.025
"chr1-1810","chr1",226875001,226950000,"chr1-1810",0.258,-0.008,0.004,0.142,0.045,-0.034,0.246,0.12,0.058
"chr1-1811","chr1",226950001,227025000,"chr1-1811",0.082,0.074,-0.053,0.116,0.045,-0.011,0.178,0.005,-0.071
"chr1-1812","chr1",227025001,227100000,"chr1-1812",0.113,0.112,0.138,0.068,0.06,0.022,0.117,0.131,0.139
"chr1-1813","chr1",227100001,227175000,"chr1-1813",0.155,0.023,0.214,0.062,0.004,0.061,0.099,0.138,0.071
"chr1-1814","chr1",227175001,227250000,"chr1-1814",-0.319,0.036,0.118,0.095,-0.043,-0.009,0.032,0.003,0.1
"chr1-1815","chr1",227250001,227475000,"chr1-1815",-0.16,0.02,0.055,0.095,0.014,-0.002,-0.245,-0.021,0.094
"chr1-1816","chr1",227475001,227550000,"chr1-1816",0.042,0.047,0.211,0.062,0.127,0.037,-0.138,0.054,0.097
"chr1-1817","chr1",227550001,227700000,"chr1-1817",-0.337,-0.083,-0.182,-0.294,-0.1,-0.153,-0.244,-0.073,-0.2
"chr1-1818","chr1",227700001,227775000,"chr1-1818",0.401,0.037,0.227,0.21,0.049,0.106,0.235,0.179,0.145
"chr1-1819","chr1",227775001,227925000,"chr1-1819",0.249,0.003,0.096,0.071,0.091,0.057,0.117,0.15,0.003
"chr1-1820","chr1",227925001,228000000,"chr1-1820",0.312,-0.055,-0.014,-0.008,-0.02,0.093,0.137,0.13,0.022
"chr1-1821","chr1",228000001,228075000,"chr1-1821",0.093,-0.056,-0.132,-0.033,-0.031,0,0.09,0.098,-0.061
"chr1-1822","chr1",228075001,228150000,"chr1-1822",0.186,-0.001,0.149,0.152,-0.005,0.02,0.104,0.125,0.087
"chr1-1823","chr1",228150001,228225000,"chr1-1823",0.258,-0.002,0.296,0.093,-0.01,0.02,0.157,0.188,0.103
"chr1-1824","chr1",228225001,228300000,"chr1-1824",0.249,-0.059,0.026,0.043,0.003,0.033,0.154,0.129,0.031
"chr1-1825","chr1",228300001,228375000,"chr1-1825",0.201,-0.072,0.047,0.065,-0.047,0.069,0.167,0.143,0.043
"chr1-1826","chr1",228375001,228450000,"chr1-1826",0.193,-0.038,0.216,0.049,0.017,0.029,0.159,0.14,0.075
"chr1-1827","chr1",228450001,228525000,"chr1-1827",0.164,-0.023,0.265,0.153,-0.018,0.018,0.095,0.146,0.104
"chr1-1828","chr1",228525001,228600000,"chr1-1828",0.203,-0.012,0.388,0.141,-0.022,0.011,0.156,0.154,0.081
"chr1-1829","chr1",228600001,228675000,"chr1-1829",0.153,-0.005,0.11,0.035,-0.014,0.039,0.062,0.065,0.036
"chr1-1830","chr1",228675001,228750000,"chr1-1830",0.075,0.151,0.248,0.083,0.158,0.057,0.103,0.094,0.102
"chr1-1831","chr1",228750001,228825000,"chr1-1831",0.101,-0.052,0.361,0.154,-0.072,0.013,-0.039,-0.028,0.027
"chr1-1832","chr1",228825001,228900000,"chr1-1832",0.136,0.026,0.276,0.001,0.055,0.077,-0.006,0.034,0.128
"chr1-1833","chr1",228900001,228975000,"chr1-1833",-0.199,-0.089,-0.3,-0.282,-0.101,-0.184,-0.199,-0.203,-0.126
"chr1-1834","chr1",228975001,229050000,"chr1-1834",0.076,0.055,-0.02,-0.029,0.014,-0.047,-0.046,-0.133,-0.029
"chr1-1835","chr1",229050001,229125000,"chr1-1835",-0.19,-0.018,-0.252,-0.153,-0.104,-0.135,-0.051,-0.157,-0.122
"chr1-1836","chr1",229125001,229200000,"chr1-1836",-0.117,0.063,-0.039,-0.15,-0.028,-0.062,-0.062,-0.053,-0.072
"chr1-1837","chr1",229200001,229275000,"chr1-1837",-0.087,0.043,-0.184,-0.024,-0.006,-0.079,-0.022,-0.075,-0.053
"chr1-1838","chr1",229275001,229350000,"chr1-1838",-0.211,-0.137,-0.266,-0.208,-0.125,-0.139,-0.151,-0.215,-0.153
"chr1-1839","chr1",229350001,229425000,"chr1-1839",-0.032,0.052,0.046,-0.065,0.019,0.049,-0.072,-0.006,-0.009
"chr1-1840","chr1",229425001,229500000,"chr1-1840",0.109,0.148,0.152,0.199,0.12,0.174,0.122,0.15,0.073
"chr1-1841","chr1",229500001,229575000,"chr1-1841",0.029,-0.052,0.069,-0.117,-0.061,0.013,0.056,0.028,-0.026
"chr1-1842","chr1",229575001,229650000,"chr1-1842",-0.008,0.03,-0.144,0.112,0.023,0.089,-0.045,0.034,0.105
"chr1-1843","chr1",229650001,229725000,"chr1-1843",0.127,0.224,0.237,0.249,0.135,0.19,0.084,0.245,0.216
"chr1-1844","chr1",229725001,229800000,"chr1-1844",0.069,0.061,0.145,0.103,0.12,0.046,0.104,0.152,0.09
"chr1-1845","chr1",229800001,229950000,"chr1-1845",-0.495,-0.139,-0.388,-0.431,-0.089,-0.105,-0.358,-0.354,-0.255
"chr1-1846","chr1",229950001,230175000,"chr1-1846",-0.311,-0.099,-0.223,-0.154,-0.072,-0.126,-0.122,-0.316,-0.191
"chr1-1847","chr1",230175001,230250000,"chr1-1847",-0.002,0.006,-0.036,-0.09,0.049,0.01,-0.074,-0.061,-0.003
"chr1-1848","chr1",230250001,230325000,"chr1-1848",-0.05,-0.055,0.029,-0.035,-0.073,-0.092,-0.052,-0.051,-0.08
"chr1-1849","chr1",230325001,230400000,"chr1-1849",-0.231,0.07,0.034,-0.028,-0.031,0.004,-0.069,-0.088,-0.107
"chr1-1850","chr1",230400001,230475000,"chr1-1850",0.022,0.061,0.098,-0.062,-0.002,0.042,0.089,-0.015,-0.012
"chr1-1851","chr1",230475001,230550000,"chr1-1851",-0.378,-0.118,-0.304,-0.281,-0.041,-0.151,-0.142,-0.15,-0.149
"chr1-1852","chr1",230550001,230625000,"chr1-1852",0.22,0.094,0.089,0.068,0.056,0.082,0.138,0.172,0.039
"chr1-1853","chr1",230625001,230775000,"chr1-1853",-0.353,0.12,-0.067,-0.125,0.006,0.036,-0.107,-0.127,-0.108
"chr1-1854","chr1",230775001,230850000,"chr1-1854",0.075,0.028,0.184,0.11,0.094,0.029,0.105,0.086,0.117
"chr1-1855","chr1",230850001,230925000,"chr1-1855",-0.067,0.022,0.03,-0.111,-0.01,-0.007,-0.079,-0.058,-0.064
"chr1-1856","chr1",230925001,231000000,"chr1-1856",-0.154,-0.03,-0.083,-0.124,-0.001,0.003,0.015,-0.183,-0.075
"chr1-1857","chr1",231000001,231075000,"chr1-1857",0.208,0.129,0.111,0.187,0.115,0.122,0.103,0.225,0.209
"chr1-1858","chr1",231075001,231150000,"chr1-1858",0.067,0.005,0.071,0.122,0.039,-0.01,-0.124,0.049,0.032
"chr1-1859","chr1",231150001,231225000,"chr1-1859",-0.106,0.027,-0.018,-0.035,0.061,0.021,-0.026,0.01,-0.001
"chr1-1860","chr1",231225001,231300000,"chr1-1860",0.074,-0.048,-0.043,0.117,-0.065,-0.02,0.017,0.129,-0.007
"chr1-1861","chr1",231300001,231375000,"chr1-1861",-0.273,0.042,-0.001,-0.182,0.028,-0.059,-0.117,-0.112,-0.047
"chr1-1862","chr1",231375001,231450000,"chr1-1862",0.068,0.071,-0.028,0.024,0.006,0.001,0.107,0.067,0.059
"chr1-1863","chr1",231450001,231525000,"chr1-1863",0.248,-0.028,0.007,0.037,0.007,0.02,0.037,0.13,0.089
"chr1-1864","chr1",231525001,231600000,"chr1-1864",0.016,0.08,-0.168,-0.036,0.095,-0.032,-0.209,-0.088,0.125
"chr1-1865","chr1",231600001,231675000,"chr1-1865",-0.004,0.09,0.05,0.017,0.068,0.011,-0.071,0.091,0.085
"chr1-1866","chr1",231675001,231750000,"chr1-1866",-0.207,0.056,0.318,0.187,0.005,0.004,-0.34,-0.123,-0.007
"chr1-1867","chr1",231750001,231825000,"chr1-1867",-0.327,-0.072,-0.202,-0.115,-0.041,-0.076,-0.284,-0.146,-0.188
"chr1-1868","chr1",231825001,231975000,"chr1-1868",-0.197,0.069,-0.135,-0.114,-0.004,-0.029,-0.204,-0.113,-0.027
"chr1-1869","chr1",231975001,232125000,"chr1-1869",-0.363,0.042,-0.045,-0.156,-0.043,-0.023,-0.283,-0.139,-0.043
"chr1-1870","chr1",232125001,232275000,"chr1-1870",-0.555,-0.104,-0.521,-0.284,-0.111,-0.109,-0.385,-0.194,-0.084
"chr1-1871","chr1",232275001,232350000,"chr1-1871",-0.333,-0.06,-0.227,-0.282,-0.027,-0.09,-0.294,-0.098,-0.028
"chr1-1872","chr1",232350001,232500000,"chr1-1872",-0.318,-0.024,-0.405,-0.247,-0.082,-0.118,-0.176,-0.146,-0.036
"chr1-1873","chr1",232500001,232575000,"chr1-1873",-0.295,-0.072,-0.124,-0.132,-0.064,-0.101,-0.209,-0.267,-0.238
"chr1-1874","chr1",232575001,232650000,"chr1-1874",-0.39,-0.041,-0.064,-0.181,-0.063,-0.039,-0.326,-0.18,-0.112
"chr1-1875","chr1",232650001,232725000,"chr1-1875",-0.482,-0.082,-0.308,-0.2,-0.078,-0.139,-0.327,-0.277,-0.119
"chr1-1876","chr1",232725001,232800000,"chr1-1876",0.028,0.077,0.116,0.099,0.018,0.067,-0.026,0.148,0.146
"chr1-1877","chr1",232800001,232875000,"chr1-1877",-0.426,-0.113,-0.275,-0.308,-0.071,-0.07,-0.407,-0.32,-0.115
"chr1-1878","chr1",232875001,233025000,"chr1-1878",-0.025,-0.077,0.162,-0.076,-0.104,-0.125,-0.206,-0.215,-0.077
"chr1-1879","chr1",233025001,233100000,"chr1-1879",-0.072,-0.02,-0.035,0.039,0.022,-0.085,-0.007,-0.012,-0.003
"chr1-1880","chr1",233100001,233175000,"chr1-1880",-0.116,0.021,0.071,-0.021,-0.084,-0.03,-0.115,-0.06,0.019
"chr1-1881","chr1",233175001,233325000,"chr1-1881",-0.244,0.017,-0.007,-0.014,-0.029,-0.011,-0.02,-0.043,-0.023
"chr1-1882","chr1",233325001,233400000,"chr1-1882",-0.151,0.082,0.076,0.106,0.102,0.106,-0.119,0.069,0.157
"chr1-1883","chr1",233400001,233475000,"chr1-1883",-0.058,-0.004,0.091,-0.053,-0.017,-0.012,-0.219,-0.007,0.03
"chr1-1884","chr1",233475001,233550000,"chr1-1884",-0.376,-0.057,0.048,-0.125,-0.066,-0.092,-0.38,-0.153,-0.004
"chr1-1885","chr1",233550001,233700000,"chr1-1885",-0.451,-0.086,-0.338,-0.337,-0.06,-0.108,-0.345,-0.368,-0.251
"chr1-1886","chr1",233700001,233775000,"chr1-1886",-0.026,-0.043,-0.004,-0.017,-0.014,-0.049,-0.024,0.007,0.021
"chr1-1887","chr1",233775001,234000000,"chr1-1887",-0.563,-0.144,-0.431,-0.338,-0.153,-0.191,-0.371,-0.354,-0.184
"chr1-1888","chr1",234000001,234075000,"chr1-1888",-0.084,0.088,0.36,0.014,0.081,0.147,-0.253,-0.063,0.115
"chr1-1889","chr1",234075001,234300000,"chr1-1889",-0.373,-0.051,-0.028,-0.324,0.006,-0.033,-0.419,-0.14,-0.085
"chr1-1890","chr1",234300001,234375000,"chr1-1890",-0.096,-0.134,-0.1,-0.127,-0.049,-0.073,0.048,-0.075,-0.123
"chr1-1891","chr1",234375001,234450000,"chr1-1891",-0.443,-0.082,-0.239,-0.306,-0.056,-0.082,-0.268,-0.197,-0.118
"chr1-1892","chr1",234450001,234525000,"chr1-1892",0.093,0.081,0.156,0.018,-0.001,-0.025,-0.035,0.024,0.058
"chr1-1893","chr1",234525001,234600000,"chr1-1893",0.069,0.146,0.342,0.377,0.209,0.115,0.084,0.221,0.264
"chr1-1894","chr1",234600001,234675000,"chr1-1894",0.003,0.051,-0.047,0.033,0.014,0.051,0.07,0.021,0.082
"chr1-1895","chr1",234675001,234750000,"chr1-1895",0.263,0.079,-0.008,0.129,0.057,0.036,0.222,0.106,0.142
"chr1-1896","chr1",234750001,234825000,"chr1-1896",-0.252,-0.025,-0.267,-0.235,-0.018,-0.076,-0.105,-0.281,-0.084
"chr1-1897","chr1",234825001,234900000,"chr1-1897",0.123,0.07,-0.082,0.002,0.03,-0.048,0.193,-0.041,-0.005
"chr1-1898","chr1",234900001,234975000,"chr1-1898",-0.166,0.092,0.046,-0.007,-0.036,-0.096,-0.058,-0.083,-0.002
"chr1-1899","chr1",234975001,235050000,"chr1-1899",-0.048,0.006,-0.06,-0.059,0.019,-0.048,0.081,-0.106,0.006
"chr1-1900","chr1",235050001,235125000,"chr1-1900",-0.05,-0.001,-0.117,-0.034,0.012,0.006,0.127,-0.096,0.032
"chr1-1901","chr1",235125001,235192211,"chr1-1901",0.136,0.143,-0.023,-0.003,0.049,0.043,0.123,0.01,0.027
"chr1-1902","chr1",235242212,235275000,"chr1-1902",-0.121,0.097,-0.229,-0.019,0.007,0.048,-0.132,-0.076,-0.105
"chr1-1903","chr1",235275001,235350000,"chr1-1903",0.027,0.128,0.174,0.085,0.067,0.031,-0.031,0.116,0.007
"chr1-1904","chr1",235350001,235500000,"chr1-1904",0.37,0.125,0.21,0.316,0.143,0.212,0.235,0.239,0.246
"chr1-1905","chr1",235500001,235575000,"chr1-1905",0.051,0.168,0.264,0.19,0.128,0.134,0.095,0.165,0.036
"chr1-1906","chr1",235575001,235650000,"chr1-1906",-0.171,0.102,0.37,0.189,0.056,0.012,-0.124,0.03,0.011
"chr1-1907","chr1",235650001,235725000,"chr1-1907",-0.084,-0.098,0.008,-0.093,-0.061,-0.095,-0.1,0.096,-0.024
"chr1-1908","chr1",235725001,235800000,"chr1-1908",0.016,0.111,0.063,0.002,0.051,-0.014,0.081,0.061,-0.112
"chr1-1909","chr1",235800001,235875000,"chr1-1909",0.168,-0.024,0.02,-0.044,0.017,0.094,0.016,0.103,0.038
"chr1-1910","chr1",235875001,235950000,"chr1-1910",-0.42,-0.01,-0.264,-0.123,0.052,0.008,-0.214,-0.021,0.113
"chr1-1911","chr1",235950001,236025000,"chr1-1911",-0.663,-0.214,-0.43,-0.376,-0.111,-0.183,-0.568,-0.347,-0.073
"chr1-1912","chr1",236025001,236100000,"chr1-1912",-0.156,0.011,0.054,-0.041,-0.038,-0.048,-0.156,0.048,-0.064
"chr1-1913","chr1",236100001,236175000,"chr1-1913",-0.202,0.068,0.012,-0.052,-0.016,-0.068,-0.03,-0.027,-0.086
"chr1-1914","chr1",236175001,236250000,"chr1-1914",0.035,0.144,0.075,0.146,0.061,0.065,0.041,0.112,0.188
"chr1-1915","chr1",236250001,236325000,"chr1-1915",-0.052,0.066,0.149,0.097,0.067,0.054,0.097,0.065,0.058
"chr1-1916","chr1",236325001,236400000,"chr1-1916",-0.371,0.066,-0.063,-0.052,0.006,-0.022,-0.208,-0.095,0.064
