"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr2-0479","chr2",91800001,91900000,"chr2-0479",0.005,0.031,-0.028,-0.112,-0.12
"chr2-0480","chr2",91900001,91950000,"chr2-0480",-0.042,-0.045,-0.13,-0.023,-0.114
"chr2-0481","chr2",91950001,92250000,"chr2-0481",-0.082,0.015,-0.043,-0.035,-0.073
"chr2-0482","chr2",92250001,92326171,"chr2-0482",-0.182,-0.137,-0.213,-0.386,-0.437
"chr2-0483","chr2",95326172,95550000,"chr2-0483",-0.031,-0.061,-0.003,-0.075,-0.252
"chr2-0484","chr2",95550001,95700000,"chr2-0484",-0.03,-0.063,0.04,-0.094,-0.126
"chr2-0485","chr2",95700001,95800000,"chr2-0485",-0.05,-0.049,-0.08,-0.106,-0.11
"chr2-0486","chr2",95800001,95850000,"chr2-0486",0.021,-0.024,-0.042,-0.027,-0.07
"chr2-0487","chr2",95850001,95950000,"chr2-0487",0.039,0.019,0.048,-0.034,-0.018
"chr2-0488","chr2",95950001,96000000,"chr2-0488",0.015,-0.148,-0.081,-0.139,-0.258
"chr2-0489","chr2",96000001,96050000,"chr2-0489",-0.055,-0.142,0.02,-0.063,-0.154
"chr2-0490","chr2",96050001,96100000,"chr2-0490",-0.118,-0.15,-0.116,-0.139,-0.341
"chr2-0491","chr2",96100001,96650000,"chr2-0491",-0.022,-0.01,-0.013,-0.053,-0.033
"chr2-0492","chr2",96650001,96800000,"chr2-0492",-0.039,-0.129,-0.082,-0.067,-0.008
"chr2-0493","chr2",96800001,96850000,"chr2-0493",0.03,-0.045,0.025,-0.051,-0.139
"chr2-0494","chr2",96850001,96900000,"chr2-0494",-0.036,0.065,0.031,0.035,0.06
"chr2-0495","chr2",96900001,96950000,"chr2-0495",-0.103,-0.16,-0.001,-0.051,0.004
"chr2-0496","chr2",96950001,97000000,"chr2-0496",-0.003,0.01,0.068,-0.034,-0.188
"chr2-0497","chr2",97000001,97150000,"chr2-0497",0.089,0.063,0.117,0.119,0.142
"chr2-0498","chr2",97150001,97200000,"chr2-0498",0.022,-0.031,0.036,-0.067,-0.172
"chr2-0499","chr2",97200001,97250000,"chr2-0499",0.099,-0.022,0.074,0.012,-0.121
"chr2-0500","chr2",97250001,97400000,"chr2-0500",0.022,-0.012,0.034,-0.029,-0.09
"chr2-0501","chr2",97400001,97450000,"chr2-0501",0.063,0.125,0.158,0.049,0.089
"chr2-0502","chr2",97450001,97500000,"chr2-0502",0.026,0.019,0.113,0.05,0.086
"chr2-0503","chr2",97500001,97550000,"chr2-0503",0.055,0.057,0.126,0.046,-0.041
"chr2-0504","chr2",97550001,97750000,"chr2-0504",0.005,0.044,0.118,0.07,0.095
"chr2-0505","chr2",97750001,98250000,"chr2-0505",-0.011,-0.082,0.028,-0.096,-0.152
"chr2-0506","chr2",98250001,98300000,"chr2-0506",-0.032,-0.048,0.014,-0.116,-0.198
"chr2-0507","chr2",98300001,98350000,"chr2-0507",0.019,-0.102,0.006,-0.106,-0.187
"chr2-0508","chr2",98350001,98400000,"chr2-0508",0.028,-0.035,0.056,-0.021,-0.116
"chr2-0509","chr2",98400001,98600000,"chr2-0509",-0.04,0.061,-0.103,0.055,0.027
"chr2-0510","chr2",98600001,98650000,"chr2-0510",0.013,0.172,0.098,0.077,0.147
"chr2-0511","chr2",98650001,98750000,"chr2-0511",-0.116,-0.044,-0.124,-0.173,-0.072
"chr2-0512","chr2",98750001,98950000,"chr2-0512",0.051,0.064,0.086,0.184,0.093
"chr2-0513","chr2",98950001,99050000,"chr2-0513",0.026,-0.036,-0.017,0.02,-0.043
"chr2-0514","chr2",99050001,99100000,"chr2-0514",0.042,0.088,0.118,0.069,0.062
"chr2-0515","chr2",99100001,99250000,"chr2-0515",-0.089,-0.094,-0.113,-0.166,-0.274
"chr2-0516","chr2",99250001,99400000,"chr2-0516",0.017,0.027,0.044,0.104,0.27
"chr2-0517","chr2",99400001,99550000,"chr2-0517",-0.136,-0.075,0.035,-0.004,-0.035
"chr2-0518","chr2",99550001,99750000,"chr2-0518",0.029,0.085,0.167,0.168,0.249
"chr2-0519","chr2",99750001,99800000,"chr2-0519",0.065,-0.008,0.044,0.012,0.08
"chr2-0520","chr2",99800001,99950000,"chr2-0520",-0.114,-0.027,-0.061,0.151,0.38
"chr2-0521","chr2",99950001,100000000,"chr2-0521",-0.025,-0.062,-0.025,-0.061,-0.06
"chr2-0522","chr2",100000001,100200000,"chr2-0522",0.113,0.187,0.11,0.138,0.251
"chr2-0523","chr2",100200001,100300000,"chr2-0523",0.093,0.08,-0.08,0.034,0.022
"chr2-0524","chr2",100300001,100650000,"chr2-0524",-0.046,0.028,-0.126,0.055,0.082
"chr2-0525","chr2",100650001,100750000,"chr2-0525",-0.036,-0.054,-0.058,0.018,0.048
"chr2-0526","chr2",100750001,100900000,"chr2-0526",-0.081,-0.198,-0.135,-0.149,-0.195
"chr2-0527","chr2",100900001,101000000,"chr2-0527",0.033,0.066,0.223,0.208,0.233
"chr2-0528","chr2",101000001,101050000,"chr2-0528",0.067,0.045,0.001,0.073,0.001
"chr2-0529","chr2",101050001,101400000,"chr2-0529",-0.08,-0.016,-0.063,-0.014,-0.01
"chr2-0530","chr2",101400001,101450000,"chr2-0530",0.134,0.105,0.173,0.003,0.038
"chr2-0531","chr2",101450001,101600000,"chr2-0531",-0.026,0.014,-0.073,0.024,0.026
"chr2-0532","chr2",101600001,101650000,"chr2-0532",0.018,0.085,-0.089,0.012,-0.01
"chr2-0533","chr2",101650001,101800000,"chr2-0533",-0.034,0.05,0.022,0.04,0.06
"chr2-0534","chr2",101800001,101900000,"chr2-0534",-0.012,0.097,0.109,0.211,0.284
"chr2-0535","chr2",101900001,102050000,"chr2-0535",-0.034,0.02,0.054,0.028,0.097
"chr2-0536","chr2",102050001,102100000,"chr2-0536",0.025,0.007,0.006,0.012,0.123
"chr2-0537","chr2",102100001,102350000,"chr2-0537",-0.055,0.046,0.027,0.127,0.047
"chr2-0538","chr2",102350001,102600000,"chr2-0538",-0.037,0.024,-0.07,0.033,0.069
"chr2-0539","chr2",102600001,102750000,"chr2-0539",0.052,0.04,0.018,0.112,0.162
"chr2-0540","chr2",102750001,102850000,"chr2-0540",-0.055,-0.093,-0.12,-0.122,-0.198
"chr2-0541","chr2",102850001,102900000,"chr2-0541",0.058,0.012,-0.043,0.037,0.06
"chr2-0542","chr2",102900001,103000000,"chr2-0542",-0.058,0.054,-0.12,-0.035,-0.035
"chr2-0543","chr2",103000001,103200000,"chr2-0543",0.015,0.073,-0.059,0.015,0.02
"chr2-0544","chr2",103200001,103250000,"chr2-0544",-0.047,-0.064,-0.036,0.056,0.079
"chr2-0545","chr2",103250001,103400000,"chr2-0545",-0.074,-0.096,-0.229,-0.059,-0.079
"chr2-0546","chr2",103400001,105000000,"chr2-0546",-0.011,0.201,-0.084,0.119,0.218
"chr2-0547","chr2",105000001,105250000,"chr2-0547",-0.121,-0.022,-0.24,-0.089,-0.026
"chr2-0548","chr2",105250001,105450000,"chr2-0548",-0.043,-0.07,-0.203,-0.092,-0.116
"chr2-0549","chr2",105450001,105500000,"chr2-0549",-0.003,-0.051,0.028,0.003,0.028
"chr2-0550","chr2",105500001,105700000,"chr2-0550",-0.107,-0.107,-0.271,-0.248,-0.232
"chr2-0551","chr2",105700001,105850000,"chr2-0551",0.013,-0.03,-0.04,0.072,0.17
"chr2-0552","chr2",105850001,105900000,"chr2-0552",-0.107,-0.035,-0.061,-0.037,-0.071
"chr2-0553","chr2",105900001,106000000,"chr2-0553",-0.001,-0.002,-0.005,0.024,0.013
"chr2-0554","chr2",106000001,106050000,"chr2-0554",-0.006,0.037,-0.047,-0.05,-0.128
"chr2-0555","chr2",106050001,106200000,"chr2-0555",-0.234,-0.203,-0.248,-0.22,-0.38
"chr2-0556","chr2",106200001,106350000,"chr2-0556",0.003,0.13,0,0.086,0.032
"chr2-0557","chr2",106350001,106400000,"chr2-0557",0.074,0.117,0.241,0.146,0.096
"chr2-0558","chr2",106400001,106500000,"chr2-0558",-0.074,-0.059,-0.116,-0.156,-0.014
"chr2-0559","chr2",106500001,106700000,"chr2-0559",0.055,0.111,0.078,0.105,0.221
"chr2-0560","chr2",106700001,106800000,"chr2-0560",0.104,0.118,0.03,0.131,0.165
"chr2-0561","chr2",106800001,106950000,"chr2-0561",0.018,0.006,0.064,-0.005,0.077
"chr2-0562","chr2",106950001,107000000,"chr2-0562",-0.06,-0.084,-0.104,0.017,-0.103
"chr2-0563","chr2",107000001,107200000,"chr2-0563",-0.059,0.003,-0.047,0.014,0.043
"chr2-0564","chr2",107200001,107500000,"chr2-0564",-0.078,0.025,-0.149,-0.08,-0.091
"chr2-0565","chr2",107500001,107550000,"chr2-0565",-0.025,0.007,0.11,0.064,0.065
"chr2-0566","chr2",107550001,108400000,"chr2-0566",-0.054,0.05,-0.085,0.063,0.162
"chr2-0567","chr2",108400001,108600000,"chr2-0567",0.032,0.239,0.198,0.223,0.289
"chr2-0568","chr2",108600001,108950000,"chr2-0568",-0.15,-0.039,-0.168,-0.168,-0.173
"chr2-0569","chr2",108950001,109150000,"chr2-0569",-0.006,-0.141,-0.091,-0.214,-0.308
"chr2-0570","chr2",109150001,109300000,"chr2-0570",0.03,0.065,0.067,0.157,0.289
"chr2-0571","chr2",109300001,109450000,"chr2-0571",0.031,0.06,0.052,0.05,0.077
"chr2-0572","chr2",109450001,109600000,"chr2-0572",-0.017,-0.015,-0.079,-0.153,-0.165
"chr2-0573","chr2",109600001,109700000,"chr2-0573",-0.025,-0.078,-0.122,-0.083,0.027
"chr2-0574","chr2",109700001,109750000,"chr2-0574",0.089,0.138,0.175,0.136,0.106
"chr2-0575","chr2",109750001,109900000,"chr2-0575",0.027,-0.051,-0.087,-0.065,-0.061
"chr2-0576","chr2",109900001,110109337,"chr2-0576",-0.054,-0.043,-0.145,-0.025,-0.062
"chr2-0577","chr2",110251338,110400000,"chr2-0577",-0.01,0.125,0.13,0.154,0.264
"chr2-0578","chr2",110400001,110950000,"chr2-0578",-0.057,0.019,-0.078,-0.04,-0.045
"chr2-0579","chr2",110950001,111400000,"chr2-0579",0.005,0.061,-0.058,-0.073,0.035
"chr2-0580","chr2",111400001,111450000,"chr2-0580",-0.047,-0.025,-0.082,-0.072,0.003
"chr2-0581","chr2",111450001,111850000,"chr2-0581",-0.031,-0.065,-0.019,-0.012,0.013
"chr2-0582","chr2",111850001,111900000,"chr2-0582",-0.042,0.001,0.033,-0.061,-0.033
"chr2-0583","chr2",111900001,112600000,"chr2-0583",0.025,0.024,-0.006,0.072,0.102
"chr2-0584","chr2",112600001,112800000,"chr2-0584",0.004,0.072,0.083,0.117,0.192
"chr2-0585","chr2",112800001,112900000,"chr2-0585",0.155,0.213,0.172,0.393,0.441
"chr2-0586","chr2",112900001,112950000,"chr2-0586",0.031,0.07,0.026,0.064,0.079
"chr2-0587","chr2",112950001,113050000,"chr2-0587",0.008,-0.016,0.018,0.052,0.122
"chr2-0588","chr2",113050001,113300000,"chr2-0588",-0.049,-0.024,0.061,-0.053,0.036
"chr2-0589","chr2",113300001,113350000,"chr2-0589",0.094,-0.152,-0.075,-0.126,-0.172
"chr2-0590","chr2",113350001,113450000,"chr2-0590",-0.017,0.052,0.032,0.093,0.12
"chr2-0591","chr2",113450001,113550000,"chr2-0591",-0.021,-0.012,-0.013,-0.035,-0.077
"chr2-0592","chr2",113550001,113650000,"chr2-0592",-0.158,-0.049,-0.087,-0.082,0.005
"chr2-0593","chr2",113650001,113800000,"chr2-0593",-0.323,-0.25,-0.361,-0.367,-0.39
"chr2-0594","chr2",113800001,113850000,"chr2-0594",-0.097,-0.069,-0.145,-0.112,-0.017
"chr2-0595","chr2",113850001,113900000,"chr2-0595",-0.081,-0.22,-0.263,-0.232,-0.404
"chr2-0596","chr2",113900001,113950000,"chr2-0596",-0.068,-0.08,-0.093,-0.214,-0.14
"chr2-0597","chr2",113950001,114000000,"chr2-0597",-0.018,-0.006,0.007,0.017,0.073
"chr2-0598","chr2",114000001,114250000,"chr2-0598",-0.062,-0.061,-0.072,-0.159,-0.143
"chr2-0599","chr2",114250001,114300000,"chr2-0599",-0.114,0.048,0.061,0.001,-0.006
"chr2-0600","chr2",114300001,114350000,"chr2-0600",-0.109,0.03,-0.078,0.002,0.042
"chr2-0601","chr2",114350001,114400000,"chr2-0601",-0.041,-0.074,-0.029,-0.032,-0.124
"chr2-0602","chr2",114400001,114600000,"chr2-0602",-0.086,-0.047,-0.122,-0.032,0.087
"chr2-0603","chr2",114600001,115400000,"chr2-0603",-0.023,0.003,-0.032,0.043,-0.021
"chr2-0604","chr2",115400001,115900000,"chr2-0604",-0.072,-0.008,-0.214,-0.225,-0.102
"chr2-0605","chr2",115900001,117500000,"chr2-0605",-0.056,-0.027,-0.051,-0.068,-0.11
"chr2-0606","chr2",117500001,118550000,"chr2-0606",-0.063,-0.05,-0.15,-0.073,0.022
"chr2-0607","chr2",118550001,118600000,"chr2-0607",-0.093,-0.241,-0.228,-0.3,-0.297
"chr2-0608","chr2",118600001,118750000,"chr2-0608",-0.072,-0.054,0.034,-0.047,-0.074
"chr2-0609","chr2",118750001,118800000,"chr2-0609",0.105,-0.028,0.165,0.172,0.159
"chr2-0610","chr2",118800001,118950000,"chr2-0610",-0.103,-0.127,-0.134,-0.202,-0.206
"chr2-0611","chr2",118950001,119100000,"chr2-0611",-0.111,-0.133,-0.133,-0.139,-0.014
"chr2-0612","chr2",119100001,119550000,"chr2-0612",-0.159,-0.135,-0.232,-0.141,-0.058
"chr2-0613","chr2",119550001,119600000,"chr2-0613",-0.176,-0.204,-0.168,-0.162,-0.108
"chr2-0614","chr2",119600001,119650000,"chr2-0614",-0.038,-0.202,-0.034,-0.162,-0.162
"chr2-0615","chr2",119650001,119900000,"chr2-0615",-0.115,-0.163,-0.164,-0.167,-0.244
"chr2-0616","chr2",119900001,119950000,"chr2-0616",-0.031,-0.084,0.092,-0.042,-0.199
"chr2-0617","chr2",119950001,120000000,"chr2-0617",-0.089,-0.195,-0.024,-0.067,-0.213
"chr2-0618","chr2",120000001,120100000,"chr2-0618",-0.008,0.108,0.003,0.026,-0.01
"chr2-0619","chr2",120100001,120150000,"chr2-0619",0.056,-0.021,0.132,0.015,-0.171
"chr2-0620","chr2",120150001,120200000,"chr2-0620",-0.101,-0.114,-0.126,-0.171,-0.207
"chr2-0621","chr2",120200001,120300000,"chr2-0621",-0.048,-0.092,-0.038,-0.013,-0.139
"chr2-0622","chr2",120300001,120500000,"chr2-0622",0.013,0.054,0.006,-0.034,-0.052
"chr2-0623","chr2",120500001,120550000,"chr2-0623",-0.044,0.062,-0.043,-0.01,-0.057
"chr2-0624","chr2",120550001,120950000,"chr2-0624",-0.019,0.045,0.014,0.077,0.113
"chr2-0625","chr2",120950001,121000000,"chr2-0625",-0.062,-0.003,-0.015,-0.1,-0.141
"chr2-0626","chr2",121000001,121100000,"chr2-0626",-0.064,-0.162,-0.108,-0.166,-0.252
"chr2-0627","chr2",121100001,121150000,"chr2-0627",0.019,0.076,0.163,0.17,0.125
"chr2-0628","chr2",121150001,121250000,"chr2-0628",-0.055,-0.12,-0.083,-0.127,-0.119
"chr2-0629","chr2",121250001,121350000,"chr2-0629",-0.08,-0.125,-0.137,-0.159,-0.227
"chr2-0630","chr2",121350001,121450000,"chr2-0630",-0.038,-0.159,-0.007,-0.084,-0.122
"chr2-0631","chr2",121450001,121500000,"chr2-0631",0.019,-0.037,0.052,-0.009,-0.076
"chr2-0632","chr2",121500001,121550000,"chr2-0632",0.019,-0.126,-0.053,-0.063,-0.165
"chr2-0633","chr2",121550001,121600000,"chr2-0633",-0.002,-0.086,-0.142,-0.063,-0.057
"chr2-0634","chr2",121600001,121700000,"chr2-0634",-0.018,-0.123,-0.083,-0.047,-0.103
"chr2-0635","chr2",121700001,121750000,"chr2-0635",0.052,0.031,0.043,0.069,0.012
"chr2-0636","chr2",121750001,122000000,"chr2-0636",0.011,-0.005,-0.01,-0.057,-0.067
"chr2-0637","chr2",122000001,122250000,"chr2-0637",-0.039,0.095,0.013,0.074,0.045
"chr2-0638","chr2",122250001,122400000,"chr2-0638",-0.022,0.074,-0.008,0.09,0.199
"chr2-0639","chr2",122400001,122450000,"chr2-0639",0.12,0.02,0.132,0.086,0.17
"chr2-0640","chr2",122450001,122500000,"chr2-0640",0.193,0.185,0.126,0.113,0.28
"chr2-0641","chr2",122500001,123400000,"chr2-0641",-0.092,-0.087,-0.108,-0.077,-0.127
"chr2-0642","chr2",123400001,124750000,"chr2-0642",-0.113,-0.031,-0.246,-0.064,-0.051
"chr2-0643","chr2",124750001,125300000,"chr2-0643",-0.085,0.041,-0.112,-0.005,-0.016
"chr2-0644","chr2",125300001,127400000,"chr2-0644",-0.106,0.003,-0.125,-0.092,-0.015
"chr2-0645","chr2",127400001,127450000,"chr2-0645",-0.046,0.061,-0.036,0.07,0.072
"chr2-0646","chr2",127450001,127550000,"chr2-0646",-0.104,-0.132,-0.041,-0.157,-0.259
"chr2-0647","chr2",127550001,127700000,"chr2-0647",-0.046,0.013,-0.061,0.013,-0.054
"chr2-0648","chr2",127700001,127800000,"chr2-0648",0.028,-0.014,0.052,-0.041,-0.135
"chr2-0649","chr2",127800001,127850000,"chr2-0649",0.031,0.05,0.058,0.088,0.011
"chr2-0650","chr2",127850001,127950000,"chr2-0650",-0.006,-0.031,0.057,0.051,-0.012
"chr2-0651","chr2",127950001,128000000,"chr2-0651",0.146,0.162,0.239,0.296,0.331
"chr2-0652","chr2",128000001,128150000,"chr2-0652",-0.073,0.032,0.003,-0.009,0.034
"chr2-0653","chr2",128150001,128200000,"chr2-0653",-0.013,0.019,-0.023,0.001,-0.08
"chr2-0654","chr2",128200001,128300000,"chr2-0654",-0.038,-0.1,-0.018,-0.076,-0.156
"chr2-0655","chr2",128300001,128400000,"chr2-0655",0,-0.043,0.037,-0.026,-0.179
"chr2-0656","chr2",128400001,128450000,"chr2-0656",0.075,-0.001,0.093,-0.042,-0.162
"chr2-0657","chr2",128450001,128500000,"chr2-0657",0.014,0.069,0.042,0.032,0.097
"chr2-0658","chr2",128500001,128600000,"chr2-0658",0.011,-0.04,-0.083,-0.114,-0.161
"chr2-0659","chr2",128600001,128650000,"chr2-0659",-0.019,0.041,0.053,0.015,0.041
"chr2-0660","chr2",128650001,128950000,"chr2-0660",0.036,0.158,0.13,0.069,0.178
"chr2-0661","chr2",128950001,129050000,"chr2-0661",0.104,0.051,0.101,0.012,0.09
"chr2-0662","chr2",129050001,129100000,"chr2-0662",-0.044,0.008,0.095,-0.089,-0.192
"chr2-0663","chr2",129100001,129200000,"chr2-0663",-0.001,-0.112,0.003,0.037,-0.051
"chr2-0664","chr2",129200001,129250000,"chr2-0664",-0.073,-0.109,-0.056,-0.021,-0.063
"chr2-0665","chr2",129250001,129450000,"chr2-0665",-0.134,-0.069,-0.013,-0.047,-0.124
"chr2-0666","chr2",129450001,129650000,"chr2-0666",0.004,-0.097,-0.05,-0.04,-0.093
"chr2-0667","chr2",129650001,130350000,"chr2-0667",-0.005,-0.061,-0.043,-0.031,-0.084
"chr2-0668","chr2",130350001,130650000,"chr2-0668",-0.006,-0.075,-0.079,-0.038,0.003
"chr2-0669","chr2",130650001,130750000,"chr2-0669",0.031,0.001,-0.001,-0.116,-0.178
"chr2-0670","chr2",130750001,130800000,"chr2-0670",-0.003,0.088,-0.004,0.067,0.04
"chr2-0671","chr2",130800001,130900000,"chr2-0671",0.037,-0.11,-0.006,0.016,-0.139
"chr2-0672","chr2",130900001,130950000,"chr2-0672",0.007,-0.032,0.1,-0.052,-0.021
"chr2-0673","chr2",130950001,131000000,"chr2-0673",-0.148,-0.029,-0.114,0.03,0.054
"chr2-0674","chr2",131000001,131050000,"chr2-0674",0.061,0.066,0.048,-0.031,0.003
"chr2-0675","chr2",131050001,131100000,"chr2-0675",0.02,0.093,0.061,0.115,0.166
"chr2-0676","chr2",131100001,131150000,"chr2-0676",0.017,-0.12,0.03,-0.063,-0.171
"chr2-0677","chr2",131150001,131450000,"chr2-0677",-0.069,-0.096,-0.097,-0.125,-0.074
"chr2-0678","chr2",131450001,131500000,"chr2-0678",0.009,-0.057,0.001,-0.15,-0.206
"chr2-0679","chr2",131500001,131550000,"chr2-0679",0.137,0.136,0.179,0.042,0.043
"chr2-0680","chr2",131550001,131650000,"chr2-0680",0.004,0.011,0.059,0.009,-0.137
"chr2-0681","chr2",131650001,131700000,"chr2-0681",-0.065,0.028,-0.074,-0.126,-0.093
"chr2-0682","chr2",131700001,131850000,"chr2-0682",0.002,-0.004,-0.023,-0.025,-0.053
"chr2-0683","chr2",131850001,131900000,"chr2-0683",0.117,0.06,0.252,0.14,0.252
"chr2-0684","chr2",131900001,132050000,"chr2-0684",0.083,-0.091,0.059,0.04,0.075
"chr2-0685","chr2",132050001,132150000,"chr2-0685",0.022,0.148,0.085,0.104,0.097
"chr2-0686","chr2",132150001,132200000,"chr2-0686",-0.043,-0.079,0.006,-0.114,-0.131
"chr2-0687","chr2",132200001,132250000,"chr2-0687",-0.03,-0.02,0.023,0.004,0.095
"chr2-0688","chr2",132250001,132400000,"chr2-0688",-0.091,-0.073,0.022,-0.081,-0.129
"chr2-0689","chr2",132400001,132450000,"chr2-0689",0,-0.081,0.018,-0.09,0.03
"chr2-0690","chr2",132450001,132600000,"chr2-0690",-0.026,-0.005,0.006,0.033,-0.077
"chr2-0691","chr2",132600001,133000000,"chr2-0691",-0.112,-0.009,0.023,-0.139,0.021
"chr2-0692","chr2",133000001,133050000,"chr2-0692",-0.011,-0.05,0.015,-0.027,-0.121
"chr2-0693","chr2",133050001,133150000,"chr2-0693",-0.053,0.021,-0.077,-0.076,0.02
"chr2-0694","chr2",133150001,133400000,"chr2-0694",-0.045,-0.046,-0.056,-0.061,-0.128
"chr2-0695","chr2",133400001,133450000,"chr2-0695",0.054,0.094,0.03,0.106,0.108
"chr2-0696","chr2",133450001,134050000,"chr2-0696",-0.059,0.023,-0.108,0.03,-0.059
"chr2-0697","chr2",134050001,134350000,"chr2-0697",-0.098,0.014,-0.189,-0.181,-0.096
"chr2-0698","chr2",134350001,134750000,"chr2-0698",-0.216,-0.051,-0.295,-0.098,-0.285
"chr2-0699","chr2",134750001,134850000,"chr2-0699",-0.048,0.04,0.006,0.042,0.033
"chr2-0700","chr2",134850001,134900000,"chr2-0700",-0.084,0.012,0.055,0.028,-0.043
"chr2-0701","chr2",134900001,135000000,"chr2-0701",-0.009,0.06,-0.052,0.056,-0.03
"chr2-0702","chr2",135000001,135200000,"chr2-0702",-0.015,0.058,-0.095,0.062,0.114
"chr2-0703","chr2",135200001,135450000,"chr2-0703",0.026,-0.032,-0.045,0.077,-0.005
"chr2-0704","chr2",135450001,135650000,"chr2-0704",0.032,0.078,0.066,0.086,0.14
"chr2-0705","chr2",135650001,135800000,"chr2-0705",0.006,-0.01,0.145,0.039,-0.022
"chr2-0706","chr2",135800001,136250000,"chr2-0706",-0.036,0.058,-0.025,0.084,0.154
"chr2-0707","chr2",136250001,136300000,"chr2-0707",-0.081,-0.115,-0.046,-0.126,-0.145
"chr2-0708","chr2",136300001,136600000,"chr2-0708",-0.142,-0.069,-0.2,-0.013,0.018
"chr2-0709","chr2",136600001,136850000,"chr2-0709",-0.056,-0.018,-0.032,-0.045,-0.044
"chr2-0710","chr2",136850001,136900000,"chr2-0710",-0.066,-0.338,-0.158,-0.271,-0.369
"chr2-0711","chr2",136900001,137550000,"chr2-0711",-0.045,-0.118,-0.09,-0.112,-0.07
"chr2-0712","chr2",137550001,138200000,"chr2-0712",-0.179,-0.183,-0.266,-0.225,-0.148
"chr2-0713","chr2",138200001,139250000,"chr2-0713",-0.015,0.065,-0.073,0.105,0.113
"chr2-0714","chr2",139250001,139300000,"chr2-0714",0.043,0.018,0.035,0.07,0.179
"chr2-0715","chr2",139300001,139550000,"chr2-0715",-0.058,0.01,-0.065,0.006,0.102
"chr2-0716","chr2",139550001,141650000,"chr2-0716",-0.088,-0.09,-0.345,-0.113,-0.039
"chr2-0717","chr2",141650001,142900000,"chr2-0717",-0.015,-0.064,-0.128,-0.051,0.058
"chr2-0718","chr2",142900001,143900000,"chr2-0718",-0.081,0.072,-0.143,-0.047,0.05
"chr2-0719","chr2",143900001,144500000,"chr2-0719",-0.135,-0.001,-0.353,-0.08,-0.141
"chr2-0720","chr2",144500001,144700000,"chr2-0720",-0.03,0.048,-0.11,0.039,0.059
"chr2-0721","chr2",144700001,145050000,"chr2-0721",-0.258,0.046,-0.144,-0.099,0.039
"chr2-0722","chr2",145050001,145150000,"chr2-0722",0.179,0.159,0.132,0.216,0.305
"chr2-0723","chr2",145150001,145250000,"chr2-0723",0.037,0.227,-0.141,0.179,0.208
"chr2-0724","chr2",145250001,145300000,"chr2-0724",0,0.115,0.096,0.146,0.275
"chr2-0725","chr2",145300001,145800000,"chr2-0725",-0.01,0.132,-0.067,0.085,0.178
"chr2-0726","chr2",145800001,147150000,"chr2-0726",-0.189,-0.12,-0.298,-0.197,-0.229
"chr2-0727","chr2",147150001,148100000,"chr2-0727",-0.141,0.007,-0.243,-0.118,-0.093
"chr2-0728","chr2",148100001,148600000,"chr2-0728",-0.101,0.111,-0.1,0.053,0.123
"chr2-0729","chr2",148600001,148800000,"chr2-0729",0.081,0.029,0.092,0.048,0.197
"chr2-0730","chr2",148800001,149400000,"chr2-0730",-0.203,-0.017,-0.314,-0.236,-0.067
"chr2-0731","chr2",149400001,149600000,"chr2-0731",0.041,0.136,0.122,0.15,0.27
"chr2-0732","chr2",149600001,149690582,"chr2-0732",-0.006,-0.043,0.043,0.042,0.088
"chr2-0733","chr2",149790583,149900000,"chr2-0733",-0.115,-0.13,-0.134,-0.084,0.011
"chr2-0734","chr2",149900001,150200000,"chr2-0734",-0.134,-0.069,-0.088,-0.069,-0.069
"chr2-0735","chr2",150200001,150950000,"chr2-0735",-0.212,-0.135,-0.325,-0.167,-0.16
"chr2-0736","chr2",150950001,151300000,"chr2-0736",-0.117,0.053,-0.29,-0.098,0.044
"chr2-0737","chr2",151300001,151350000,"chr2-0737",0.034,-0.033,-0.074,-0.112,-0.023
"chr2-0738","chr2",151350001,151550000,"chr2-0738",-0.253,0.049,-0.169,-0.179,-0.014
"chr2-0739","chr2",151550001,152100000,"chr2-0739",-0.21,-0.02,-0.312,-0.159,-0.067
"chr2-0740","chr2",152100001,152150000,"chr2-0740",0.035,0.023,0.005,0.105,0.153
"chr2-0741","chr2",152150001,152300000,"chr2-0741",0.147,0.21,0.136,0.166,0.308
"chr2-0742","chr2",152300001,152650000,"chr2-0742",-0.04,0.032,-0.254,-0.038,0.023
"chr2-0743","chr2",152650001,152950000,"chr2-0743",-0.099,0.01,-0.185,-0.094,0.127
"chr2-0744","chr2",152950001,153000000,"chr2-0744",0.04,0.004,0.034,0.09,0.195
"chr2-0745","chr2",153000001,153200000,"chr2-0745",-0.028,0.077,0.048,-0.012,-0.007
"chr2-0746","chr2",153200001,153300000,"chr2-0746",0.061,0.092,-0.007,0.143,0.239
"chr2-0747","chr2",153300001,153550000,"chr2-0747",-0.104,0.106,-0.245,-0.082,0.095
"chr2-0748","chr2",153550001,154300000,"chr2-0748",-0.03,0.028,-0.067,-0.082,-0.15
"chr2-0749","chr2",154300001,154350000,"chr2-0749",-0.068,-0.087,-0.032,-0.06,-0.114
"chr2-0750","chr2",154350001,154750000,"chr2-0750",-0.029,-0.027,0.061,0.013,0.041
"chr2-0751","chr2",154750001,155550000,"chr2-0751",-0.078,0.024,-0.187,-0.009,0.024
"chr2-0752","chr2",155550001,155600000,"chr2-0752",0.023,-0.121,0.073,-0.078,-0.204
