"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr2-0345","chr2",63300001,63850000,"chr2-0345",-0.285,-0.18,-0.389,-0.174,-0.046,-0.12,-0.159,-0.212,-0.018
"chr2-0346","chr2",63850001,64050000,"chr2-0346",-0.459,-0.147,-0.309,-0.293,-0.137,-0.219,-0.346,-0.439,-0.18
"chr2-0347","chr2",64050001,64100000,"chr2-0347",-0.001,0.01,-0.205,-0.092,-0.008,0.011,0.098,0,0.016
"chr2-0348","chr2",64100001,64250000,"chr2-0348",0.116,0.127,0.235,0.23,0.089,0.093,0.074,0.092,0.256
"chr2-0349","chr2",64250001,64400000,"chr2-0349",0.031,0.14,0.036,0.136,0.144,0.121,0.036,0.134,0.186
"chr2-0350","chr2",64400001,64650000,"chr2-0350",-0.291,0.003,-0.27,-0.26,-0.001,-0.14,-0.086,-0.308,-0.093
"chr2-0351","chr2",64650001,64850000,"chr2-0351",-0.01,0.021,-0.057,0.016,-0.023,-0.028,0.052,0.032,0.031
"chr2-0352","chr2",64850001,64900000,"chr2-0352",-0.03,0.001,-0.07,0.065,-0.032,0.072,0.024,-0.029,-0.031
"chr2-0353","chr2",64900001,65000000,"chr2-0353",-0.252,-0.102,-0.401,-0.273,-0.064,-0.028,0.041,-0.218,-0.136
"chr2-0354","chr2",65000001,65200000,"chr2-0354",-0.298,0.045,-0.124,-0.19,-0.051,-0.055,-0.014,-0.167,-0.063
"chr2-0355","chr2",65200001,65250000,"chr2-0355",0.129,-0.07,-0.121,0.027,-0.067,0.098,-0.05,0.118,0.069
"chr2-0356","chr2",65250001,65300000,"chr2-0356",0.061,0.019,0.013,0.026,0.092,0.053,0.06,0.035,0.053
"chr2-0357","chr2",65300001,65400000,"chr2-0357",0.009,0.01,0.135,0.066,0.082,0.003,0.058,0.127,0.056
"chr2-0358","chr2",65400001,65500000,"chr2-0358",0.001,0.085,0.294,0.233,0.059,0.08,0.104,0.157,0.102
"chr2-0359","chr2",65500001,65650000,"chr2-0359",-0.395,0.053,-0.2,-0.211,0.023,-0.026,-0.141,-0.206,-0.025
"chr2-0360","chr2",65650001,65700000,"chr2-0360",0.4,0.076,0.198,0.288,0.118,0.067,0.244,0.272,0.116
"chr2-0361","chr2",65700001,66000000,"chr2-0361",-0.399,-0.017,-0.297,-0.169,-0.052,-0.081,-0.363,-0.226,-0.126
"chr2-0362","chr2",66000001,66650000,"chr2-0362",-0.531,-0.151,-0.341,-0.272,-0.147,-0.214,-0.527,-0.289,-0.136
"chr2-0363","chr2",66650001,66700000,"chr2-0363",0.087,-0.024,-0.245,0.045,-0.056,-0.068,0.177,-0.056,-0.012
"chr2-0364","chr2",66700001,66850000,"chr2-0364",0.072,-0.018,-0.128,0.007,-0.01,-0.031,0.123,-0.034,0.081
"chr2-0365","chr2",66850001,67300000,"chr2-0365",-0.32,-0.119,-0.389,-0.266,-0.118,-0.09,-0.376,-0.291,-0.086
"chr2-0366","chr2",67300001,67650000,"chr2-0366",0.096,-0.009,0.06,0.086,0.059,0.018,0.042,0.051,0.119
"chr2-0367","chr2",67650001,68000000,"chr2-0367",-0.701,-0.267,-0.786,-0.434,-0.136,-0.128,-0.507,-0.483,-0.306
"chr2-0368","chr2",68000001,68350000,"chr2-0368",-0.45,-0.027,-0.064,-0.085,-0.006,-0.037,-0.132,-0.105,0.076
"chr2-0369","chr2",68350001,68500000,"chr2-0369",-0.061,-0.085,-0.134,-0.191,-0.037,0.012,-0.146,-0.07,-0.059
"chr2-0370","chr2",68500001,68650000,"chr2-0370",-0.349,-0.091,-0.137,-0.269,-0.079,-0.064,-0.171,-0.278,-0.143
"chr2-0371","chr2",68650001,68700000,"chr2-0371",-0.065,-0.103,-0.349,-0.143,-0.07,0.088,-0.02,-0.04,-0.009
"chr2-0372","chr2",68700001,68900000,"chr2-0372",-0.144,0.017,0.082,-0.009,0.019,-0.02,-0.031,-0.025,0.118
"chr2-0373","chr2",68900001,69050000,"chr2-0373",-0.245,-0.106,-0.402,-0.316,-0.116,-0.044,-0.164,-0.307,-0.145
"chr2-0374","chr2",69050001,69200000,"chr2-0374",-0.685,-0.135,-0.545,-0.387,-0.1,-0.21,-0.355,-0.452,-0.237
"chr2-0375","chr2",69200001,69350000,"chr2-0375",-0.541,-0.104,-0.413,-0.223,-0.067,-0.043,-0.249,-0.272,-0.006
"chr2-0376","chr2",69350001,69500000,"chr2-0376",-0.388,-0.141,-0.361,-0.257,-0.104,-0.147,-0.051,-0.334,-0.208
"chr2-0377","chr2",69500001,69650000,"chr2-0377",-0.096,0.014,-0.1,0.057,0.042,0.014,0.013,0.091,0.07
"chr2-0378","chr2",69650001,69850000,"chr2-0378",-0.237,0.068,-0.016,-0.081,0.07,0.039,-0.07,-0.004,0.052
"chr2-0379","chr2",69850001,69950000,"chr2-0379",0.082,0.035,-0.059,0.119,0.078,0.128,0.189,0.184,0.247
"chr2-0380","chr2",69950001,70000000,"chr2-0380",0.201,0.006,-0.029,0.052,0.055,0.038,0.287,0.105,-0.028
"chr2-0381","chr2",70000001,70100000,"chr2-0381",-0.135,-0.027,-0.155,-0.031,0.025,-0.016,-0.035,-0.009,0.025
"chr2-0382","chr2",70100001,70150000,"chr2-0382",0.24,-0.009,-0.169,0.051,0.063,0.175,0.071,0.107,0.081
"chr2-0383","chr2",70150001,70300000,"chr2-0383",-0.277,0.068,-0.068,-0.161,-0.021,-0.079,-0.041,-0.048,-0.029
"chr2-0384","chr2",70300001,70350000,"chr2-0384",0.197,0.032,-0.127,0.078,0.17,0.119,0.245,0.094,0.129
"chr2-0385","chr2",70350001,70400000,"chr2-0385",0.077,0.092,0.146,0.221,0.066,0.071,0.136,0.163,0.077
"chr2-0386","chr2",70400001,70450000,"chr2-0386",0.11,0.286,0.213,0.089,0.252,0.218,0.19,0.158,0.156
"chr2-0387","chr2",70450001,70500000,"chr2-0387",0.132,0.182,0.086,0.108,0.12,0.145,0.163,0.193,0.17
"chr2-0388","chr2",70500001,70550000,"chr2-0388",0.128,0.068,0.229,0.018,0.023,-0.047,0.016,0.089,0.076
"chr2-0389","chr2",70550001,70800000,"chr2-0389",0.006,-0.118,-0.077,-0.068,-0.04,-0.044,-0.054,0.023,-0.031
"chr2-0390","chr2",70800001,71000000,"chr2-0390",-0.007,0.109,-0.09,-0.087,0.036,0.035,0.028,0.001,0.098
"chr2-0391","chr2",71000001,71100000,"chr2-0391",-0.513,-0.122,-0.449,-0.44,-0.129,-0.158,-0.184,-0.443,-0.231
"chr2-0392","chr2",71100001,71150000,"chr2-0392",0.101,0.054,0.126,0.099,-0.022,0.061,0.122,0.095,0.091
"chr2-0393","chr2",71150001,71200000,"chr2-0393",-0.242,-0.037,-0.143,-0.196,-0.137,-0.15,-0.075,-0.17,-0.165
"chr2-0394","chr2",71200001,71250000,"chr2-0394",-0.094,-0.087,-0.069,-0.175,-0.055,-0.105,-0.038,-0.124,-0.026
"chr2-0395","chr2",71250001,71300000,"chr2-0395",0.04,-0.081,-0.151,0.04,-0.053,-0.081,0.006,0.003,0.017
"chr2-0396","chr2",71300001,71400000,"chr2-0396",-0.01,-0.121,-0.248,0.002,-0.017,-0.018,0.056,-0.071,0.02
"chr2-0397","chr2",71400001,71500000,"chr2-0397",0.053,0.018,-0.232,-0.026,0.05,0.009,-0.054,0.086,0.017
"chr2-0398","chr2",71500001,71650000,"chr2-0398",-0.011,-0.075,0.159,0.072,-0.063,0.071,-0.023,0.038,0.002
"chr2-0399","chr2",71650001,71700000,"chr2-0399",-0.002,-0.058,-0.125,-0.117,-0.026,-0.024,0.019,0.012,-0.025
"chr2-0400","chr2",71700001,72050000,"chr2-0400",-0.224,-0.137,-0.3,-0.215,-0.063,-0.086,-0.04,-0.212,-0.166
"chr2-0401","chr2",72050001,72350000,"chr2-0401",-0.233,0.004,0.073,-0.043,-0.09,-0.044,-0.053,-0.107,0.021
"chr2-0402","chr2",72350001,72400000,"chr2-0402",0.187,-0.055,0.228,0.063,-0.021,-0.035,0.05,0.009,-0.012
"chr2-0403","chr2",72400001,73050000,"chr2-0403",-0.654,-0.064,-0.337,-0.251,-0.055,-0.111,-0.827,-0.277,-0.137
"chr2-0404","chr2",73050001,73100000,"chr2-0404",-0.119,-0.049,-0.13,-0.161,-0.092,-0.028,-0.649,-0.025,-0.184
"chr2-0405","chr2",73100001,73150000,"chr2-0405",0.198,-0.001,0.038,-0.055,0.04,0.108,-0.105,0.059,0.03
"chr2-0406","chr2",73150001,73250000,"chr2-0406",-0.121,-0.074,-0.091,-0.094,-0.066,-0.032,-0.294,-0.036,-0.026
"chr2-0407","chr2",73250001,73300000,"chr2-0407",0.101,-0.088,-0.061,0.083,-0.02,-0.009,-0.182,0.064,-0.055
"chr2-0408","chr2",73300001,73400000,"chr2-0408",-0.07,-0.042,-0.351,-0.288,-0.087,-0.059,-0.143,-0.018,-0.216
"chr2-0409","chr2",73400001,73450000,"chr2-0409",0.165,0.024,0.126,0.084,0.06,0.101,-0.016,0.143,0.047
"chr2-0410","chr2",73450001,73500000,"chr2-0410",-0.04,-0.089,-0.171,-0.154,-0.035,-0.008,-0.197,-0.045,-0.023
"chr2-0411","chr2",73500001,73550000,"chr2-0411",0.119,-0.112,-0.153,-0.216,-0.084,0.052,-0.215,-0.118,-0.027
"chr2-0412","chr2",73550001,73900000,"chr2-0412",-0.235,-0.068,-0.286,-0.097,-0.076,-0.024,-0.34,-0.101,0.027
"chr2-0413","chr2",73900001,74000000,"chr2-0413",-0.111,-0.006,-0.14,-0.052,-0.053,-0.139,-0.376,-0.108,-0.034
"chr2-0414","chr2",74000001,74050000,"chr2-0414",-0.209,0.011,-0.042,-0.066,-0.015,-0.02,-0.306,-0.041,0.048
"chr2-0415","chr2",74050001,74100000,"chr2-0415",-0.106,0.001,-0.295,0,-0.005,-0.024,-0.433,-0.136,-0.013
"chr2-0416","chr2",74100001,74200000,"chr2-0416",0.146,-0.002,-0.167,0.051,0.032,-0.026,-0.067,-0.05,0.013
"chr2-0417","chr2",74200001,74250000,"chr2-0417",0.066,0.082,-0.109,0.015,0.047,0.055,-0.132,-0.018,0.023
"chr2-0418","chr2",74250001,74350000,"chr2-0418",-0.246,-0.011,0.014,-0.122,0.038,-0.004,-0.44,-0.067,-0.032
"chr2-0419","chr2",74350001,74400000,"chr2-0419",-0.131,0.067,0.1,-0.044,0.103,0.026,-0.276,-0.037,0.023
"chr2-0420","chr2",74400001,74600000,"chr2-0420",0.049,0.069,0.05,0.059,0.031,0.034,-0.09,0.072,0.022
"chr2-0421","chr2",74600001,74650000,"chr2-0421",-0.084,0.019,0.04,-0.018,-0.031,0.003,-0.191,-0.045,-0.022
"chr2-0422","chr2",74650001,74700000,"chr2-0422",-0.022,-0.05,-0.068,-0.069,0.001,0.024,-0.202,-0.008,-0.059
"chr2-0423","chr2",74700001,74750000,"chr2-0423",0.093,-0.092,-0.169,-0.095,-0.043,0.054,-0.096,-0.005,-0.051
"chr2-0424","chr2",74750001,74800000,"chr2-0424",-0.09,-0.087,-0.243,-0.183,-0.05,-0.001,-0.105,-0.08,-0.088
"chr2-0425","chr2",74800001,74900000,"chr2-0425",-0.365,0.087,-0.224,-0.038,0.046,0.016,-0.178,0.044,-0.01
"chr2-0426","chr2",74900001,75050000,"chr2-0426",-0.348,0.01,0,-0.206,-0.046,-0.094,-0.588,-0.127,-0.04
"chr2-0427","chr2",75050001,75100000,"chr2-0427",-0.093,-0.049,-0.121,-0.282,-0.064,-0.025,-0.43,-0.134,-0.094
"chr2-0428","chr2",75100001,75150000,"chr2-0428",-0.14,-0.004,0.137,-0.062,0.011,0.011,-0.34,0.02,-0.05
"chr2-0429","chr2",75150001,75400000,"chr2-0429",-0.246,0.021,-0.117,-0.076,0.048,-0.037,-0.452,-0.136,0.07
"chr2-0430","chr2",75400001,75750000,"chr2-0430",-0.059,-0.133,-0.252,-0.189,-0.095,-0.022,-0.169,-0.235,-0.075
"chr2-0431","chr2",75750001,75800000,"chr2-0431",-0.262,-0.166,-0.38,-0.294,-0.11,-0.143,-0.162,-0.279,-0.157
"chr2-0432","chr2",75800001,75900000,"chr2-0432",-0.105,-0.063,-0.342,-0.083,-0.026,-0.042,-0.189,-0.125,-0.101
"chr2-0433","chr2",75900001,75950000,"chr2-0433",-0.022,0.011,0.11,-0.031,0.113,0.026,0.007,-0.004,0.006
"chr2-0434","chr2",75950001,77750000,"chr2-0434",-0.418,-0.085,0.114,-0.08,-0.055,-0.105,-0.428,-0.132,-0.007
"chr2-0435","chr2",77750001,79250000,"chr2-0435",0.115,0.005,0.379,0.071,-0.101,0.041,-0.01,0.053,0.018
"chr2-0436","chr2",79250001,79700000,"chr2-0436",-0.688,-0.068,-0.488,-0.296,-0.127,-0.139,-0.387,-0.409,-0.118
"chr2-0437","chr2",79700001,80100000,"chr2-0437",-0.451,-0.098,0.058,-0.132,-0.114,-0.131,-0.455,-0.227,-0.087
"chr2-0438","chr2",80100001,80500000,"chr2-0438",-0.486,-0.018,-0.366,-0.241,-0.019,-0.145,-0.518,-0.294,-0.243
"chr2-0439","chr2",80500001,80550000,"chr2-0439",0.12,0.035,0.3,0.251,0.036,0.065,0.049,0.104,0.169
"chr2-0440","chr2",80550001,82200000,"chr2-0440",-0.159,-0.147,0.09,-0.047,-0.091,-0.103,-0.207,0.035,0.019
"chr2-0441","chr2",82200001,84100000,"chr2-0441",-0.017,0.018,0.31,0,0.03,-0.345,-0.146,0.07,0.149
"chr2-0442","chr2",84100001,84150000,"chr2-0442",-0.029,-0.033,0.356,0.132,-0.001,-0.03,-0.011,-0.032,0.087
"chr2-0443","chr2",84150001,84550000,"chr2-0443",-0.289,-0.006,0.253,-0.064,-0.011,-0.121,-0.362,-0.089,0.014
"chr2-0444","chr2",84550001,84750000,"chr2-0444",-0.271,-0.181,-0.304,-0.162,-0.074,-0.09,-0.228,-0.261,-0.127
"chr2-0445","chr2",84750001,85100000,"chr2-0445",-0.719,-0.173,-0.469,-0.496,-0.143,-0.18,-0.468,-0.34,-0.14
"chr2-0446","chr2",85100001,85150000,"chr2-0446",-0.054,0.017,-0.038,-0.166,0.008,-0.008,-0.052,-0.139,-0.052
"chr2-0447","chr2",85150001,85350000,"chr2-0447",0.069,0.161,0.28,0.098,0.06,0.072,-0.041,0.145,0.128
"chr2-0448","chr2",85350001,85400000,"chr2-0448",0,-0.032,-0.069,-0.065,-0.038,-0.028,-0.262,-0.03,-0.12
"chr2-0449","chr2",85400001,85550000,"chr2-0449",-0.469,-0.089,-0.38,-0.291,-0.054,-0.057,-0.309,-0.328,-0.122
"chr2-0450","chr2",85550001,85600000,"chr2-0450",0.063,0.048,0.003,0.058,-0.005,-0.016,0.04,0.068,0.005
"chr2-0451","chr2",85600001,85650000,"chr2-0451",0.083,0.052,-0.01,-0.009,0.08,0.034,0.049,0.028,0.067
"chr2-0452","chr2",85650001,85750000,"chr2-0452",-0.049,0,-0.097,0.031,0.013,-0.025,-0.023,-0.011,0
"chr2-0453","chr2",85750001,85800000,"chr2-0453",0.12,-0.038,0.127,0.115,0.02,-0.034,0.008,0.115,0.039
"chr2-0454","chr2",85800001,85850000,"chr2-0454",0.058,0.071,0.06,0.051,0.069,0.033,-0.068,0.076,-0.013
"chr2-0455","chr2",85850001,85950000,"chr2-0455",-0.273,0.017,-0.22,-0.179,0.021,-0.072,-0.186,-0.158,-0.03
"chr2-0456","chr2",85950001,86000000,"chr2-0456",0.186,-0.045,0.011,-0.018,-0.036,0.028,0.018,0.039,0.007
"chr2-0457","chr2",86000001,86100000,"chr2-0457",-0.238,-0.114,-0.476,-0.415,-0.14,-0.134,-0.291,-0.269,-0.209
"chr2-0458","chr2",86100001,86150000,"chr2-0458",0.04,0.187,-0.029,0.049,0.023,0.012,-0.043,0.018,0.157
"chr2-0459","chr2",86150001,86300000,"chr2-0459",-0.033,-0.001,0.078,-0.124,-0.011,0.003,0.132,-0.114,-0.061
"chr2-0460","chr2",86300001,86400000,"chr2-0460",-0.248,-0.138,-0.496,-0.156,-0.01,-0.051,-0.333,-0.317,-0.206
"chr2-0461","chr2",86400001,86450000,"chr2-0461",-0.147,-0.092,-0.168,-0.103,-0.007,-0.067,-0.107,-0.136,-0.175
"chr2-0462","chr2",86450001,86600000,"chr2-0462",-0.134,0.071,-0.122,0.005,0.006,0.001,-0.002,-0.028,0.056
"chr2-0463","chr2",86600001,86700000,"chr2-0463",0.298,0.197,0.032,0.272,0.179,0.191,0.343,0.386,0.317
"chr2-0464","chr2",86700001,86800000,"chr2-0464",0.006,-0.042,-0.22,-0.016,0.028,0.032,-0.066,-0.035,-0.031
"chr2-0465","chr2",86800001,87000000,"chr2-0465",0.11,0.085,0.019,0.114,0.118,0.004,0.031,0.138,0.196
"chr2-0466","chr2",87000001,87050000,"chr2-0466",0.12,0.04,0.204,0.062,0.042,0.046,0.065,0.072,0.097
"chr2-0467","chr2",87050001,87300000,"chr2-0467",-0.227,0.062,0.182,-0.005,0,-0.084,-0.22,-0.016,0.048
"chr2-0468","chr2",87300001,87668206,"chr2-0468",-0.042,0.001,0.003,0.005,-0.034,-0.01,-0.135,0.016,0.105
"chr2-0469","chr2",87718207,88350000,"chr2-0469",-0.096,0.082,0.355,-0.012,-0.004,-0.036,-0.24,-0.007,0.008
"chr2-0470","chr2",88350001,88400000,"chr2-0470",0.019,0.076,0.099,0.148,0.065,0.023,0.17,0.149,0.117
"chr2-0471","chr2",88400001,88500000,"chr2-0471",-0.304,-0.082,-0.45,-0.341,-0.113,-0.081,-0.298,-0.493,-0.255
"chr2-0472","chr2",88500001,88750000,"chr2-0472",-0.022,0.055,0.027,-0.142,0.048,-0.043,0.015,-0.062,-0.064
"chr2-0473","chr2",88750001,88800000,"chr2-0473",0.188,0.251,0.609,0.312,0.121,0.102,0.153,0.205,0.292
"chr2-0474","chr2",88800001,88900000,"chr2-0474",-0.144,0.13,0.247,-0.009,0,-0.018,-0.038,-0.085,0.025
"chr2-0475","chr2",88900001,88950000,"chr2-0475",0.102,-0.116,-0.516,-0.065,-0.009,-0.034,-0.047,-0.06,-0.058
"chr2-0476","chr2",88950001,89000000,"chr2-0476",0,-0.103,-0.395,-0.184,-0.094,-0.078,0.001,0.001,-0.036
"chr2-0477","chr2",89000001,89630436,"chr2-0477",-0.146,-0.103,0.154,-0.054,-0.02,-0.007,-0.046,-0.035,-0.051
"chr2-0478","chr2",91595104,91800000,"chr2-0478",-0.221,-0.042,0.215,0.075,-0.023,-0.015,-0.181,0.067,0.075
"chr2-0479","chr2",91800001,91900000,"chr2-0479",-0.281,-0.117,0.057,-0.133,-0.067,-0.16,-0.383,-0.137,-0.001
"chr2-0480","chr2",91900001,91950000,"chr2-0480",-0.387,-0.054,0.194,-0.186,-0.031,-0.234,-0.319,-0.259,-0.009
"chr2-0481","chr2",91950001,92250000,"chr2-0481",-0.217,-0.107,0.272,-0.015,-0.123,-0.12,-0.158,-0.073,-0.051
"chr2-0482","chr2",92250001,92326171,"chr2-0482",-0.29,0.224,0.667,0.317,0.055,-0.279,-0.216,-0.032,0.284
"chr2-0483","chr2",95326172,95550000,"chr2-0483",-0.047,-0.127,0.136,-0.064,-0.205,-0.127,-0.126,-0.089,-0.027
"chr2-0484","chr2",95550001,95700000,"chr2-0484",-0.113,-0.064,0.066,-0.134,0.006,-0.049,-0.006,-0.068,-0.02
"chr2-0485","chr2",95700001,95800000,"chr2-0485",-0.194,-0.105,-0.328,-0.131,-0.052,0,-0.054,-0.027,-0.047
"chr2-0486","chr2",95800001,95850000,"chr2-0486",-0.023,0.064,-0.16,0.052,0.065,0.018,-0.015,0.005,0.004
"chr2-0487","chr2",95850001,95950000,"chr2-0487",-0.097,-0.029,-0.012,-0.094,-0.017,0.054,-0.07,-0.063,-0.012
"chr2-0488","chr2",95950001,96000000,"chr2-0488",0.052,-0.188,0.235,-0.116,-0.215,-0.051,-0.103,-0.123,-0.027
"chr2-0489","chr2",96000001,96050000,"chr2-0489",0.02,-0.032,0.038,0.089,-0.025,-0.096,0.028,0.111,0.045
"chr2-0490","chr2",96050001,96100000,"chr2-0490",-0.038,-0.037,-0.086,-0.075,-0.127,-0.065,-0.037,-0.119,0.025
"chr2-0491","chr2",96100001,96650000,"chr2-0491",-0.335,-0.094,-0.062,-0.08,-0.055,-0.174,-0.158,-0.128,-0.09
"chr2-0492","chr2",96650001,96800000,"chr2-0492",0.04,-0.038,0.201,0.055,-0.006,-0.082,0.078,0.043,0.041
"chr2-0493","chr2",96800001,96850000,"chr2-0493",-0.007,-0.001,-0.135,-0.094,0.015,0.032,0.03,0.014,-0.085
"chr2-0494","chr2",96850001,96900000,"chr2-0494",0.091,0.089,0.144,0.22,0.074,-0.024,0.069,0.168,0.084
"chr2-0495","chr2",96900001,96950000,"chr2-0495",-0.123,-0.036,-0.196,-0.149,-0.071,-0.052,-0.041,-0.172,-0.137
"chr2-0496","chr2",96950001,97000000,"chr2-0496",0.025,0.004,-0.034,-0.033,-0.009,-0.02,0.134,0.027,-0.018
"chr2-0497","chr2",97000001,97150000,"chr2-0497",0.171,0.2,0.579,0.221,0.08,0.045,0.111,0.246,0.106
"chr2-0498","chr2",97150001,97200000,"chr2-0498",0.013,-0.08,-0.191,-0.126,-0.013,-0.024,0.106,-0.065,-0.119
"chr2-0499","chr2",97200001,97250000,"chr2-0499",0,0.042,-0.031,0.072,0.036,0.044,-0.087,0.014,-0.033
"chr2-0500","chr2",97250001,97400000,"chr2-0500",-0.134,-0.005,-0.077,-0.058,-0.04,0.018,-0.245,-0.052,-0.049
"chr2-0501","chr2",97400001,97450000,"chr2-0501",0.208,0.148,0.262,0.226,0.144,0.086,0.032,0.287,0.231
"chr2-0502","chr2",97450001,97500000,"chr2-0502",-0.016,0.089,0.084,0.093,0.052,0.024,-0.125,0.101,0.129
"chr2-0503","chr2",97500001,97550000,"chr2-0503",0.105,-0.013,0.096,0.062,0.028,0.026,-0.058,0.068,0.022
"chr2-0504","chr2",97550001,97750000,"chr2-0504",0.071,0.085,-0.141,0.029,0.027,0.019,-0.221,-0.055,-0.062
"chr2-0505","chr2",97750001,98250000,"chr2-0505",-0.059,-0.172,-0.036,-0.009,-0.079,-0.068,-0.251,0.044,-0.069
"chr2-0506","chr2",98250001,98300000,"chr2-0506",0.072,0.026,0.034,0.045,0.024,0.034,-0.136,0.055,0.053
"chr2-0507","chr2",98300001,98350000,"chr2-0507",-0.218,-0.059,0.007,-0.102,-0.081,-0.017,-0.159,-0.09,-0.067
"chr2-0508","chr2",98350001,98400000,"chr2-0508",-0.006,-0.039,0.172,0.044,-0.019,-0.002,-0.083,-0.016,0.019
"chr2-0509","chr2",98400001,98600000,"chr2-0509",-0.247,0.013,0.047,-0.096,-0.016,0.091,-0.475,-0.22,0.012
"chr2-0510","chr2",98600001,98650000,"chr2-0510",0.095,0.098,-0.056,0.031,0.095,0.082,-0.209,0.068,0.091
"chr2-0511","chr2",98650001,98750000,"chr2-0511",-0.08,-0.003,0.075,-0.04,0.007,-0.107,-0.177,-0.041,-0.031
"chr2-0512","chr2",98750001,98950000,"chr2-0512",-0.521,-0.028,-0.214,-0.12,-0.009,-0.077,-0.632,-0.219,-0.088
"chr2-0513","chr2",98950001,99050000,"chr2-0513",-0.247,-0.04,-0.251,-0.177,-0.091,0.007,-0.491,-0.154,-0.127
"chr2-0514","chr2",99050001,99100000,"chr2-0514",0.173,0.343,0.267,0.368,0.203,0.146,0.001,0.22,0.391
"chr2-0515","chr2",99100001,99250000,"chr2-0515",-0.076,-0.072,-0.158,-0.007,0.008,-0.026,-0.171,-0.066,-0.02
"chr2-0516","chr2",99250001,99400000,"chr2-0516",-0.179,0.122,-0.022,0.024,0.085,0.069,-0.514,0.045,0.135
"chr2-0517","chr2",99400001,99550000,"chr2-0517",-0.181,-0.248,-0.104,-0.016,-0.11,-0.139,-0.206,-0.197,-0.071
"chr2-0518","chr2",99550001,99750000,"chr2-0518",0.216,0.257,0.16,0.211,0.103,0.166,-0.096,0.155,0.204
"chr2-0519","chr2",99750001,99800000,"chr2-0519",0.184,0.033,-0.03,0.097,0.07,0.059,-0.034,0.115,0.047
"chr2-0520","chr2",99800001,99950000,"chr2-0520",-0.443,-0.045,-0.299,-0.201,0.019,-0.016,-0.606,-0.142,-0.071
"chr2-0521","chr2",99950001,100000000,"chr2-0521",0.076,0.032,0.027,0.141,0.125,0.078,-0.105,0.083,0.182
"chr2-0522","chr2",100000001,100200000,"chr2-0522",-0.218,0.067,0.008,0.045,0.02,0.088,-0.481,0.05,-0.002
"chr2-0523","chr2",100200001,100300000,"chr2-0523",-0.256,0.065,-0.062,-0.152,-0.029,-0.018,-0.416,-0.142,-0.015
"chr2-0524","chr2",100300001,100650000,"chr2-0524",-0.471,-0.011,-0.383,-0.196,-0.064,-0.139,-0.62,-0.273,-0.112
"chr2-0525","chr2",100650001,100750000,"chr2-0525",-0.261,0.023,-0.286,-0.118,-0.045,-0.065,-0.358,-0.145,0.008
"chr2-0526","chr2",100750001,100900000,"chr2-0526",-0.396,-0.139,-0.389,-0.382,-0.145,-0.155,-0.383,-0.392,-0.231
"chr2-0527","chr2",100900001,101000000,"chr2-0527",0.067,0.098,-0.055,0.051,0.081,0.002,-0.129,0.146,0.005
"chr2-0528","chr2",101000001,101050000,"chr2-0528",-0.178,0.074,0.196,-0.041,0.081,0.022,-0.294,-0.147,0.062
"chr2-0529","chr2",101050001,101400000,"chr2-0529",-0.356,-0.021,-0.219,-0.208,-0.032,-0.105,-0.489,-0.091,-0.069
"chr2-0530","chr2",101400001,101450000,"chr2-0530",0.229,-0.011,-0.029,0.046,0.001,0.047,-0.243,-0.045,-0.007
"chr2-0531","chr2",101450001,101600000,"chr2-0531",-0.309,0.007,-0.31,-0.16,-0.004,-0.095,-0.461,-0.126,-0.02
"chr2-0532","chr2",101600001,101650000,"chr2-0532",-0.11,0.02,-0.015,-0.035,0.052,0.079,-0.305,-0.083,0.01
"chr2-0533","chr2",101650001,101800000,"chr2-0533",-0.065,0.127,0.116,-0.033,0.024,0.041,-0.192,-0.053,0.086
"chr2-0534","chr2",101800001,101900000,"chr2-0534",-0.145,0.068,0.095,0.008,0.077,0.051,-0.426,0.011,0.097
"chr2-0535","chr2",101900001,102050000,"chr2-0535",-0.029,0.076,0.023,0.105,0.092,0.055,-0.307,0,0.098
"chr2-0536","chr2",102050001,102100000,"chr2-0536",0.026,0.058,0.083,0.025,0.121,-0.012,-0.201,0.092,0.009
"chr2-0537","chr2",102100001,102350000,"chr2-0537",-0.222,0.2,-0.148,-0.003,0.091,0.049,-0.382,-0.066,0.142
"chr2-0538","chr2",102350001,102600000,"chr2-0538",-0.425,-0.055,-0.2,-0.159,0.02,-0.096,-0.512,-0.146,-0.148
"chr2-0539","chr2",102600001,102750000,"chr2-0539",-0.196,-0.03,-0.21,-0.195,-0.021,-0.048,-0.214,-0.247,0.007
"chr2-0540","chr2",102750001,102850000,"chr2-0540",-0.363,-0.102,-0.249,-0.302,-0.032,-0.101,-0.188,-0.299,-0.105
"chr2-0541","chr2",102850001,102900000,"chr2-0541",-0.109,-0.038,0.088,-0.084,-0.013,-0.023,-0.071,-0.084,-0.076
"chr2-0542","chr2",102900001,103000000,"chr2-0542",-0.642,-0.195,-0.189,-0.334,-0.11,-0.087,-0.465,-0.356,0.025
"chr2-0543","chr2",103000001,103200000,"chr2-0543",-0.397,0.006,-0.426,-0.178,-0.006,-0.056,-0.309,-0.267,0.027
"chr2-0544","chr2",103200001,103250000,"chr2-0544",-0.303,-0.06,-0.032,-0.151,-0.103,-0.121,-0.217,-0.341,-0.021
