"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr3-099","chr3",100000001,101000000,"chr3-099",-0.052,0.005,-0.035,-0.05,0.004
"chr3-100","chr3",101000001,102000000,"chr3-100",0.003,0.024,0.001,0.002,0.046
"chr3-101","chr3",102000001,103000000,"chr3-101",-0.073,-0.055,-0.203,-0.156,-0.14
"chr3-102","chr3",103000001,104000000,"chr3-102",-0.084,-0.033,-0.251,-0.159,-0.077
"chr3-103","chr3",104000001,105000000,"chr3-103",-0.12,0.068,-0.213,-0.103,0.128
"chr3-104","chr3",105000001,106000000,"chr3-104",-0.036,-0.009,-0.046,-0.074,-0.057
"chr3-105","chr3",106000001,107000000,"chr3-105",-0.017,-0.002,-0.117,-0.056,-0.027
"chr3-106","chr3",107000001,108000000,"chr3-106",-0.086,-0.013,-0.112,-0.083,-0.061
"chr3-107","chr3",108000001,109000000,"chr3-107",-0.131,-0.05,-0.181,-0.084,-0.051
"chr3-108","chr3",109000001,110000000,"chr3-108",0.01,0.057,0.025,-0.01,0.024
"chr3-109","chr3",110000001,111000000,"chr3-109",-0.075,-0.029,-0.142,-0.089,-0.095
"chr3-110","chr3",111000001,112000000,"chr3-110",-0.062,-0.042,-0.124,-0.121,-0.099
"chr3-111","chr3",112000001,113000000,"chr3-111",-0.017,-0.005,-0.063,-0.022,0.005
"chr3-112","chr3",113000001,114000000,"chr3-112",-0.006,-0.018,-0.026,-0.009,0.052
"chr3-113","chr3",114000001,115000000,"chr3-113",-0.012,0.03,-0.064,0.013,0.022
"chr3-114","chr3",115000001,116000000,"chr3-114",-0.068,0.029,-0.115,-0.038,0.001
"chr3-115","chr3",116000001,117000000,"chr3-115",-0.117,-0.038,-0.148,-0.142,-0.119
"chr3-116","chr3",117000001,118000000,"chr3-116",-0.122,-0.026,-0.165,-0.113,-0.102
"chr3-117","chr3",118000001,119000000,"chr3-117",-0.074,-0.011,-0.048,-0.06,-0.016
"chr3-118","chr3",119000001,120000000,"chr3-118",-0.005,-0.012,-0.011,-0.008,0
"chr3-119","chr3",120000001,121000000,"chr3-119",-0.029,0.007,-0.041,-0.064,-0.004
"chr3-120","chr3",121000001,122000000,"chr3-120",-0.024,0.005,-0.054,-0.014,0.007
"chr3-121","chr3",122000001,123000000,"chr3-121",0.004,0.011,0.026,0.007,0.011
"chr3-122","chr3",123000001,124000000,"chr3-122",0.001,-0.009,0.005,0.003,-0.032
"chr3-123","chr3",124000001,125000000,"chr3-123",0.014,0.031,0.039,0.03,0.081
"chr3-124","chr3",125000001,126000000,"chr3-124",0.025,-0.029,0.034,-0.015,-0.032
"chr3-125","chr3",126000001,127000000,"chr3-125",0.014,-0.067,0.023,-0.078,-0.144
"chr3-126","chr3",127000001,128000000,"chr3-126",0.037,-0.01,0.051,-0.008,-0.053
"chr3-127","chr3",128000001,129000000,"chr3-127",0.054,-0.006,0.072,0.032,-0.018
"chr3-128","chr3",129000001,130000000,"chr3-128",0.032,-0.011,0.044,-0.013,-0.054
"chr3-129","chr3",130000001,131000000,"chr3-129",-0.043,-0.024,-0.093,-0.088,-0.067
"chr3-130","chr3",131000001,132000000,"chr3-130",-0.055,-0.019,-0.143,-0.121,-0.132
"chr3-131","chr3",132000001,133000000,"chr3-131",-0.064,-0.01,-0.056,-0.077,-0.097
"chr3-132","chr3",133000001,134000000,"chr3-132",-0.022,-0.027,0.01,-0.023,-0.009
"chr3-133","chr3",134000001,135000000,"chr3-133",-0.023,-0.075,-0.036,-0.071,-0.107
"chr3-134","chr3",135000001,136000000,"chr3-134",0.048,0.054,0.04,0.023,0.068
"chr3-135","chr3",136000001,137000000,"chr3-135",0.009,0.02,0.03,0.001,0.068
"chr3-136","chr3",137000001,138000000,"chr3-136",-0.028,-0.074,-0.054,-0.135,-0.155
"chr3-137","chr3",138000001,139000000,"chr3-137",0.039,0.03,0.101,0.011,0.019
"chr3-138","chr3",139000001,140000000,"chr3-138",-0.038,-0.083,-0.079,-0.102,-0.136
"chr3-139","chr3",140000001,141000000,"chr3-139",-0.047,-0.032,-0.072,-0.049,-0.087
"chr3-140","chr3",141000001,142000000,"chr3-140",0.058,0.057,0.09,0.089,0.133
"chr3-141","chr3",142000001,143000000,"chr3-141",0.021,0.04,0.032,0.035,0.091
"chr3-142","chr3",143000001,144000000,"chr3-142",-0.036,0.022,-0.08,-0.033,-0.042
"chr3-143","chr3",144000001,145000000,"chr3-143",-0.198,-0.103,-0.34,-0.24,-0.119
"chr3-144","chr3",145000001,146000000,"chr3-144",-0.099,-0.047,-0.147,-0.18,-0.114
"chr3-145","chr3",146000001,147000000,"chr3-145",-0.091,-0.041,-0.132,-0.129,-0.129
"chr3-146","chr3",147000001,148000000,"chr3-146",-0.065,-0.082,-0.113,-0.115,-0.075
"chr3-147","chr3",148000001,149000000,"chr3-147",0.009,0.043,-0.002,0.031,0.071
"chr3-148","chr3",149000001,150000000,"chr3-148",-0.022,0.024,-0.033,0.013,0.058
"chr3-149","chr3",150000001,151000000,"chr3-149",0.01,0.034,0.019,0.015,0.047
"chr3-150","chr3",151000001,152000000,"chr3-150",-0.032,0.039,-0.034,0.007,0.08
"chr3-151","chr3",152000001,153000000,"chr3-151",0.048,0.045,0.016,0.036,0.046
"chr3-152","chr3",153000001,154000000,"chr3-152",-0.008,0.038,-0.009,0.009,0.033
"chr3-153","chr3",154000001,155000000,"chr3-153",-0.073,-0.027,-0.125,-0.068,0.006
"chr3-154","chr3",155000001,156000000,"chr3-154",-0.002,0.047,0.021,-0.001,0.006
"chr3-155","chr3",156000001,157000000,"chr3-155",-0.04,-0.038,-0.077,-0.072,-0.083
"chr3-156","chr3",157000001,158000000,"chr3-156",-0.038,0,-0.073,-0.057,-0.033
"chr3-157","chr3",158000001,159000000,"chr3-157",-0.003,0.023,-0.016,0.01,0.049
"chr3-158","chr3",159000001,160000000,"chr3-158",0.008,0.011,-0.022,-0.012,0.005
"chr3-159","chr3",160000001,161000000,"chr3-159",-0.015,0.026,0.008,-0.035,0.006
"chr3-160","chr3",161000001,162000000,"chr3-160",-0.071,-0.082,-0.164,-0.131,-0.193
"chr3-161","chr3",162000001,163000000,"chr3-161",-0.039,0.038,-0.189,-0.093,-0.09
"chr3-162","chr3",163000001,164000000,"chr3-162",-0.02,-0.037,-0.097,-0.108,-0.066
"chr3-163","chr3",164000001,165000000,"chr3-163",-0.12,-0.054,-0.09,-0.028,0.028
"chr3-164","chr3",165000001,166000000,"chr3-164",-0.164,-0.027,-0.228,-0.242,-0.115
"chr3-165","chr3",166000001,167000000,"chr3-165",-0.007,0.028,-0.146,-0.005,0.039
"chr3-166","chr3",167000001,168000000,"chr3-166",-0.069,-0.045,-0.094,-0.113,-0.058
"chr3-167","chr3",168000001,169000000,"chr3-167",-0.072,0.01,-0.189,-0.076,-0.012
"chr3-168","chr3",169000001,170000000,"chr3-168",0.019,0.018,0.041,0.047,0.101
"chr3-169","chr3",170000001,171000000,"chr3-169",-0.01,0.006,-0.024,0.001,0.024
"chr3-170","chr3",171000001,172000000,"chr3-170",0.031,0.067,0.027,0.077,0.142
"chr3-171","chr3",172000001,173000000,"chr3-171",-0.025,0.017,-0.052,-0.017,0.008
"chr3-172","chr3",173000001,174000000,"chr3-172",-0.124,-0.03,-0.246,-0.173,-0.045
"chr3-173","chr3",174000001,175000000,"chr3-173",-0.093,0.003,-0.173,-0.086,-0.002
"chr3-174","chr3",175000001,176000000,"chr3-174",-0.14,-0.07,-0.254,-0.151,-0.034
"chr3-175","chr3",176000001,177000000,"chr3-175",-0.065,0.048,-0.045,0.017,0.087
"chr3-176","chr3",177000001,178000000,"chr3-176",0.027,0.049,-0.037,0.021,0.09
"chr3-177","chr3",178000001,179000000,"chr3-177",-0.012,0.015,-0.025,-0.008,0.033
"chr3-178","chr3",179000001,180000000,"chr3-178",0.002,0.05,0.033,0.026,0.069
"chr3-179","chr3",180000001,181000000,"chr3-179",-0.042,-0.009,-0.06,-0.078,-0.043
"chr3-180","chr3",181000001,182000000,"chr3-180",0.022,0.016,-0.005,0.017,0.081
"chr3-181","chr3",182000001,183000000,"chr3-181",0.006,0.008,0.011,0.041,0.11
"chr3-182","chr3",183000001,184000000,"chr3-182",0.045,0.031,0.077,0.052,0.063
"chr3-183","chr3",184000001,185000000,"chr3-183",0.074,0.026,0.087,0.047,0.051
"chr3-184","chr3",185000001,186000000,"chr3-184",0.039,0.055,0.05,0.072,0.107
"chr3-185","chr3",186000001,187000000,"chr3-185",-0.022,-0.034,-0.007,-0.025,-0.013
"chr3-186","chr3",187000001,188000000,"chr3-186",-0.005,0.012,-0.025,-0.002,0.012
"chr3-187","chr3",188000001,189000000,"chr3-187",-0.024,0.016,-0.054,0.022,0.058
"chr3-188","chr3",189000001,190000000,"chr3-188",-0.041,0.043,-0.083,0.028,0.053
"chr3-189","chr3",190000001,191000000,"chr3-189",-0.068,-0.007,-0.136,-0.077,-0.05
"chr3-190","chr3",191000001,192000000,"chr3-190",-0.003,0.061,-0.037,-0.018,-0.014
"chr3-191","chr3",192000001,193000000,"chr3-191",-0.006,0.003,-0.021,-0.019,0.006
"chr3-192","chr3",193000001,194000000,"chr3-192",0.015,0.007,0.016,0.001,0.03
"chr3-193","chr3",194000001,194041961,"chr3-193",0.047,-0.142,-0.019,-0.003,0.067
"chr3-194","chr3",194047252,195000000,"chr3-194",0.056,-0.009,0.055,0.045,0.071
"chr3-195","chr3",195000001,196000000,"chr3-195",0.157,0.074,0.136,0.096,0.154
"chr3-196","chr3",196000001,197000000,"chr3-196",0.076,0.07,0.125,0.095,0.151
"chr3-197","chr3",197000001,197962430,"chr3-197",0.059,0.033,0.098,0.065,0.104
"chr4-001","chr4",10001,1000000,"chr4-001",0.129,0.087,0.211,0.118,0.061
"chr4-002","chr4",1000001,1423146,"chr4-002",0.115,0.069,0.225,0.115,0.011
"chr4-003","chr4",1478647,2000000,"chr4-003",0.088,0.08,0.188,0.105,0.008
"chr4-004","chr4",2000001,3000000,"chr4-004",0.1,0.062,0.168,0.077,0.012
"chr4-005","chr4",3000001,4000000,"chr4-005",0.095,0.035,0.134,0.044,-0.028
"chr4-006","chr4",4000001,5000000,"chr4-006",-0.008,-0.05,-0.022,-0.076,-0.111
"chr4-007","chr4",5000001,6000000,"chr4-007",0.038,-0.01,0.013,-0.004,-0.035
"chr4-008","chr4",6000001,7000000,"chr4-008",0.045,-0.002,0.058,0.019,-0.018
"chr4-009","chr4",7000001,8000000,"chr4-009",0.057,-0.042,0.048,-0.017,-0.077
"chr4-010","chr4",8000001,8799203,"chr4-010",0.072,-0.03,0.073,-0.013,-0.091
"chr4-011","chr4",9324643,10000000,"chr4-011",-0.045,-0.118,-0.084,-0.131,-0.165
"chr4-012","chr4",10000001,11000000,"chr4-012",-0.024,-0.045,-0.044,-0.066,-0.087
"chr4-013","chr4",11000001,12000000,"chr4-013",-0.029,-0.029,-0.068,-0.005,-0.008
"chr4-014","chr4",12000001,13000000,"chr4-014",-0.142,-0.088,-0.267,-0.122,-0.107
"chr4-015","chr4",13000001,14000000,"chr4-015",-0.028,-0.048,-0.033,-0.03,-0.051
"chr4-016","chr4",14000001,15000000,"chr4-016",-0.153,-0.057,-0.206,-0.11,-0.1
"chr4-017","chr4",15000001,16000000,"chr4-017",-0.06,-0.006,-0.112,-0.083,-0.031
"chr4-018","chr4",16000001,17000000,"chr4-018",-0.009,-0.005,-0.035,-0.009,0.014
"chr4-019","chr4",17000001,18000000,"chr4-019",0.013,0.016,0.024,0.017,0.052
"chr4-020","chr4",18000001,19000000,"chr4-020",-0.086,-0.016,-0.11,-0.135,-0.119
"chr4-021","chr4",19000001,20000000,"chr4-021",-0.039,0.062,-0.212,-0.084,-0.02
"chr4-022","chr4",20000001,21000000,"chr4-022",0.007,-0.018,-0.035,-0.039,-0.082
"chr4-023","chr4",21000001,22000000,"chr4-023",-0.069,-0.013,-0.112,-0.054,-0.021
"chr4-024","chr4",22000001,23000000,"chr4-024",-0.047,0.033,-0.027,-0.022,0.046
"chr4-025","chr4",23000001,24000000,"chr4-025",-0.144,-0.068,-0.203,-0.16,-0.11
"chr4-026","chr4",24000001,25000000,"chr4-026",-0.01,0.019,-0.012,0.016,0.021
"chr4-027","chr4",25000001,26000000,"chr4-027",-0.001,0.019,0.045,0.035,0.051
"chr4-028","chr4",26000001,27000000,"chr4-028",-0.023,-0.007,0.007,-0.006,0.036
"chr4-029","chr4",27000001,28000000,"chr4-029",-0.033,0.044,-0.072,0.012,0.056
"chr4-030","chr4",28000001,29000000,"chr4-030",-0.063,-0.007,-0.233,-0.096,-0.145
"chr4-031","chr4",29000001,30000000,"chr4-031",-0.214,-0.186,-0.345,-0.079,-0.026
"chr4-032","chr4",30000001,31000000,"chr4-032",-0.103,-0.164,-0.174,-0.184,-0.242
"chr4-033","chr4",31000001,31820917,"chr4-033",-0.012,0.05,-0.116,0.001,0.142
"chr4-034","chr4",31837418,32834638,"chr4-034",-0.034,0.061,-0.115,-0.002,-0.034
"chr4-035","chr4",32840639,34000000,"chr4-035",-0.127,-0.021,-0.219,-0.07,-0.041
"chr4-036","chr4",34000001,35000000,"chr4-036",-0.185,-0.048,-0.287,-0.173,-0.183
"chr4-037","chr4",35000001,36000000,"chr4-037",-0.06,0.011,-0.117,-0.08,-0.05
"chr4-038","chr4",36000001,37000000,"chr4-038",-0.072,0.012,-0.102,-0.089,-0.055
"chr4-039","chr4",37000001,38000000,"chr4-039",-0.012,0.022,-0.009,0.009,0.033
"chr4-040","chr4",38000001,39000000,"chr4-040",0.036,0.064,0.029,0.111,0.111
"chr4-041","chr4",39000001,40000000,"chr4-041",0.054,0.067,0.102,0.084,0.168
"chr4-042","chr4",40000001,40296396,"chr4-042",0.093,0.152,0.16,0.197,0.262
"chr4-043","chr4",40297097,41000000,"chr4-043",0.058,0.091,0.057,0.143,0.225
"chr4-044","chr4",41000001,42000000,"chr4-044",-0.052,-0.036,-0.067,-0.033,-0.036
"chr4-045","chr4",42000001,43000000,"chr4-045",-0.026,-0.001,-0.045,-0.046,-0.033
"chr4-046","chr4",43000001,44000000,"chr4-046",-0.044,-0.005,-0.158,-0.073,0.007
"chr4-047","chr4",44000001,45000000,"chr4-047",-0.098,-0.107,-0.055,-0.146,-0.134
"chr4-048","chr4",45000001,46000000,"chr4-048",-0.003,0.082,-0.029,-0.02,-0.052
"chr4-049","chr4",46000001,47000000,"chr4-049",0.002,-0.053,-0.012,-0.006,-0.005
"chr4-050","chr4",47000001,48000000,"chr4-050",-0.048,-0.029,-0.09,-0.078,-0.002
"chr4-051","chr4",48000001,49000000,"chr4-051",-0.022,0.011,-0.004,-0.008,0.071
"chr4-052","chr4",49000001,49338941,"chr4-052",0.028,-0.061,0.112,-0.012,0.043
"chr4-053","chr4",49488942,49660117,"chr4-053",-0.027,0.119,0.157,0.123,0.119
"chr4-054","chr4",52660118,53000000,"chr4-054",-0.047,-0.004,-0.046,-0.072,-0.02
"chr4-055","chr4",53000001,54000000,"chr4-055",-0.01,-0.003,-0.008,-0.04,-0.021
"chr4-056","chr4",54000001,55000000,"chr4-056",-0.002,0.021,-0.005,-0.028,0.009
"chr4-057","chr4",55000001,56000000,"chr4-057",-0.017,-0.024,-0.034,-0.035,-0.037
"chr4-058","chr4",56000001,57000000,"chr4-058",-0.008,0.064,0.053,0.052,0.091
"chr4-059","chr4",57000001,58000000,"chr4-059",0.015,0.015,0.04,0.049,0.083
"chr4-060","chr4",58000001,59000000,"chr4-060",-0.093,-0.011,-0.087,-0.019,0.032
"chr4-061","chr4",59000001,59739333,"chr4-061",-0.074,-0.076,-0.127,-0.087,-0.079
"chr4-062","chr4",59789334,60000000,"chr4-062",0.091,0.152,0.117,0.12,0.147
"chr4-063","chr4",60000001,61000000,"chr4-063",-0.215,-0.11,-0.387,-0.294,-0.366
"chr4-064","chr4",61000001,62000000,"chr4-064",-0.242,-0.137,-0.348,-0.207,-0.152
"chr4-065","chr4",62000001,63000000,"chr4-065",-0.038,0.009,-0.054,-0.087,-0.047
"chr4-066","chr4",63000001,64000000,"chr4-066",-0.158,-0.002,-0.213,-0.208,-0.147
"chr4-067","chr4",64000001,65000000,"chr4-067",-0.151,-0.044,-0.167,-0.131,-0.167
"chr4-068","chr4",65000001,66000000,"chr4-068",-0.116,-0.081,-0.239,-0.181,-0.088
"chr4-069","chr4",66000001,67000000,"chr4-069",-0.03,-0.075,-0.096,-0.069,-0.064
"chr4-070","chr4",67000001,68000000,"chr4-070",-0.088,0.038,-0.178,-0.203,-0.103
"chr4-071","chr4",68000001,69000000,"chr4-071",-0.046,0.04,-0.084,-0.048,0.03
"chr4-072","chr4",69000001,70000000,"chr4-072",-0.051,-0.048,-0.115,-0.101,-0.091
"chr4-073","chr4",70000001,71000000,"chr4-073",-0.078,0.007,-0.205,-0.152,-0.102
"chr4-074","chr4",71000001,72000000,"chr4-074",0.025,0.099,0.062,0.071,0.177
"chr4-075","chr4",72000001,73000000,"chr4-075",-0.092,-0.003,-0.184,-0.067,-0.066
"chr4-076","chr4",73000001,74000000,"chr4-076",-0.059,-0.038,-0.162,-0.126,-0.095
"chr4-077","chr4",74000001,75000000,"chr4-077",-0.009,-0.002,-0.072,-0.054,-0.02
"chr4-078","chr4",75000001,75427379,"chr4-078",-0.093,-0.113,-0.104,-0.084,-0.049
"chr4-079","chr4",75452280,76000000,"chr4-079",-0.064,-0.037,-0.086,-0.071,-0.022
"chr4-080","chr4",76000001,77000000,"chr4-080",0.005,-0.002,-0.012,-0.035,-0.008
"chr4-081","chr4",77000001,78000000,"chr4-081",0.027,0.059,0.006,0.037,0.098
"chr4-082","chr4",78000001,79000000,"chr4-082",-0.033,-0.025,-0.052,-0.064,-0.039
"chr4-083","chr4",79000001,80000000,"chr4-083",-0.048,0.029,-0.08,-0.013,0.006
"chr4-084","chr4",80000001,81000000,"chr4-084",-0.02,0.023,-0.065,0.002,0.019
"chr4-085","chr4",81000001,82000000,"chr4-085",-0.018,-0.036,-0.041,-0.075,-0.1
"chr4-086","chr4",82000001,83000000,"chr4-086",-0.049,0.001,-0.089,-0.057,-0.049
"chr4-087","chr4",83000001,84000000,"chr4-087",0.027,0.04,0.078,0.033,0.076
"chr4-088","chr4",84000001,85000000,"chr4-088",0.008,0.057,0.03,0.025,0.035
"chr4-089","chr4",85000001,86000000,"chr4-089",0.003,0.012,0.003,-0.011,0.083
"chr4-090","chr4",86000001,87000000,"chr4-090",-0.042,-0.04,-0.098,-0.047,-0.007
"chr4-091","chr4",87000001,88000000,"chr4-091",-0.034,0.004,-0.017,-0.023,0.012
"chr4-092","chr4",88000001,89000000,"chr4-092",0.018,0.061,-0.02,0.039,0.116
"chr4-093","chr4",89000001,90000000,"chr4-093",0.009,0.034,0.031,-0.003,0.05
"chr4-094","chr4",90000001,91000000,"chr4-094",-0.033,-0.023,-0.05,-0.054,-0.046
"chr4-095","chr4",91000001,92000000,"chr4-095",-0.089,-0.07,-0.129,-0.092,-0.047
"chr4-096","chr4",92000001,93000000,"chr4-096",-0.098,0.006,-0.21,-0.16,-0.068
"chr4-097","chr4",93000001,94000000,"chr4-097",-0.072,-0.11,-0.15,-0.125,-0.171
"chr4-098","chr4",94000001,95000000,"chr4-098",-0.089,-0.001,-0.18,-0.102,-0.087
"chr4-099","chr4",95000001,96000000,"chr4-099",-0.045,0.03,-0.127,-0.02,0.075
"chr4-100","chr4",96000001,97000000,"chr4-100",-0.043,0.02,-0.111,-0.104,-0.098
"chr4-101","chr4",97000001,98000000,"chr4-101",-0.012,0.032,-0.11,-0.067,-0.023
"chr4-102","chr4",98000001,99000000,"chr4-102",0.033,0.05,-0.097,-0.108,-0.038
"chr4-103","chr4",99000001,100000000,"chr4-103",0.011,0.032,0.036,0.026,0.069
"chr4-104","chr4",100000001,101000000,"chr4-104",-0.028,-0.06,-0.076,-0.083,-0.052
"chr4-105","chr4",101000001,102000000,"chr4-105",-0.01,-0.003,-0.078,-0.064,-0.021
"chr4-106","chr4",102000001,103000000,"chr4-106",-0.055,-0.008,-0.166,-0.087,-0.063
"chr4-107","chr4",103000001,104000000,"chr4-107",-0.018,0.007,-0.027,-0.033,-0.018
"chr4-108","chr4",104000001,105000000,"chr4-108",-0.081,-0.035,-0.118,-0.125,-0.09
"chr4-109","chr4",105000001,106000000,"chr4-109",-0.116,-0.013,-0.124,-0.06,-0.041
"chr4-110","chr4",106000001,107000000,"chr4-110",-0.022,-0.008,-0.048,-0.062,-0.041
"chr4-111","chr4",107000001,108000000,"chr4-111",-0.118,-0.073,-0.196,-0.173,-0.095
"chr4-112","chr4",108000001,109000000,"chr4-112",-0.044,-0.022,-0.02,-0.036,-0.021
"chr4-113","chr4",109000001,110000000,"chr4-113",-0.059,-0.03,-0.099,-0.082,-0.044
"chr4-114","chr4",110000001,111000000,"chr4-114",-0.033,-0.025,-0.043,-0.07,-0.035
"chr4-115","chr4",111000001,112000000,"chr4-115",-0.031,-0.044,-0.072,-0.07,-0.033
"chr4-116","chr4",112000001,113000000,"chr4-116",-0.101,-0.016,-0.265,-0.091,-0.021
"chr4-117","chr4",113000001,114000000,"chr4-117",-0.011,0.004,-0.027,-0.042,0.011
"chr4-118","chr4",114000001,115000000,"chr4-118",-0.031,-0.014,-0.086,-0.064,-0.064
"chr4-119","chr4",115000001,116000000,"chr4-119",-0.056,-0.053,-0.097,-0.136,-0.169
"chr4-120","chr4",116000001,117000000,"chr4-120",-0.086,-0.114,-0.415,-0.351,-0.154
"chr4-121","chr4",117000001,118000000,"chr4-121",-0.108,-0.163,-0.217,-0.197,-0.232
"chr4-122","chr4",118000001,119000000,"chr4-122",-0.14,-0.121,-0.236,-0.232,-0.185
"chr4-123","chr4",119000001,120000000,"chr4-123",-0.038,-0.001,-0.093,-0.045,-0.017
"chr4-124","chr4",120000001,121000000,"chr4-124",-0.044,-0.004,-0.08,-0.069,-0.043
"chr4-125","chr4",121000001,122000000,"chr4-125",0.03,-0.004,-0.035,-0.008,0.023
"chr4-126","chr4",122000001,123000000,"chr4-126",-0.042,-0.036,-0.069,-0.073,-0.092
"chr4-127","chr4",123000001,124000000,"chr4-127",-0.035,-0.011,-0.065,-0.071,-0.009
"chr4-128","chr4",124000001,125000000,"chr4-128",-0.016,0.013,-0.024,0.006,0.052
"chr4-129","chr4",125000001,126000000,"chr4-129",-0.108,-0.039,-0.159,-0.131,-0.078
"chr4-130","chr4",126000001,127000000,"chr4-130",-0.081,-0.061,-0.17,-0.202,-0.226
"chr4-131","chr4",127000001,128000000,"chr4-131",0.006,0.047,-0.044,-0.052,0.013
"chr4-132","chr4",128000001,129000000,"chr4-132",0.026,0.029,0.093,-0.005,0.047
"chr4-133","chr4",129000001,130000000,"chr4-133",0.016,0.074,0.059,0.111,0.13
"chr4-134","chr4",130000001,131000000,"chr4-134",-0.108,-0.027,-0.168,-0.144,-0.174
"chr4-135","chr4",131000001,132000000,"chr4-135",-0.159,-0.024,-0.235,-0.155,-0.115
"chr4-136","chr4",132000001,133000000,"chr4-136",0.015,-0.065,-0.006,-0.078,-0.16
"chr4-137","chr4",133000001,134000000,"chr4-137",0.078,0.031,-0.074,-0.034,0.143
"chr4-138","chr4",134000001,135000000,"chr4-138",-0.146,-0.179,-0.216,-0.318,-0.344
"chr4-139","chr4",135000001,136000000,"chr4-139",-0.052,-0.042,-0.185,-0.112,-0.108
"chr4-140","chr4",136000001,137000000,"chr4-140",-0.112,-0.039,-0.137,-0.241,-0.084
"chr4-141","chr4",137000001,138000000,"chr4-141",-0.067,0.055,-0.178,-0.044,-0.029
"chr4-142","chr4",138000001,139000000,"chr4-142",-0.137,-0.083,-0.245,-0.17,-0.177
"chr4-143","chr4",139000001,140000000,"chr4-143",-0.054,0.009,-0.071,-0.023,0.022
"chr4-144","chr4",140000001,141000000,"chr4-144",0.024,0.022,0.007,0.02,0.088
"chr4-145","chr4",141000001,142000000,"chr4-145",-0.024,-0.008,-0.039,-0.066,-0.035
"chr4-146","chr4",142000001,143000000,"chr4-146",-0.036,-0.043,-0.109,-0.151,-0.137
"chr4-147","chr4",143000001,144000000,"chr4-147",-0.046,-0.027,-0.086,-0.064,-0.134
"chr4-148","chr4",144000001,145000000,"chr4-148",-0.004,0.025,-0.021,-0.033,0.023
"chr4-149","chr4",145000001,146000000,"chr4-149",-0.042,0.012,-0.034,-0.015,-0.019
"chr4-150","chr4",146000001,147000000,"chr4-150",-0.003,0.041,-0.037,0.008,0.046
"chr4-151","chr4",147000001,148000000,"chr4-151",-0.04,-0.012,-0.09,-0.085,-0.089
"chr4-152","chr4",148000001,149000000,"chr4-152",0.029,0.031,-0.007,0.038,0.089
"chr4-153","chr4",149000001,150000000,"chr4-153",-0.02,-0.03,-0.074,-0.063,-0.094
"chr4-154","chr4",150000001,151000000,"chr4-154",-0.089,0.026,-0.045,-0.053,0.04
"chr4-155","chr4",151000001,152000000,"chr4-155",-0.013,0.053,-0.001,0.033,0.098
"chr4-156","chr4",152000001,153000000,"chr4-156",-0.011,0.002,-0.035,-0.008,-0.003
"chr4-157","chr4",153000001,154000000,"chr4-157",0.016,0.046,-0.013,0.016,0.04
"chr4-158","chr4",154000001,155000000,"chr4-158",0.002,0.004,0.026,0.031,0.02
"chr4-159","chr4",155000001,156000000,"chr4-159",-0.097,-0.071,-0.126,-0.119,-0.114
"chr4-160","chr4",156000001,157000000,"chr4-160",-0.049,-0.05,-0.109,-0.127,-0.064
"chr4-161","chr4",157000001,158000000,"chr4-161",-0.091,-0.016,-0.126,-0.117,-0.079
"chr4-162","chr4",158000001,159000000,"chr4-162",-0.04,-0.025,-0.105,-0.149,-0.046
"chr4-163","chr4",159000001,160000000,"chr4-163",0.013,0.009,0.01,0.012,0.03
"chr4-164","chr4",160000001,161000000,"chr4-164",-0.024,0.079,-0.013,0.04,0.114
"chr4-165","chr4",161000001,162000000,"chr4-165",-0.104,-0.024,-0.246,-0.295,-0.208
"chr4-166","chr4",162000001,163000000,"chr4-166",-0.07,-0.049,-0.314,-0.12,0.013
"chr4-167","chr4",163000001,164000000,"chr4-167",-0.059,-0.076,-0.112,-0.117,-0.151
"chr4-168","chr4",164000001,165000000,"chr4-168",-0.083,-0.026,-0.086,-0.107,-0.033
"chr4-169","chr4",165000001,166000000,"chr4-169",0.002,-0.024,-0.048,-0.051,0.003
"chr4-170","chr4",166000001,167000000,"chr4-170",-0.04,-0.002,-0.088,-0.078,-0.007
"chr4-171","chr4",167000001,168000000,"chr4-171",-0.19,-0.059,-0.267,-0.221,-0.144
"chr4-172","chr4",168000001,169000000,"chr4-172",-0.11,-0.11,-0.183,-0.299,-0.285
"chr4-173","chr4",169000001,170000000,"chr4-173",-0.027,0.011,-0.047,-0.034,0.038
"chr4-174","chr4",170000001,171000000,"chr4-174",-0.019,-0.013,-0.034,-0.044,0.017
"chr4-175","chr4",171000001,172000000,"chr4-175",0.01,0.058,0.019,-0.016,0.039
"chr4-176","chr4",172000001,173000000,"chr4-176",-0.023,-0.078,-0.145,-0.175,-0.132
"chr4-177","chr4",173000001,174000000,"chr4-177",-0.122,-0.013,-0.153,-0.08,-0.031
"chr4-178","chr4",174000001,175000000,"chr4-178",-0.017,-0.058,-0.019,-0.119,-0.087
"chr4-179","chr4",175000001,176000000,"chr4-179",-0.082,-0.063,-0.139,-0.159,-0.132
"chr4-180","chr4",176000001,177000000,"chr4-180",-0.017,0.005,-0.02,-0.028,0.028
"chr4-181","chr4",177000001,178000000,"chr4-181",-0.096,-0.004,-0.113,-0.107,-0.078
"chr4-182","chr4",178000001,179000000,"chr4-182",-0.056,-0.004,-0.073,-0.044,0.007
"chr4-183","chr4",179000001,180000000,"chr4-183",-0.03,-0.056,-0.256,-0.145,-0.299
