"","Chromosome","Start","End","Feature","205122170045_R04C01","205122170071_R01C01","205125590021_R02C01","205125590067_R07C01","205125590068_R01C01","205128000076_R07C01","205240110063_R01C01","205243940036_R02C01","205243940046_R04C01","205243940058_R04C01","205243940065_R07C01","205243940107_R05C01","205289430139_R07C01"
"chr3-043","chr3",42000001,43000000,"chr3-043",0.002,0.014,-0.081,0.134,0.104,0.079,0.071,-0.057,-0.368,0.083,0.106,0.081,-0.057
"chr3-044","chr3",43000001,44000000,"chr3-044",0.083,0.036,-0.038,0.176,0.171,0.107,0.064,0.005,-0.375,0.14,0.148,0.174,0.017
"chr3-045","chr3",44000001,45000000,"chr3-045",0.054,0.035,-0.046,0.194,0.155,0.105,0.114,-0.034,-0.387,0.107,0.19,0.125,-0.006
"chr3-046","chr3",45000001,46000000,"chr3-046",0.073,0.024,-0.047,0.165,0.145,0.098,0.051,-0.02,-0.371,0.114,0.1,0.142,-0.019
"chr3-047","chr3",46000001,47000000,"chr3-047",0.038,-0.016,-0.071,0.133,0.103,0.076,0.012,-0.04,-0.379,0.097,0.093,0.106,-0.033
"chr3-048","chr3",47000001,48000000,"chr3-048",-0.116,-0.049,-0.149,0.048,0.027,0.007,0.091,-0.119,-0.424,-0.002,0.043,-0.042,-0.11
"chr3-049","chr3",48000001,49000000,"chr3-049",-0.084,-0.044,-0.115,0.083,0.051,-0.007,0.091,-0.111,-0.386,-0.007,0.088,0.01,-0.068
"chr3-050","chr3",49000001,50000000,"chr3-050",-0.062,-0.002,-0.096,0.086,0.061,-0.019,0.103,-0.081,-0.348,-0.023,0.132,0.011,-0.035
"chr3-051","chr3",50000001,51000000,"chr3-051",-0.022,0.017,-0.095,0.116,0.089,-0.005,0.131,-0.078,-0.345,0.013,0.172,0.053,-0.02
"chr3-052","chr3",51000001,52000000,"chr3-052",-0.036,-0.011,-0.109,0.103,0.062,0.024,0.074,-0.077,-0.359,0.032,0.101,0.048,-0.02
"chr3-053","chr3",52000001,53000000,"chr3-053",-0.022,0,-0.077,0.104,0.065,0.012,0.113,-0.067,-0.34,0.023,0.13,0.037,-0.023
"chr3-054","chr3",53000001,54000000,"chr3-054",0,0.01,-0.072,0.099,0.079,0.061,0.068,-0.053,-0.383,0.068,0.11,0.08,-0.049
"chr3-055","chr3",54000001,55000000,"chr3-055",0.092,-0.019,-0.024,0.161,0.162,0.137,0.042,-0.019,-0.365,0.135,0.069,0.173,-0.032
"chr3-056","chr3",55000001,56000000,"chr3-056",0.092,0.016,-0.006,0.186,0.167,0.164,0.083,0.005,-0.39,0.136,0.125,0.191,-0.002
"chr3-057","chr3",56000001,57000000,"chr3-057",0.017,-0.029,-0.061,0.135,0.114,0.128,0.023,-0.027,-0.418,0.11,0.041,0.11,-0.047
"chr3-058","chr3",57000001,58000000,"chr3-058",-0.023,0.034,-0.09,0.126,0.126,0.085,0.062,-0.064,-0.444,0.079,0.103,0.05,-0.088
"chr3-059","chr3",58000001,59000000,"chr3-059",0.022,0.019,-0.067,0.13,0.118,0.077,0.07,-0.051,-0.39,0.076,0.075,0.094,-0.041
"chr3-060","chr3",59000001,60000000,"chr3-060",0.172,0.07,0.032,0.263,0.234,0.195,0.118,0.053,-0.341,0.177,0.172,0.259,0.064
"chr3-061","chr3",60000001,61000000,"chr3-061",0.184,0.028,0.083,0.222,0.183,0.252,0.132,0.08,-0.347,0.228,0.129,0.239,0.045
"chr3-062","chr3",61000001,62000000,"chr3-062",0.1,0.057,-0.037,0.18,0.168,0.145,0.065,-0.016,-0.363,0.162,0.079,0.129,-0.057
"chr3-063","chr3",62000001,63000000,"chr3-063",0.145,0.047,0.002,0.226,0.199,0.18,0.045,0.041,-0.405,0.211,0.212,0.207,0.065
"chr3-064","chr3",63000001,64000000,"chr3-064",0.099,-0.005,-0.083,0.164,0.167,0.147,0.043,-0.026,-0.454,0.169,0.133,0.161,-0.039
"chr3-065","chr3",64000001,65000000,"chr3-065",0.129,0.094,-0.02,0.202,0.179,0.15,0.102,0.022,-0.392,0.15,0.185,0.18,-0.005
"chr3-066","chr3",65000001,66000000,"chr3-066",0.063,0.012,-0.036,0.142,0.105,0.141,0.065,-0.021,-0.422,0.151,0.04,0.115,-0.061
"chr3-067","chr3",66000001,66170270,"chr3-067",-0.007,0.01,-0.024,0.205,0.14,0.138,0.071,-0.033,-0.354,0.101,0.168,0.07,-0.017
"chr3-068","chr3",66270271,67000000,"chr3-068",0.077,0.106,0.01,0.153,0.129,0.13,0.116,0.018,-0.324,0.149,0.119,0.175,0.051
"chr3-069","chr3",67000001,68000000,"chr3-069",0.119,0.043,0.01,0.208,0.196,0.189,0.079,0.031,-0.392,0.185,0.144,0.208,0.016
"chr3-070","chr3",68000001,69000000,"chr3-070",0.141,-0.007,-0.076,0.261,0.223,0.262,0.01,0.014,-0.409,0.208,0.177,0.214,-0.023
"chr3-071","chr3",69000001,70000000,"chr3-071",0.079,0.087,-0.038,0.21,0.194,0.151,0.041,0.018,-0.409,0.143,0.217,0.18,0.034
"chr3-072","chr3",70000001,71000000,"chr3-072",0.14,0.102,0.067,0.219,0.16,0.211,0.138,0.105,-0.409,0.239,0.223,0.234,0.146
"chr3-073","chr3",71000001,72000000,"chr3-073",0.127,0.068,0.02,0.226,0.182,0.159,0.1,0.036,-0.389,0.178,0.199,0.196,0.027
"chr3-074","chr3",72000001,73000000,"chr3-074",0.084,0.01,-0.005,0.183,0.16,0.132,0.092,-0.004,-0.347,0.141,0.148,0.146,-0.026
"chr3-075","chr3",73000001,74000000,"chr3-075",0.123,0.048,-0.034,0.189,0.178,0.144,0.065,0.019,-0.378,0.165,0.167,0.171,-0.021
"chr3-076","chr3",74000001,75000000,"chr3-076",0.161,0.042,0.04,0.207,0.264,0.194,-0.085,0.082,-0.429,0.218,0.205,0.208,0.083
"chr3-077","chr3",75000001,76000000,"chr3-077",0.142,0.007,0.012,0.146,0.049,0.129,-0.019,-0.004,-0.243,0.195,0.17,0.174,-0.011
"chr3-078","chr3",76000001,77000000,"chr3-078",0.244,0.189,0.056,0.266,0.239,0.279,-0.041,0.159,-0.436,0.322,0.257,0.289,0.11
"chr3-079","chr3",77000001,78000000,"chr3-079",0.216,0.112,0.031,0.248,0.261,0.255,0.016,0.106,-0.42,0.282,0.259,0.288,0.11
"chr3-080","chr3",78000001,79000000,"chr3-080",0.184,0.082,0.095,0.224,0.229,0.247,0.153,0.122,-0.383,0.309,0.229,0.279,0.105
"chr3-081","chr3",79000001,80000000,"chr3-081",0.143,0.106,0.01,0.194,0.183,0.185,0.123,0.042,-0.356,0.203,0.266,0.221,0.057
"chr3-082","chr3",80000001,81000000,"chr3-082",0.222,0.045,0.227,0.223,0.242,0.316,0.068,0.078,-0.261,0.33,0.29,0.332,0.025
"chr3-083","chr3",81000001,82000000,"chr3-083",0.144,0.046,0.037,0.211,0.197,0.226,0.013,0.085,-0.389,0.257,0.228,0.247,0.047
"chr3-084","chr3",82000001,84000000,"chr3-084",0.136,-0.018,0.006,0.211,0.154,0.183,-0.201,0.075,-0.428,0.21,0.138,0.208,0.043
"chr3-085","chr3",84000001,85000000,"chr3-085",0.194,-0.041,0.059,0.231,0.215,0.252,-0.295,0.119,-0.452,0.246,0.178,0.279,0.082
"chr3-086","chr3",85000001,86000000,"chr3-086",0.225,0.019,0.186,0.275,0.225,0.303,-0.113,0.059,-0.443,0.248,0.272,0.227,0.019
"chr3-087","chr3",86000001,87000000,"chr3-087",0.227,0.075,0.313,0.253,0.156,0.277,0.08,0.125,0.065,0.313,0.181,0.229,0.126
"chr3-088","chr3",87000001,88000000,"chr3-088",0.128,0.046,0.137,0.222,0.215,0.19,0.162,0.046,0.048,0.182,0.233,0.238,0.026
"chr3-089","chr3",88000001,89000000,"chr3-089",0.091,0.106,0.163,0.217,0.193,0.151,0.232,0.026,0.016,0.161,0.294,0.219,0.038
"chr3-090","chr3",89000001,90000000,"chr3-090",0.176,0.182,0.166,0.292,0.26,0.218,0.082,0.104,0.074,0.22,0.272,0.261,0.091
"chr3-091","chr3",90000001,90504854,"chr3-091",0.153,-0.04,0.139,0.164,0.15,0.28,-0.104,0.162,0.063,0.27,0.111,0.264,0.006
"chr3-092","chr3",93504855,94000000,"chr3-092",0.081,-0.161,0.253,0.169,0.178,0.141,0.195,-0.022,0.009,0.07,0.162,0.068,-0.054
"chr3-093","chr3",94000001,95000000,"chr3-093",0.163,-0.167,0.325,0.083,0.091,0.267,0.23,0.123,0.019,0.147,0.138,0.187,0.138
"chr3-094","chr3",95000001,96000000,"chr3-094",0.244,-0.17,0.47,0.221,0.183,0.27,0.277,0.188,0.145,0.256,0.243,0.222,0.194
"chr3-095","chr3",96000001,97000000,"chr3-095",0.091,-0.077,0.168,0.179,0.169,0.204,-0.093,0.019,0.036,0.105,0.313,0.104,0.109
"chr3-096","chr3",97000001,98000000,"chr3-096",0.196,-0.115,0.165,0.236,0.201,0.223,-0.086,0.081,0.079,0.199,0.306,0.199,0.072
"chr3-097","chr3",98000001,99000000,"chr3-097",0.068,-0.197,0.109,0.164,0.137,-0.052,-0.01,-0.031,0.006,0.105,0.2,0.084,0.034
"chr3-098","chr3",99000001,100000000,"chr3-098",0.155,-0.14,0.24,0.254,0.2,0.033,0.067,0.071,0.091,0.185,0.291,0.191,0.056
"chr3-099","chr3",100000001,101000000,"chr3-099",0.088,-0.109,0.148,0.2,0.141,-0.034,0.04,0.015,0.045,0.098,0.23,0.111,0.041
"chr3-100","chr3",101000001,102000000,"chr3-100",0.064,-0.141,0.145,0.181,0.143,-0.061,0.077,-0.038,0.031,0.1,0.25,0.058,-0.032
"chr3-101","chr3",102000001,103000000,"chr3-101",0.198,-0.188,0.309,0.203,0.259,0.085,0.082,0.139,0.051,0.185,0.242,0.242,0.131
"chr3-102","chr3",103000001,104000000,"chr3-102",0.179,-0.023,0.257,0.19,0.191,0.048,0.049,0.143,0.078,0.196,0.237,0.251,0.125
"chr3-103","chr3",104000001,105000000,"chr3-103",0.183,-0.283,0.281,0.179,0.223,0.051,0.036,0.136,0.063,0.18,0.203,0.176,0.095
"chr3-104","chr3",105000001,106000000,"chr3-104",0.156,-0.113,0.223,0.225,0.216,0.016,0.094,0.073,0.072,0.162,0.291,0.162,0.071
"chr3-105","chr3",106000001,107000000,"chr3-105",0.159,-0.122,0.211,0.219,0.217,-0.026,0.093,0.108,0.071,0.137,0.197,0.168,0.129
"chr3-106","chr3",107000001,108000000,"chr3-106",0.151,-0.079,0.204,0.224,0.181,0.012,0.116,0.039,0.052,0.149,0.045,0.195,0.074
"chr3-107","chr3",108000001,109000000,"chr3-107",0.128,-0.147,0.215,0.19,0.191,0.003,0.012,0.05,0.049,0.131,-0.074,0.157,0.034
"chr3-108","chr3",109000001,110000000,"chr3-108",-0.025,-0.307,0.084,0.012,0.004,-0.074,-0.073,-0.135,-0.003,0.093,-0.273,-0.056,-0.18
"chr3-109","chr3",110000001,111000000,"chr3-109",0.167,-0.173,0.194,0.177,0.158,0.037,0.029,0.086,0.057,0.156,-0.044,0.132,0.109
"chr3-110","chr3",111000001,112000000,"chr3-110",0.146,-0.155,0.187,0.22,0.211,-0.008,0.025,0.022,0.066,0.129,-0.003,0.199,0.048
"chr3-111","chr3",112000001,113000000,"chr3-111",0.116,-0.124,0.167,0.186,0.158,-0.026,0.007,0.024,0.043,0.124,0.01,0.136,0.017
"chr3-112","chr3",113000001,114000000,"chr3-112",0.062,-0.15,0.105,0.141,0.116,-0.03,0.022,-0.023,0.019,0.073,-0.093,0.072,-0.005
"chr3-113","chr3",114000001,115000000,"chr3-113",0.142,-0.101,0.199,0.209,0.19,0.006,0.089,0.076,0.064,0.143,0.01,0.176,0.077
"chr3-114","chr3",115000001,116000000,"chr3-114",0.157,-0.177,0.162,0.226,0.186,0.024,0.027,0.041,0.055,0.13,-0.03,0.172,0.022
"chr3-115","chr3",116000001,117000000,"chr3-115",0.12,-0.195,0.171,0.2,0.157,0.039,-0.08,0.033,0.035,0.205,-0.074,0.172,0.017
"chr3-116","chr3",117000001,118000000,"chr3-116",0.159,-0.253,0.175,0.211,0.178,0.058,-0.102,0.056,0.097,0.167,-0.094,0.163,-0.002
"chr3-117","chr3",118000001,119000000,"chr3-117",0.077,-0.103,0.088,0.135,0.129,-0.026,-0.088,0.025,0.034,0.111,-0.067,0.106,0.046
"chr3-118","chr3",119000001,120000000,"chr3-118",0.046,-0.159,0.12,0.165,0.132,-0.071,0.003,-0.032,0.016,0.058,-0.054,0.076,-0.043
"chr3-119","chr3",120000001,121000000,"chr3-119",0.091,-0.098,0.141,0.189,0.155,-0.017,0.013,0.013,0.038,0.096,0.014,0.11,0.032
"chr3-120","chr3",121000001,122000000,"chr3-120",0.033,-0.252,0.107,0.13,0.111,-0.047,-0.103,-0.017,0.011,0.074,-0.172,0.054,-0.057
"chr3-121","chr3",122000001,123000000,"chr3-121",0.03,-0.164,0.064,0.132,0.103,-0.106,-0.026,-0.064,0.002,0.018,-0.057,0.045,-0.051
"chr3-122","chr3",123000001,124000000,"chr3-122",0.054,-0.105,0.096,0.168,0.115,-0.096,-0.002,-0.026,0.008,0.048,-0.02,0.088,-0.017
"chr3-123","chr3",124000001,125000000,"chr3-123",-0.019,-0.182,0.063,0.079,0.065,-0.103,0.015,-0.061,-0.023,0.003,-0.159,0.123,-0.065
"chr3-124","chr3",125000001,126000000,"chr3-124",-0.011,-0.114,0.036,0.083,0.043,-0.099,-0.016,-0.076,-0.035,0.018,-0.05,0.015,-0.05
"chr3-125","chr3",126000001,127000000,"chr3-125",-0.008,-0.141,0.024,0.074,0.06,-0.116,-0.027,-0.026,-0.035,-0.007,-0.064,0.033,0.02
"chr3-126","chr3",127000001,128000000,"chr3-126",-0.036,-0.157,0.034,0.062,0.038,-0.137,-0.03,-0.065,-0.035,-0.024,-0.112,-0.011,-0.028
"chr3-127","chr3",128000001,129000000,"chr3-127",-0.077,-0.169,0.004,0.04,0.019,-0.151,-0.013,-0.093,-0.053,-0.066,-0.126,-0.088,-0.061
"chr3-128","chr3",129000001,130000000,"chr3-128",-0.018,-0.159,0.042,0.068,0.036,-0.124,0.007,-0.069,-0.047,-0.006,-0.082,-0.023,-0.051
"chr3-129","chr3",130000001,131000000,"chr3-129",0.1,-0.115,0.144,0.188,0.147,0.001,0.019,0.038,0.023,0.109,0.013,0.14,0.07
"chr3-130","chr3",131000001,132000000,"chr3-130",0.07,-0.164,0.13,0.18,0.139,-0.01,-0.033,0.017,0.025,0.102,-0.037,0.132,0.018
"chr3-131","chr3",132000001,133000000,"chr3-131",0.127,-0.158,0.155,0.188,0.17,-0.019,0.021,-0.024,0.033,0.093,0.019,0.104,0.017
"chr3-132","chr3",133000001,134000000,"chr3-132",0.028,-0.166,0.074,0.112,0.098,-0.089,-0.015,-0.042,0.004,0.033,-0.076,0.035,-0.008
"chr3-133","chr3",134000001,135000000,"chr3-133",0.052,-0.088,0.096,0.158,0.13,-0.085,0.005,-0.018,0.013,0.033,0.004,0.095,0.021
"chr3-134","chr3",135000001,136000000,"chr3-134",-0.007,-0.18,0.031,0.096,0.104,-0.09,-0.029,-0.047,-0.001,0.019,-0.098,0.011,-0.009
"chr3-135","chr3",136000001,137000000,"chr3-135",-0.02,-0.229,0.069,0.099,0.061,-0.086,-0.024,-0.063,-0.035,0.042,-0.174,0,-0.084
"chr3-136","chr3",137000001,138000000,"chr3-136",0.098,-0.147,0.091,0.191,0.161,-0.022,-0.028,0,0.032,0.103,0.013,0.102,0.033
"chr3-137","chr3",138000001,139000000,"chr3-137",-0.058,-0.195,-0.038,0.041,0.037,-0.165,-0.075,-0.109,-0.074,-0.064,-0.143,-0.101,-0.085
"chr3-138","chr3",139000001,140000000,"chr3-138",0.099,-0.15,0.108,0.193,0.14,-0.038,-0.096,-0.023,0.032,0.084,-0.042,0.141,0
"chr3-139","chr3",140000001,141000000,"chr3-139",0.097,-0.073,0.089,0.165,0.145,-0.061,-0.104,0.021,0.039,0.065,0.019,0.119,0.066
"chr3-140","chr3",141000001,142000000,"chr3-140",0.01,-0.159,0.056,0.102,0.101,-0.091,0.041,-0.044,-0.02,0.031,-0.094,0.021,-0.034
"chr3-141","chr3",142000001,143000000,"chr3-141",0.011,-0.102,0.062,0.104,0.117,-0.07,0.027,0.004,0.001,0.048,-0.027,0.037,0.037
"chr3-142","chr3",143000001,144000000,"chr3-142",0.142,-0.118,0.152,0.193,0.197,-0.02,0.013,0.046,0.071,0.143,0.029,0.163,0.067
"chr3-143","chr3",144000001,145000000,"chr3-143",0.187,-0.1,0.28,0.24,0.139,0.077,-0.027,0.087,0.096,0.195,0.089,0.185,0.082
"chr3-144","chr3",145000001,146000000,"chr3-144",0.217,-0.048,0.223,0.276,0.234,0.053,0.118,0.081,0.147,0.222,0.22,0.232,0.148
"chr3-145","chr3",146000001,147000000,"chr3-145",0.092,-0.18,0.172,0.179,0.145,-0.006,0.07,0.051,0.046,0.15,0.016,0.122,0.055
"chr3-146","chr3",147000001,148000000,"chr3-146",0.154,-0.09,0.181,0.212,0.193,0.06,0.03,0.091,0.115,0.212,0.082,0.184,0.103
"chr3-147","chr3",148000001,149000000,"chr3-147",0.069,-0.118,0.143,0.129,0.129,-0.036,0.043,0.026,0.047,0.086,-0.053,0.065,0.02
"chr3-148","chr3",149000001,150000000,"chr3-148",0.042,-0.184,0.102,0.144,0.121,-0.075,0.024,-0.018,0.025,0.082,-0.083,0.064,-0.004
"chr3-149","chr3",150000001,151000000,"chr3-149",0.044,-0.172,0.11,0.149,0.128,-0.052,-0.009,-0.029,0.017,0.085,-0.109,0.05,-0.022
"chr3-150","chr3",151000001,152000000,"chr3-150",0.128,-0.189,0.163,0.152,0.145,-0.017,0.057,0.036,0.05,0.134,-0.064,0.14,0.011
"chr3-151","chr3",152000001,153000000,"chr3-151",0.114,-0.137,0.189,0.178,0.195,-0.038,0.038,0.006,0.034,0.146,0.011,0.14,0.03
"chr3-152","chr3",153000001,154000000,"chr3-152",0.142,-0.209,0.179,0.148,0.147,0.001,-0.041,0.025,0.026,0.172,-0.091,0.121,0.028
"chr3-153","chr3",154000001,155000000,"chr3-153",0.094,-0.179,0.144,0.138,0.114,-0.025,0.045,-0.006,0.033,0.111,-0.039,0.099,-0.009
"chr3-154","chr3",155000001,156000000,"chr3-154",0.035,-0.244,0.079,0.085,0.09,-0.052,-0.04,-0.024,0.002,0.047,-0.191,0.04,-0.028
"chr3-155","chr3",156000001,157000000,"chr3-155",0.117,-0.099,0.143,0.204,0.174,-0.014,0.067,0.021,0.054,0.093,0.005,0.13,0.053
"chr3-156","chr3",157000001,158000000,"chr3-156",0.107,-0.059,0.148,0.184,0.161,-0.006,0.046,0.054,0.051,0.123,-0.005,0.122,0.053
"chr3-157","chr3",158000001,159000000,"chr3-157",0.059,-0.151,0.107,0.15,0.125,-0.037,0.024,-0.018,0.03,0.103,-0.046,0.093,0.038
"chr3-158","chr3",159000001,160000000,"chr3-158",0.064,-0.16,0.065,0.148,0.146,-0.076,-0.034,-0.032,0.01,0.058,-0.045,0.058,-0.003
"chr3-159","chr3",160000001,161000000,"chr3-159",0.066,-0.102,0.135,0.17,0.154,-0.086,0.077,0.022,0.025,0.062,0.051,0.087,0.08
"chr3-160","chr3",161000001,162000000,"chr3-160",0.206,-0.13,0.156,0.233,0.225,0.043,0.027,0.054,0.041,0.135,0.085,0.201,0.084
"chr3-161","chr3",162000001,163000000,"chr3-161",0.205,-0.234,0.286,0.267,0.288,0.121,0.014,0.044,-0.01,0.29,0.087,0.254,0.041
"chr3-162","chr3",163000001,164000000,"chr3-162",0.049,-0.113,0.078,0.146,0.104,-0.05,-0.008,0.055,0.006,0.072,0.029,0.091,0.051
"chr3-163","chr3",164000001,165000000,"chr3-163",0.133,-0.138,0.224,0.185,0.152,-0.022,0.103,0.051,0.01,0.11,0.243,0.12,0.075
"chr3-164","chr3",165000001,166000000,"chr3-164",0.217,-0.105,0.231,0.111,0.158,0.069,0.228,0.151,0.067,0.192,0.252,0.209,0.23
"chr3-165","chr3",166000001,167000000,"chr3-165",0.14,-0.202,0.218,0.171,0.156,-0.006,-0.024,0.116,0.06,0.13,0.236,0.123,0.088
"chr3-166","chr3",167000001,168000000,"chr3-166",0.184,-0.112,0.174,0.242,0.234,0.063,0.036,0.08,0.052,0.162,0.333,0.196,0.085
"chr3-167","chr3",168000001,169000000,"chr3-167",0.187,-0.129,0.224,0.241,0.245,0.059,0.044,0.096,0.074,0.201,0.317,0.193,0.081
"chr3-168","chr3",169000001,170000000,"chr3-168",-0.009,-0.156,0.036,0.106,0.112,-0.09,-0.034,-0.063,-0.031,0.007,0.129,-0.027,-0.08
"chr3-169","chr3",170000001,171000000,"chr3-169",0.056,-0.218,0.115,0.127,0.124,-0.042,-0.001,-0.024,-0.003,0.059,0.124,0.065,-0.007
"chr3-170","chr3",171000001,172000000,"chr3-170",0.054,-0.17,0.131,0.134,0.121,-0.048,0.063,-0.015,0.021,0.074,0.118,0.034,-0.039
"chr3-171","chr3",172000001,173000000,"chr3-171",0.102,-0.245,0.113,0.182,0.157,-0.016,-0.017,0.001,0.037,0.108,0.184,0.095,0.002
"chr3-172","chr3",173000001,174000000,"chr3-172",0.209,-0.064,0.137,0.33,0.247,0.081,-0.036,0.079,0.057,0.179,0.363,0.183,0.071
"chr3-173","chr3",174000001,175000000,"chr3-173",0.195,-0.145,0.242,0.232,0.211,0.071,0.083,0.121,0.096,0.165,0.317,0.211,0.147
"chr3-174","chr3",175000001,176000000,"chr3-174",0.081,-0.138,0.164,0.155,0.131,0.005,0.033,0.101,0.057,0.143,0.177,0.125,0.106
"chr3-175","chr3",176000001,177000000,"chr3-175",-0.186,-0.217,0.129,-0.035,-0.082,-0.367,0.038,0.012,0.019,-0.106,-0.098,-0.225,-0.017
"chr3-176","chr3",177000001,178000000,"chr3-176",-0.07,-0.149,0.193,0.062,-0.031,-0.251,0.056,0.08,0.065,0.002,-0.057,-0.1,0.028
"chr3-177","chr3",178000001,179000000,"chr3-177",0.087,-0.207,0.121,0.173,0.15,-0.039,0.015,-0.006,0.019,0.095,0.159,0.076,-0.01
"chr3-178","chr3",179000001,180000000,"chr3-178",0.007,-0.184,0.053,0.126,0.105,-0.073,-0.066,-0.05,-0.026,0.026,0.129,-0.017,-0.058
"chr3-179","chr3",180000001,181000000,"chr3-179",0.094,-0.119,0.097,0.184,0.148,-0.036,-0.046,0.019,0.012,0.081,0.228,0.09,0.057
"chr3-180","chr3",181000001,182000000,"chr3-180",0.076,-0.19,0.002,0.166,0.175,-0.012,-0.244,0.011,0.018,0.093,0.206,0.079,-0.035
"chr3-181","chr3",182000001,183000000,"chr3-181",0.009,-0.239,0.025,0.105,0.082,-0.079,-0.122,-0.053,-0.019,0.018,0.089,-0.012,-0.074
"chr3-182","chr3",183000001,184000000,"chr3-182",-0.088,-0.222,-0.007,0.04,0.027,-0.145,-0.063,-0.109,-0.052,-0.061,0.019,-0.082,-0.077
"chr3-183","chr3",184000001,185000000,"chr3-183",-0.049,-0.18,0.014,0.06,0.039,-0.123,-0.034,-0.09,-0.039,-0.029,0.05,-0.057,-0.055
"chr3-184","chr3",185000001,186000000,"chr3-184",-0.024,-0.216,0.034,-0.035,0.068,-0.074,0.093,-0.075,-0.022,0.016,-0.007,-0.005,-0.074
"chr3-185","chr3",186000001,187000000,"chr3-185",-0.063,-0.184,0.036,-0.056,0.04,-0.161,0.155,-0.051,0.03,-0.085,-0.045,-0.057,-0.031
"chr3-186","chr3",187000001,188000000,"chr3-186",-0.387,-0.111,0.111,-0.265,-0.298,-0.916,0.002,-0.002,0.04,-0.331,-0.372,-0.319,0.001
"chr3-187","chr3",188000001,189000000,"chr3-187",-0.407,-0.191,0.151,-0.343,-0.355,-0.973,0.123,0.038,0.066,-0.344,-0.463,-0.343,0.006
"chr3-188","chr3",189000001,190000000,"chr3-188",0.117,-0.18,0.189,0.023,0.176,0.015,0.196,0.056,0.072,0.113,0.161,0.113,0.031
"chr3-189","chr3",190000001,191000000,"chr3-189",0.132,-0.12,0.177,0.002,0.197,0.031,0.198,0.08,0.041,0.137,0.263,0.168,0.096
"chr3-190","chr3",191000001,192000000,"chr3-190",0.129,-0.15,0.146,-0.07,0.155,-0.021,0.161,0.069,0.056,0.127,0.184,0.136,0.083
"chr3-191","chr3",192000001,193000000,"chr3-191",-0.131,-0.204,0.097,-0.061,-0.022,-0.355,0.056,-0.007,0.053,-0.024,-0.085,-0.152,0.015
"chr3-192","chr3",193000001,194000000,"chr3-192",-0.117,-0.187,0.054,-0.056,-0.053,-0.303,0.068,-0.017,0.011,-0.043,-0.062,-0.139,-0.039
"chr3-193","chr3",194000001,194041961,"chr3-193",-0.044,-0.069,-0.011,0.024,0.098,-0.19,0.142,-0.017,-0.035,-0.027,0.174,-0.033,0.015
"chr3-194","chr3",194047252,195000000,"chr3-194",-0.046,-0.198,-0.001,-0.053,0.027,-0.1,0.046,-0.079,-0.042,-0.021,0.02,-0.036,-0.087
"chr3-195","chr3",195000001,196000000,"chr3-195",-0.119,-0.248,-0.019,-0.133,-0.044,-0.143,0.061,-0.131,-0.065,-0.073,-0.065,-0.131,-0.099
"chr3-196","chr3",196000001,197000000,"chr3-196",-0.132,-0.268,-0.032,-0.103,-0.005,-0.158,0.088,-0.148,-0.066,-0.076,-0.048,-0.15,-0.15
"chr3-197","chr3",197000001,197962430,"chr3-197",-0.041,-0.185,0.023,-0.055,0.036,-0.116,0.124,-0.094,-0.03,-0.01,0.057,-0.031,-0.071
"chr4-001","chr4",10001,1000000,"chr4-001",-0.173,-0.123,-0.039,-0.161,-0.212,-0.052,0.034,-0.131,-0.14,-0.09,-0.025,-0.143,-0.083
"chr4-002","chr4",1000001,1423146,"chr4-002",-0.165,-0.129,-0.042,-0.162,-0.215,-0.063,0.023,-0.107,-0.161,-0.095,0.017,-0.133,-0.058
"chr4-003","chr4",1478647,2000000,"chr4-003",-0.188,-0.12,-0.058,-0.179,-0.228,-0.057,0.033,-0.118,-0.151,-0.121,-0.032,-0.166,-0.063
"chr4-004","chr4",2000001,3000000,"chr4-004",-0.132,-0.074,-0.017,-0.112,-0.177,-0.041,0.065,-0.105,-0.115,-0.087,0.013,-0.074,-0.044
"chr4-005","chr4",3000001,4000000,"chr4-005",-0.07,-0.088,0.021,-0.107,-0.151,0.009,0.054,-0.068,-0.101,-0.014,0.012,-0.029,-0.027
"chr4-006","chr4",4000001,5000000,"chr4-006",-0.001,0.006,0.056,-0.023,-0.1,0.05,0.025,-0.026,-0.043,0.025,0.072,0.039,-0.007
"chr4-007","chr4",5000001,6000000,"chr4-007",0.002,-0.029,0.033,-0.015,-0.072,0.033,-0.03,-0.028,-0.052,0.014,0.1,0.057,0.007
"chr4-008","chr4",6000001,7000000,"chr4-008",-0.038,-0.036,0.034,-0.037,-0.093,0.033,0.026,-0.046,-0.06,0.001,0.054,0.007,-0.022
"chr4-009","chr4",7000001,8000000,"chr4-009",-0.025,-0.03,0.046,-0.033,-0.099,0.042,0.03,-0.028,-0.042,0.006,0.05,0.031,-0.009
"chr4-010","chr4",8000001,8799203,"chr4-010",-0.037,-0.056,0.039,-0.036,-0.107,0.033,0.024,-0.049,-0.065,0.003,0.061,0.022,-0.01
"chr4-011","chr4",9324643,10000000,"chr4-011",0.122,0.045,0.118,0.064,-0.038,0.129,0.064,-0.01,0,0.181,0.139,0.131,-0.01
"chr4-012","chr4",10000001,11000000,"chr4-012",0.112,0.036,0.114,0.059,-0.008,0.133,0.033,0.042,0.025,0.096,0.136,0.17,0.062
"chr4-013","chr4",11000001,12000000,"chr4-013",0.116,0.009,0.131,0.03,-0.008,0.191,-0.037,0.046,0.034,0.138,0.095,0.191,0.05
